"Monthly(1)",2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
"Monthly(1)",Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply,Donation Count,Blood Supply
"Total",2223636,3472979,2250603,3560117,2028684,3703464,2265592,3934904,2461880,4145197,2514699,4255286,2448516,4313139,2542495,4399956,2708173,4242146,2844538,4099483,2872156,4048199,2645181,3920575,2714819,4136518,2681611,4277762,2613901,4354132,2435210,4129790,2426779,4235541,2445003,4176012,2541446,4248924
"January",165863,295201,173132,291781,182945,307093,195331,332986,182670,332885,198985,341314,200174,358121,198064,364027,223612,373031,216611,355911,241385,344607,231909,339909,203609,333045,221066,380232,223703,372577,194040,343058,200754,349237,175710,331234,185559,334937
"February",151513,248238,184860,275827,166820,278678,149279,285329,184630,312365,176152,318722,174417,313879,213921,362220,180661,325713,205384,331030,197593,300941,188187,306370,204429,311419,193180,318059,184775,309863,185968,317634,177855,313874,167062,290443,192577,329930
"March",189109,289939,202401,295059,163145,305175,181270,331893,202757,342571,203786,361631,210051,361805,211661,379804,224651,358656,242209,347421,246694,353485,234834,345017,236278,343662,241362,363517,220402,359434,190012,314199,218080,375829,180237,324258,214106,357375
"April",190260,289119,193844,290359,170555,307370,186872,332227,211216,351444,207287,358394,207835,354817,203651,362517,225716,355727,231739,350763,235752,347929,217217,314654,216101,332556,221319,351250,216020,369403,180470,318516,202033,357903,211704,351459,201248,337594
"May",206129,305595,212615,303404,193363,327221,197322,324106,232614,335839,227968,351379,233306,364306,242697,377542,238239,360455,267104,341545,257626,324384,230486,322486,257624,342121,246117,361018,239928,382731,216375,343116,214333,367529,230015,365730,220673,359842
"June",187169,291218,194799,306691,172754,317990,185340,319365,216066,351371,220303,361678,194873,360338,204063,356923,222628,334096,224263,324758,229270,323117,204236,311776,216420,347622,211546,347549,210563,358298,211916,358082,196943,354807,198520,346753,211462,353711
"July",184885,292052,184340,296574,172156,316331,196853,333510,220712,365642,226132,367372,201584,357905,220933,369510,238842,366285,261697,344637,256506,335265,225022,315588,244054,350347,228749,362276,229095,388062,215264,376093,201154,358534,199838,349360,222002,357203
"August",197531,294085,191245,309526,158864,319789,188585,317276,209839,345174,217873,363483,203526,371220,203833,369951,239827,354257,242108,333338,240135,333433,210655,323753,229286,352625,215089,357887,218973,370420,209860,342947,199282,352346,200798,358327,220857,368112
"September",186179,283435,178004,295958,134096,272196,193013,325179,200633,351816,198668,338705,197882,354176,198655,361734,203084,330934,223733,337666,232675,326695,202890,312295,228882,357649,212804,337155,199670,340306,202770,343432,193734,341239,215164,365809,204219,351317
"October",171053,284159,171095,288690,177820,322912,195488,345772,182811,349967,203762,358948,191821,363025,211572,374299,235288,366261,240940,346389,253160,350679,233040,329529,205464,335172,224639,366077,221125,367214,202821,352442,192817,335129,218191,357967,213210,356999
"November",199378,295069,181748,301116,172876,314777,197423,326289,219731,336257,219592,353701,222766,367646,230868,363198,246228,349911,247465,327623,246406,340035,230627,336171,235317,362859,248903,368834,228662,362323,208598,356251,210859,354183,223358,359777,225525,368038
"December",194567,304869,182520,305132,163290,313932,198816,360972,198201,369866,214191,379959,210281,385901,202577,358231,229397,366820,241285,358402,234954,367629,236078,363027,237355,367441,216837,363908,220985,373501,217116,364020,218935,374931,224406,374895,230008,373866
