"Daily",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"01.01",33341,26062,11363,8862,20417,33305,31926,19281,25113,35427,28690,13209,21740,27867,21323,22008,19329,30736,29557
"01.02",32910,24630,10632,9119,19210,33091,33443,17530,24078,34968,27093,13928,19560,26972,20525,20227,21181,32616,27586
"01.03",31669,22738,10229,9306,19518,33855,31274,16078,23338,34232,29394,13929,17597,25812,18684,18665,21645,30918,25534
"01.04",33033,21094,9733,9685,21317,30511,29697,14548,21868,36695,30111,12771,17335,25020,17161,19649,20444,29218,23885
"01.05",32854,19602,9887,9427,19507,29003,27784,14189,23722,38060,28500,10735,17715,23229,18409,19803,19162,27636,21893
"01.06",31889,17562,8761,9276,18034,27304,25278,13227,25007,35672,26356,9640,18126,23982,18639,17594,17948,25548,20438
"01.07",32098,17423,8380,10472,16475,25459,23411,14936,23261,34411,24443,10658,20364,23996,17334,15627,16227,23585,21647
"01.08",30253,17324,10641,10796,15170,23024,25120,17471,22712,32695,23198,11233,20973,22515,16098,14212,16032,25133,22069
"01.09",30256,16957,10019,10737,15136,24189,27186,14915,22062,31515,21932,14155,19907,20999,14976,12433,18408,25937,19784
"01.10",30281,16363,10391,11061,16314,25371,24307,13863,22235,29963,24228,16021,18481,19497,14658,12717,19512,23267,17949
"01.11",30514,16134,10941,10592,17260,22762,22538,13076,20985,33411,24631,15251,18100,17505,14703,14450,17931,20708,16726
"01.12",31194,16274,10655,12209,15404,20561,21350,12914,22872,34648,23095,14315,17307,16733,16408,15230,16768,18544,15667
"01.13",30711,15676,10270,10523,13951,19151,20583,12470,26098,32244,21584,14222,16775,18402,16967,14561,16114,16877,15473
"01.14",30491,16294,9187,12922,13343,18110,19279,15066,24492,31138,20285,14025,19141,19541,15139,13594,14684,15604,17569
"01.15",28734,15664,9827,13859,11984,16455,21365,16415,22254,30322,20004,14905,19504,17839,14059,14525,14104,16393,17689
"01.16",28381,16033,10225,14383,12123,18082,23269,15037,21175,29082,19429,16270,19635,16437,14038,15160,15965,17042,16789
"01.17",28900,16403,10647,15320,11992,20064,22162,13821,21142,27343,22702,17817,19383,16106,14344,15882,17141,15511,16294
"01.18",28732,15528,10824,15536,13967,20163,21130,12991,20499,30184,24110,17228,18968,16404,14663,18421,15236,14292,15843
"01.19",27801,15484,10809,15559,13740,19728,20820,12836,23524,32380,22917,15969,18639,16740,16578,20071,13636,13980,15884
"01.20",27681,16280,10954,15975,13364,18274,20401,11764,24619,30766,22342,16153,18714,18152,17371,19646,12735,13540,16500
"01.21",27503,16266,10263,17322,13225,18593,19387,12964,22124,29193,21548,15923,20939,19179,17314,18876,11472,13326,16305
"01.22",25849,15787,11708,16565,13427,19553,22430,11369,21198,29190,21275,16616,21141,18293,17016,18459,11424,15293,15121
"01.23",25502,16981,11621,17665,12869,22959,24856,10163,20860,28350,20802,17949,21901,17563,17065,19176,13265,16442,14624
"01.24",25637,17203,11270,18279,15228,25412,24036,10536,20591,27628,24702,18768,21339,17810,16881,17243,14011,15493,15173
"01.25",25939,16021,11677,18485,13990,26098,23379,11502,20690,30449,25894,18980,21433,17637,17175,15576,14040,14856,14538
"01.26",25855,16690,11664,21613,12830,26671,22875,11518,23427,32147,26084,17862,21882,17242,20079,14388,13866,14940,14889
