"Monthly(1)",2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023
"Monthly(1)",Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets,Red Blood Cells,Platelet,Fresh Frozen Plasma,Leukocyte Filtered Apheresis Platelets
"January",28590,6344,74956,210,17413,6448,68187,278,10959,6753,68059,253,14944,8298,81289,304,15362,8548,82625,343,24628,8526,75456,388,24418,9029,73200,454,14123,9112,80467,591,23459,9929,93160,657,31512,9084,94874,823,24397,6537,78777,1011,15775,6539,74625,1022,19365,6987,94648,959,20089,7619,86298,785,17576,7572,87825,934,16563,6880,90330,932,16147,6267,87978,887,19641,5487,91955,913,18712,5661,85952,1033
"February",27736,7207,77562,244,18672,6718,66841,250,22144,7041,77995,241,26184,7450,85378,300,16902,9908,90637,349,35290,8712,84366,338,24642,9376,80754,406,24209,10381,97466,641,28645,9090,98555,567,23104,8388,94976,763,27520,6449,78413,921,16547,6269,79326,1143,18012,7462,99148,1044,18585,8377,94374,936,19665,7654,97460,1000,16680,7593,91148,1034,15745,6493,84549,944,14314,6383,89549,988,17655,7286,88863,1264
"March",29314,7232,76987,232,20894,6386,68485,241,20227,6510,71181,254,22440,8651,78485,304,19336,9315,88914,357,25735,9390,84456,368,19292,9454,79114,396,19736,9313,90576,574,19920,9498,101715,652,21648,9217,99031,870,19122,6756,79871,1027,15286,6326,84156,1139,21423,6970,100388,937,20628,8800,98074,951,15687,6715,93761,781,18452,6961,84495,917,14289,7182,86075,945,14939,5957,89239,891,16568,6949,91080,1176
"April",33814,7280,77591,227,28638,6430,69934,232,21934,6609,73343,251,27666,9207,78846,307,24280,9295,92503,340,23268,8984,89383,357,21522,9074,80462,409,18544,9991,87092,556,34209,9085,104877,568,26077,8176,96867,792,20050,6785,81102,886,15690,6355,84522,1352,19142,6866,95629,884,18475,7688,97294,817,14425,6800,89325,748,16800,6318,78920,882,13644,6572,85950,913,16284,7168,87545,880,16513,7091,86156,1153
"May",32489,6914,75900,241,25333,6768,68600,250,25298,7122,78503,264,30445,9434,76987,296,32388,9978,88621,336,29129,10073,95260,353,28063,10412,87761,432,30857,10558,96051,552,39483,9152,100465,561,36071,8686,103153,820,28680,6813,85167,1021,27919,6042,90488,1365,28126,7911,105308,962,25255,8628,100606,866,18777,7543,95428,751,17502,7752,88352,966,16333,7477,89866,973,31965,7777,100985,1020,18031,7511,86931,1159
"June",37165,6973,77058,262,28856,6652,70064,241,36544,6563,79933,275,38299,7746,72296,296,48763,8541,85572,354,45600,9917,95298,350,35076,7417,79227,380,38934,8836,85974,549,44222,8285,95575,440,44292,7025,90691,865,32884,6530,76744,1030,27836,5506,81491,1245,37417,6588,88283,781,28399,7228,92998,815,25483,6709,88694,775,19950,6572,93237,841,16517,6151,85073,910,40635,6662,98370,878,24438,7094,89234,1127
"July",29374,6912,71539,254,20339,6124,67377,253,34410,6739,77144,294,33082,7818,67494,297,45879,8804,82379,339,50549,9102,81328,405,20834,8979,73776,479,32958,9471,84793,557,33953,8462,93401,425,38860,7818,89290,946,38645,6563,78957,1119,21649,5710,80921,1422,27288,7233,86929,850,18529,7402,90443,838,19905,6894,86214,776,20245,7151,90877,869,13917,6381,83742,914,33558,5947,86174,884,28711,6916,83985,1169
"August",24059,6844,77902,247,14941,6599,75017,245,23962,5869,77068,265,29812,8191,75659,317,44765,8726,84935,336,56008,9010,85989,401,16970,9020,86277,485,30954,8065,90361,552,38845,8794,98506,358,43801,6908,90084,955,31317,6283,75139,1047,20410,5577,80987,1141,37093,7224,87902,823,17102,6604,90800,778,17882,6340,82254,765,24505,7591,89391,992,13276,6770,88483,984,22839,5476,81810,929,31568,7043,88072,1152
