"City",2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"City",Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count,Donation Count,Donation Rate (%),Population Count
"Total",2274336,4.7,48138077,2302542,4.8,48297184,2087762,4.3,48456369,2347184,4.8,48606787,2569954,5.3,48746693,2664492,5.4,48874539,2616575,5.3,48988833,2722608,5.4,50004441,2914483,5.8,50219669,3053425,6.1,50423955,3082918,6.1,50617045,2866330,5.6,50801405,2928670,5.7,51446201,2883270,5.6,51635256,2791092,5.4,51849861,2611401,5.0,51829023,2604437,5.0,51638809,2649007,5.1,51439038,2776291,5.4,51325329
"Seoul",760596,7.6,10011324,793327,7.9,10020123,747542,7.5,10025669,838492,8.4,10031719,924605,9.2,10036377,954551,9.5,10038916,918763,9.2,10038905,964923,9.7,9975881,1036438,10.4,9991064,1085001,11.0,9890661,1062324,10.8,9860372,1008947,10.3,9834687,1015159,10.4,9776305,975868,10.0,9721190,900964,9.3,9729107,818973,8.5,9668465,799823,8.4,9509458,846646,9.0,9428372,920655,9.8,9386034
"Busan",214551,6.0,3586087,213811,6.0,3554003,190408,5.4,3525220,210650,6.0,3497649,217109,6.3,3471154,233701,6.8,3445562,217110,6.3,3420679,218927,6.4,3444827,230966,6.7,3430473,235854,6.9,3411930,238050,7.0,3400069,205028,6.1,3388631,215280,6.3,3428923,223730,6.5,3418011,213597,6.3,3413841,197340,5.8,3391946,194845,5.8,3350380,204250,6.2,3317812,205744,6.2,3293362
"Daegu/GyungBook",195029,3.8,5158051,190002,3.7,5132158,158320,3.1,5104874,188625,3.7,5077459,216160,4.3,5050050,213828,4.3,5022566,212001,4.2,4994844,227200,4.4,5119644,244949,4.8,5113686,263853,5.2,5100342,260314,5.1,5096612,236917,4.7,5092303,240804,4.7,5146365,246175,4.8,5141620,232482,4.6,5103867,196451,3.9,5057768,225446,4.5,5012021,225245,4.5,4964183,229754,4.7,4929284
"Incheon",132426,5.1,2578356,123896,4.8,2596317,113310,4.3,2612866,124019,4.7,2629253,132576,5.0,2645189,154954,5.8,2660610,175120,6.5,2675476,173630,6.2,2793288,178018,6.3,2816025,185952,6.5,2858348,181013,6.3,2886172,161924,5.6,2914455,163724,5.6,2923047,157493,5.4,2942005,158557,5.4,2957026,165203,5.6,2942828,166856,5.7,2948375,170777,5.8,2967314,176894,5.9,2997410
"Gyeonggi",139991,1.3,10612455,143177,1.3,10822060,130461,1.2,11039291,142566,1.3,11247899,165455,1.4,11446877,171747,1.4,11636673,176920,1.5,11817528,175999,1.5,11936855,191485,1.6,12080585,206531,1.7,12280678,218945,1.8,12397902,205846,1.6,12519009,211129,1.6,12809379,204183,1.6,12955219,211443,1.6,13239666,226280,1.7,13427014,226112,1.7,13565450,217008,1.6,13589432,225313,1.7,13630821
"Gangwon",84507,5.7,1488365,77459,5.2,1479284,65018,4.4,1470447,73491,5.0,1461318,80058,5.5,1452148,83792,5.8,1442929,92295,6.4,1433625,108305,7.2,1502880,120455,8.0,1504986,128006,8.5,1501041,149795,9.9,1506142,149851,9.9,1511017,154964,10.2,1520785,161359,10.6,1524406,153606,10.0,1541502,140670,9.1,1542840,134293,8.7,1538492,124866,8.1,1536498,132851,8.7,1527807
"Chungbook",77356,5.2,1484191,79003,5.3,1484406,72803,4.9,1483401,84955,5.7,1482127,99447,6.7,1480661,101209,6.8,1478998,91354,6.2,1477089,100097,6.5,1550851,98145,6.3,1561471,100191,6.4,1558912,99627,6.4,1560784,89342,5.7,1566690,95644,6.0,1605139,93808,5.8,1612881,94251,5.9,1600007,85748,5.4,1600837,84573,5.3,1597427,83820,5.3,1595058,85421,5.4,1593469
