"Donation Record",2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"Donation Record",Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count,Donator Count,Donator Count Less Than the Amount,Total Donation Count
"1",10049338,10049338,10049338,10140624,10140624,10140624,10241850,10241850,10241850,10362881,10362881,10362881,10456986,10456986,10456986,5509090,5509090,5509090,10742130,10742130,10742130,10856300,10856300,10856300,10963835,10963835,10963835,11056699,11056699,11056699,11133455,11133455,11133455,11224985,11224985,11224985,11292201,11292201,11292201,11347332,11347332,11347332,11407371,11407371,11407371,11435249,11435249,11435249,11483262,11483262,11483262,11553481,11553481,11553481,11617088,11617088,11617088
"2",3068905,13118243,16187148,3133460,13274084,16407544,3196905,13438755,16635660,3272240,13635121,16907361,3340529,13797515,17138044,2532683,8041773,10574456,3517852,14259982,17777834,3599582,14455882,18055464,3677380,14641215,18318595,3751547,14808246,18559793,3812704,14946159,18758863,3871222,15096207,18967429,3928713,15220914,19149627,3972318,15319650,19291968,4016306,15423677,19439983,4036834,15472083,19508917,4064935,15548197,19613132,4097785,15651266,19749051,4132571,15749659,19882230
"3",1603757,14722000,20998419,1654261,14928345,21370327,1705370,15144125,21751770,1762710,15397831,22195491,1819571,15617086,22596757,1632419,9674192,15471713,1945890,16205872,23615504,2008639,16464521,24081381,2070226,16711441,24529273,2130891,16939137,24952466,2185562,17131721,25315549,2233564,17329771,25668121,2280509,17501423,25991154,2322019,17641669,26258025,2358428,17782105,26515267,2381525,17853608,26653492,2405687,17953884,26830193,2427591,18078857,27031824,2453316,18202975,27242178
"4",962967,15684967,24850287,1004891,15933236,25389891,1044290,16188415,25928930,1088122,16485953,26547979,1133616,16750702,27131221,1103938,10778130,19887465,1223943,17429815,28511276,1272376,17736897,29170885,1320881,18032322,29812797,1367949,18307086,30424262,1414673,18546394,30974241,1455159,18784930,31488757,1493469,18994892,31965030,1528498,19170167,32372017,1560516,19342621,32757331,1584013,19437621,32989544,1606073,19559957,33254485,1626809,19705666,33539060,1646400,19849375,33827778
"5",605885,16290852,27879712,640038,16573274,28590081,670723,16859138,29282545,705032,17190985,30073139,741645,17492347,30839446,752556,11530686,23650245,810063,18239878,32561591,845410,18582307,33397935,881598,18913920,34220787,918179,19225265,35015157,955982,19502376,35754151,989155,19774085,36434532,1019903,20014795,37064545,1048640,20218807,37615217,1075127,20417748,38132966,1097548,20535169,38477284,1118547,20678504,38847220,1136510,20842176,39221610,1152739,21002114,39591473
"6",388441,16679293,30210358,417134,16990408,31092885,440552,17299690,31925857,466954,17657939,32874863,495124,17987471,33810190,514703,12045389,26738463,546484,18786362,35840495,573596,19155903,36839511,602107,19516027,37833429,630493,19855758,38798115,659303,20161679,39709969,685727,20459812,40548894,710866,20725661,41329741,733884,20952691,42018521,755389,21173137,42665300,774540,21309709,43124524,792550,21471054,43602520,807546,21649722,44066886,823383,21825497,44531771
"7",256311,16935604,32004535,276865,17267273,33030940,295026,17594716,33991039,315147,17973086,35080892,337154,18324625,36170268,356165,12401554,29231618,378468,19164830,38489771,398925,19554828,39631986,420672,19936699,40778133,442723,20298481,41897176,465058,20626737,42965375,485669,20945481,43948577,505756,21231417,44870033,524960,21477651,45693241,541273,21714410,46454211,556986,21866695,47023426,571899,22042953,47605813,585295,22235017,48163951,597340,22422837,48713151
"8",171753,17107357,33378559,188099,17455372,34535732,202132,17796848,35608095,217700,18190786,36822492,235139,18559764,38051380,251268,12652822,31241762,266746,19431576,40623739,282979,19837807,41895818,299474,20236173,43173925,316700,20615181,44430776,333958,20960695,45637039,349620,21295101,46745537,365932,21597349,47797489,381007,21858658,48741297,394581,22108991,49610859,406857,22273552,50278282,419461,22462414,50961501,431580,22666597,51616591,442382,22865219,52252207
"9",118330,17225687,34443529,130354,17585726,35708918,140832,17937680,36875583,152669,18343455,38196513,166686,18726450,39551554,179983,12832805,32861609,191190,19622766,42344449,203492,20041299,43727246,216092,20452265,45118753,229254,20844435,46494062,242931,21203626,47823418,255545,21550646,49045442,268394,21865743,50213035,280759,22139417,51268128,291654,22400645,52235745,301840,22575392,52994842,312390,22774804,53773011,321853,22988450,54513268,331027,23196246,55231450
"10",83606,17309293,35279589,93550,17679276,36644418,101669,18039349,37892273,110652,18454107,39303033,120955,18847405,40761104,132027,12964832,34181879,141062,19763828,43755069,150685,20191984,45234096,161939,20614204,46738143,172402,21016837,48218082,183090,21386716,49654318,192244,21742890,50967882,202197,22067940,52235005,211634,22351051,53384468,220344,22620989,54439185,228538,22803930,55280222,236864,23011668,56141651,245588,23234038,56969148,253236,23449482,57763810
"11",61018,17370311,35950787,68274,17747550,37395432,74736,18114085,38714369,81641,18535748,40201084,89777,18937182,41748651,98528,13063360,35265687,105387,19869215,44914326,113524,20305508,46482860,122464,20736668,48085247,130962,21147799,49658664,139945,21526661,51193713,147474,21890364,52590096,155417,22223357,53944592,163319,22514370,55180977,170020,22791009,56309405,177357,22981287,57231149,184261,23195929,58168522,191052,23425090,59070720,197530,23647012,59936640
"12",45558,17415869,36497483,51189,17798739,38009700,56370,18170455,39390809,62004,18597752,40945132,68338,19005520,42568707,75706,13139066,36174159,80871,19950086,45884778,87631,20393139,47534432,94968,20831636,49224863,102259,21250058,50885772,108823,21635484,52499589,115040,22005404,53970576,121354,22344711,55400840,127528,22641898,56711313,133609,22924618,57912713,138711,23119998,58895681,144417,23340346,59901526,150398,23575488,60875496,156966,23803978,61820232
