"Gender","Monthly","Donation Source","Ç×¸ñ","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men+Women","Total","Total","Donation Count","Unit","2274336","2302542","2087762","2347184","2569954","2664492","2616575","2722608","2914483","3053425","3082918","2866330","2928670","2883270","2791092","2611401","2604437","2649007","2776291",
"Men+Women","Total","Korean Red Cross","Donation Count","Unit","2223636","2250603","2028684","2265592","2461880","2514699","2448516","2542495","2708173","2844538","2872156","2645181","2714819","2681611","2613901","2435210","2426779","2445003","2541446",
"Men+Women","Total","Central Seoul","Donation Count","Unit","210606","222081","187792","207970","208524","251331","","","","","","","","266577","251035","222024","216484","223617","234465",
"Men+Women","Total","Western Seoul","Donation Count","Unit","133579","138596","154934","170843","208521","89734","271598","283170","302603","334796","332287","291236","277348","","","","","","",
"Men+Women","Total","Southern Seoul","Donation Count","Unit","180865","189797","172800","187157","213194","220212","217957","228981","235251","229574","224175","227144","246596","230499","214734","190301","176386","181841","196256",
"Men+Women","Total","Eastern Seoul","Donation Count","Unit","195539","200418","181977","198135","193223","248947","265040","276024","295350","315316","298738","273327","279786","279045","259856","231788","230555","238256","255780",
"Men+Women","Total","Busan","Donation Count","Unit","213224","212569","189623","210269","216812","233394","217017","218875","230923","235796","238001","204844","215205","223597","213561","197302","194786","204171","205695",
"Men+Women","Total","Daegu/Gyeongbook","Donation Count","Unit","194152","188941","157399","188025","215479","213269","211723","226824","244750","263765","260227","236895","240774","246155","232481","196373","225330","225154","229715",
"Men+Women","Total","Incheon","Donation Count","Unit","129274","120981","110095","121802","130869","154248","174910","173438","177812","185747","180847","161744","163533","157317","158392","165074","166763","170709","176839",
"Men+Women","Total","Ulsan","Donation Count","Unit","78750","82109","65432","71284","73928","74278","73504","79081","81305","89410","93740","87323","86261","86711","91599","82518","83549","87119","99261",
"Men+Women","Total","Gyeonggi","Donation Count","Unit","138362","141702","129115","141557","164801","171279","176589","175742","191262","206206","218748","205267","210813","203912","211170","225902","225736","216807","225163",
"Men+Women","Total","Gangwon","Donation Count","Unit","83122","76585","64641","73273","79763","83632","92287","108298","120455","128006","149795","149851","154964","161359","153606","140670","134293","124866","132851",
"Men+Women","Total","Chungbook","Donation Count","Unit","77351","79003","72803","84951","99447","101209","91354","100097","98145","100191","99627","89342","95644","93808","94251","85748","84573","83820","85421",
"Men+Women","Total","Daejeon/Sejong/Chungnaam","Donation Count","Unit","161312","146852","146597","173234","182777","191985","189737","206246","224050","232017","249164","236491","241112","248323","248778","238825","233429","237156","234603",
"Men+Women","Total","Jeonbook","Donation Count","Unit","120913","118604","98174","107833","121245","124784","125506","127924","131428","125411","128878","116104","114218","108582","108903","102770","102915","96964","100114",
"Men+Women","Total","Gwangju/Jeonnaam","Donation Count","Unit","174350","199969","178004","194651","201828","198409","192751","185655","205764","217795","221529","202083","220266","206743","206605","183153","185298","189525","189087",
"Men+Women","Total","Gyeongnaam","Donation Count","Unit","100563","102627","91759","102066","114553","119534","114324","120286","134771","143116","135724","127724","130495","134719","132957","131089","124647","123250","129093",
"Men+Women","Total","Jeju","Donation Count","Unit","31674","29769","27539","32542","36916","38454","34219","31854","34304","37392","40676","35806","37804","34264","35973","41673","42035","41748","47103",
"Men+Women","Total","Outside of Korean Red Cross","Donation Count","Unit","50700","51939","59078","81592","108074","149793","168059","180113","206310","208887","210762","221149","213851","201659","177191","176191","177658","204004","234845",
"Men+Women","January","Total","Donation Count","Unit","169087","176015","187538","201135","190237","208765","212474","210881","238890","232959","257355","248426","219578","237893","238712","206758","213118","189598","200795",
"Men+Women","January","Total","Composition Rate[%]","%","7.4","7.6","9","8.6","7.4","7.8","8.1","7.7","8.2","7.6","8.3","8.7","7.5","8.3","8.6","7.9","8.2","7.2","7.2",
"Men+Women","January","Korean Red Cross","Donation Count","Unit","165863","173132","182945","195331","182670","198985","200174","198064","223612","216611","241385","231909","203609","221066","223703","194040","200754","175710","185559",
"Men+Women","January","Korean Red Cross","Composition Rate[%]","%","7.5","7.7","9","8.6","7.4","7.9","8.2","7.8","8.3","7.6","8.4","8.8","7.5","8.2","8.6","8","8.3","7.2","7.3",
"Men+Women","January","Central Seoul","Donation Count","Unit","15577","17563","17631","21047","16614","17867","","","","","","","","24809","23563","19831","17856","16737","17767",
"Men+Women","January","Central Seoul","Composition Rate[%]","%","7.4","7.9","9.4","10.1","8","7.1","","","","","","","","9.3","9.4","8.9","8.2","7.5","7.6",
"Men+Women","January","Western Seoul","Donation Count","Unit","10614","9334","13930","15071","16273","16531","21032","22772","25741","25953","29504","29223","23689","","","","","","",
"Men+Women","January","Western Seoul","Composition Rate[%]","%","7.9","6.7","9","8.8","7.8","18.4","7.7","8","8.5","7.8","8.9","10","8.5","","","","","","",
"Men+Women","January","Southern Seoul","Donation Count","Unit","13714","14679","16183","18676","16316","18370","19275","19717","21271","19651","19998","19698","19955","20334","20384","17098","15178","13167","14634",
"Men+Women","January","Southern Seoul","Composition Rate[%]","%","7.6","7.7","9.4","10","7.7","8.3","8.8","8.6","9","8.6","8.9","8.7","8.1","8.8","9.5","9","8.6","7.2","7.5",
"Men+Women","January","Eastern Seoul","Donation Count","Unit","14671","16292","18154","20016","15019","17810","22393","21367","25400","23161","26734","27343","22601","25139","24404","20337","19890","18045","19796",
"Men+Women","January","Eastern Seoul","Composition Rate[%]","%","7.5","8.1","10","10.1","7.8","7.2","8.4","7.7","8.6","7.3","8.9","10","8.1","9","9.4","8.8","8.6","7.6","7.7",
"Men+Women","January","Busan","Donation Count","Unit","16351","16581","16159","16996","15569","17924","18355","15640","17484","18705","19675","18101","14048","15949","17057","13734","15588","13293","13636",
"Men+Women","January","Busan","Composition Rate[%]","%","7.7","7.8","8.5","8.1","7.2","7.7","8.5","7.1","7.6","7.9","8.3","8.8","6.5","7.1","8","7","8","6.5","6.6",
"Men+Women","January","Daegu/Gyeongbook","Donation Count","Unit","13780","13385","13546","13755","16187","17046","16594","17341","20204","20283","21740","18967","17099","18898","19477","17335","18370","16335","16650",
"Men+Women","January","Daegu/Gyeongbook","Composition Rate[%]","%","7.1","7.1","8.6","7.3","7.5","8","7.8","7.6","8.3","7.7","8.4","8","7.1","7.7","8.4","8.8","8.2","7.3","7.2",
"Men+Women","January","Incheon","Donation Count","Unit","9870","9982","11181","11797","9696","10505","14998","13853","15402","13767","15994","15224","13507","13928","13095","12516","13807","12842","13673",
"Men+Women","January","Incheon","Composition Rate[%]","%","7.6","8.3","10.2","9.7","7.4","6.8","8.6","8","8.7","7.4","8.8","9.4","8.3","8.9","8.3","7.6","8.3","7.5","7.7",
"Men+Women","January","Ulsan","Donation Count","Unit","5617","8311","6425","5604","4968","5653","5479","5982","6383","6247","7394","6835","6187","6661","7051","6213","6976","5797","7240",
"Men+Women","January","Ulsan","Composition Rate[%]","%","7.1","10.1","9.8","7.9","6.7","7.6","7.5","7.6","7.9","7","7.9","7.8","7.2","7.7","7.7","7.5","8.3","6.7","7.3",
"Men+Women","January","Gyeonggi","Donation Count","Unit","11535","11090","12046","13082","11874","13270","14381","14183","15816","14168","17143","18710","17042","17904","18167","16008","18715","16045","18010",
"Men+Women","January","Gyeonggi","Composition Rate[%]","%","8.3","7.8","9.3","9.2","7.2","7.7","8.1","8.1","8.3","6.9","7.8","9.1","8.1","8.8","8.6","7.1","8.3","7.4","8",
"Men+Women","January","Gangwon","Donation Count","Unit","6816","5810","5962","7140","6136","5075","6286","8846","11137","9772","11876","12373","10288","12944","13645","11683","10933","9602","8552",
"Men+Women","January","Gangwon","Composition Rate[%]","%","8.2","7.6","9.2","9.7","7.7","6.1","6.8","8.2","9.2","7.6","7.9","8.3","6.6","8","8.9","8.3","8.1","7.7","6.4",
"Men+Women","January","Chungbook","Donation Count","Unit","4899","5505","6136","5618","7035","7835","7680","6896","7496","7257","7696","7458","6736","7461","7543","6459","6427","5291","5471",
"Men+Women","January","Chungbook","Composition Rate[%]","%","6.3","7","8.4","6.6","7.1","7.7","8.4","6.9","7.6","7.2","7.7","8.3","7","8","8","7.5","7.6","6.3","6.4",
"Men+Women","January","Daejeon/Sejong/Chungnaam","Donation Count","Unit","13057","11187","11398","14464","13303","14692","16440","15512","17296","17578","19761","18817","16132","18643","19718","17729","17669","16506","17166",
"Men+Women","January","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","8.1","7.6","7.8","8.3","7.3","7.7","8.7","7.5","7.7","7.6","7.9","8","6.7","7.5","7.9","7.4","7.6","7","7.3",
"Men+Women","January","Jeonbook","Donation Count","Unit","7654","8668","8699","7830","8117","8345","9933","9342","10384","10033","11198","9524","8429","8122","9284","6975","8676","6893","7032",
"Men+Women","January","Jeonbook","Composition Rate[%]","%","6.3","7.3","8.9","7.3","6.7","6.7","7.9","7.3","7.9","8","8.7","8.2","7.4","7.5","8.5","6.8","8.4","7.1","7",
"Men+Women","January","Gwangju/Jeonnaam","Donation Count","Unit","12237","16052","15759","13381","14364","16299","15030","14868","15577","16564","17973","15178","15172","15917","15444","15132","16156","13115","13144",
"Men+Women","January","Gwangju/Jeonnaam","Composition Rate[%]","%","7","8","8.9","6.9","7.1","8.2","7.8","8","7.6","7.6","8.1","7.5","6.9","7.7","7.5","8.3","8.7","6.9","7",
"Men+Women","January","Gyeongnaam","Donation Count","Unit","7125","6829","7767","8701","8900","8730","9937","9179","11311","10965","11820","11652","10255","11562","11941","10285","10656","9007","9747",
"Men+Women","January","Gyeongnaam","Composition Rate[%]","%","7.1","6.7","8.5","8.5","7.8","7.3","8.7","7.6","8.4","7.7","8.7","9.1","7.9","8.6","9","7.8","8.5","7.3","7.6",
"Men+Women","January","Jeju","Donation Count","Unit","2346","1864","1969","2153","2299","3033","2361","2566","2710","2507","2879","2806","2469","2795","2930","2705","3857","3035","3041",
"Men+Women","January","Jeju","Composition Rate[%]","%","7.4","6.3","7.1","6.6","6.2","7.9","6.9","8.1","7.9","6.7","7.1","7.8","6.5","8.2","8.1","6.5","9.2","7.3","6.5",
"Men+Women","January","Outside of Korean Red Cross","Donation Count","Unit","3224","2883","4593","5804","7567","9780","12300","12817","15278","16348","15970","16517","15969","16827","15009","12718","12364","13888","15236",
"Men+Women","January","Outside of Korean Red Cross","Composition Rate[%]","%","6.4","5.6","7.8","7.1","7","6.5","7.3","7.1","7.4","7.8","7.6","7.5","7.5","8.3","8.5","7.2","7","6.8","6.5",
"Men+Women","February","Total","Donation Count","Unit","154943","188463","170432","153589","192395","186366","187051","228658","193958","219573","211203","202169","219624","208722","197949","199657","189312","179817","209081",
"Men+Women","February","Total","Composition Rate[%]","%","6.8","8.2","8.2","6.5","7.5","7","7.1","8.4","6.7","7.2","6.9","7.1","7.5","7.2","7.1","7.6","7.3","6.8","7.5",
"Men+Women","February","Korean Red Cross","Donation Count","Unit","151513","184860","166820","149279","184630","176152","174417","213921","180661","205384","197593","188187","204429","193180","184775","185968","177855","167062","192577",
"Men+Women","February","Korean Red Cross","Composition Rate[%]","%","6.8","8.2","8.2","6.6","7.5","7","7.1","8.4","6.7","7.2","6.9","7.1","7.5","7.2","7.1","7.6","7.3","6.8","7.6",
"Men+Women","February","Central Seoul","Donation Count","Unit","14954","18748","15977","14492","16749","17061","","","","","","","","21466","20152","19338","15957","15484","17500",
"Men+Women","February","Central Seoul","Composition Rate[%]","%","7.1","8.4","8.5","7","8","6.8","","","","","","","","8.1","8","8.7","7.4","6.9","7.5",
"Men+Women","February","Western Seoul","Donation Count","Unit","9854","11299","13131","11096","15634","13351","20925","25159","21148","26129","24246","23895","21820","","","","","","",
"Men+Women","February","Western Seoul","Composition Rate[%]","%","7.4","8.2","8.5","6.5","7.5","14.9","7.7","8.9","7","7.8","7.3","8.2","7.9","","","","","","",
"Men+Women","February","Southern Seoul","Donation Count","Unit","12025","14070","14195","13000","16101","16022","15589","21007","16581","18959","15688","15979","19717","17261","16486","15223","13390","12484","14033",
"Men+Women","February","Southern Seoul","Composition Rate[%]","%","6.6","7.4","8.2","6.9","7.6","7.3","7.2","9.2","7","8.3","7","7","8","7.5","7.7","8","7.6","6.9","7.2",
"Men+Women","February","Eastern Seoul","Donation Count","Unit","12968","17303","18005","12760","14455","16771","20780","24102","20059","24142","21655","21217","23250","22500","19791","19306","17090","16169","19723",
