"Donation Source(1)","Donation Source(2)",Gender,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"Donation Source(1)","Donation Source(2)",Gender,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60,Total,16~19,16~19,20~29,20~29,30~39,30~39,40~49,40~49,50~59,50~59,Over 60,Over 60
"Donation Source(1)","Donation Source(2)",Gender,Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%),Donation Count,Composition Ratio (%)
"Total","Subtotal",Men+Women,2274336,707262,31.1,1159926,51.0,283952,12.5,96611,4.2,24713,1.1,1872,0.1,2302542,760145,33.0,1137053,49.4,268633,11.7,106212,4.6,28333,1.2,2166,0.1,2087762,735107,35.2,954008,45.7,265217,12.7,102395,4.9,28682,1.4,2353,0.1,2347184,851751,36.3,1041009,44.4,296688,12.6,118905,5.1,35559,1.5,3272,0.1,2569954,897580,34.9,1136624,44.2,337950,13.2,148308,5.8,45440,1.8,4052,0.2,2664492,1029544,38.6,1094217,41.1,334406,12.6,151655,5.7,49342,1.9,5328,0.2,2616575,1058853,40.5,1025877,39.2,319345,12.2,154147,5.9,52259,2.0,6094,0.2,2722608,1048434,38.5,1094929,40.2,343187,12.6,169990,6.2,58730,2.2,7338,0.3,2914483,1058704,36.3,1231995,42.3,361414,12.4,187295,6.4,65933,2.3,9142,0.3,3053425,1074104,35.2,1308491,42.9,373562,12.2,211787,6.9,74625,2.4,10856,0.4,3082918,1048941,34.0,1325606,43.0,372243,12.1,237284,7.7,85267,2.8,13577,0.4,2866330,922574,32.2,1170314,40.8,387916,13.5,269853,9.4,99270,3.5,16403,0.6,2928670,913903,31.2,1166805,39.8,414103,14.1,300142,10.2,113927,3.9,19790,0.7,2883270,853433,29.6,1119821,38.8,427926,14.8,328103,11.4,130933,4.5,23054,0.8,2791092,800321,28.7,1017604,36.5,431188,15.4,358446,12.8,155645,5.6,27888,1.0,2611401,509626,19.5,945115,36.2,450991,17.3,445991,17.1,222222,8.5,37456,1.4,2604437,544176,20.9,918066,35.3,423354,16.3,440457,16.9,235723,9.1,42661,1.6,2649007,462186,17.4,970120,36.6,439078,16.6,463883,17.5,262920,9.9,50820,1.9,2776291,503624,18.1,1024621,36.9,448166,16.1,474966,17.1,272060,9.8,52854,1.9
"Total","Subtotal",Men,1831613,490644,26.8,980749,53.5,254139,13.9,82872,4.5,21565,1.2,1644,0.1,1792038,501962,28.0,938635,52.4,234111,13.1,90677,5.1,24692,1.4,1961,0.1,1592279,475060,29.8,771736,48.5,231187,14.5,87263,5.5,24894,1.6,2139,0.1,1741192,534550,30.7,818822,47.0,254062,14.6,100165,5.8,30631,1.8,2962,0.2,1879517,549332,29.2,875514,46.6,286774,15.3,124944,6.6,39372,2.1,3581,0.2,1898213,621053,32.7,822882,43.4,280640,14.8,126567,6.7,42322,2.2,4749,0.3,1824531,629850,34.5,754234,41.3,263066,14.4,127169,7.0,44770,2.5,5442,0.3,1905688,627312,32.9,802552,42.1,280490,14.7,139048,7.3,49849,2.6,6437,0.3,2035857,615494,30.2,909256,44.7,294314,14.5,152978,7.5,55837,2.7,7978,0.4,2137369,622855,29.1,969873,45.4,301253,14.1,171394,8.0,62534,2.9,9460,0.4,2165411,612221,28.3,983085,45.4,297747,13.8,189900,8.8,70750,3.3,11708,0.5,2066926,568717,27.5,883384,42.7,305442,14.8,214026,10.4,81282,3.9,14075,0.7,2132241,567124,26.6,892063,41.8,326396,15.3,237337,11.1,92589,4.3,16732,0.8,2106912,528634,25.1,859269,40.8,336005,15.9,258263,12.3,105572,5.0,19169,0.9,2036566,496305,24.4,774306,38.0,338054,16.6,281087,13.8,123939,6.1,22875,1.1,1916444,318402,16.6,705657,36.8,343822,17.9,343320,17.9,174810,9.1,30433,1.6,1895131,348994,18.4,672591,35.5,320270,16.9,335491,17.7,183384,9.7,34401,1.8,1876184,294300,15.7,689794,36.8,319915,17.1,340897,18.2,192894,10.3,38384,2.0,2008892,335001,16.7,744146,37.0,330019,16.4,354878,17.7,203641,10.1,41207,2.1
"Total","Subtotal",Women,442723,216618,48.9,179177,40.5,29813,6.7,13739,3.1,3148,0.7,228,0.1,510504,258183,50.6,198418,38.9,34522,6.8,15535,3.0,3641,0.7,205,-,495483,260047,52.5,182272,36.8,34030,6.9,15132,3.1,3788,0.8,214,-,605992,317201,52.3,222187,36.7,42626,7.0,18740,3.1,4928,0.8,310,0.1,690437,348248,50.4,261110,37.8,51176,7.4,23364,3.4,6068,0.9,471,0.1,766279,408491,53.3,271335,35.4,53766,7.0,25088,3.3,7020,0.9,579,0.1,792044,429003,54.2,271643,34.3,56279,7.1,26978,3.4,7489,0.9,652,0.1,816920,421122,51.5,292377,35.8,62697,7.7,30942,3.8,8881,1.1,901,0.1,878626,443210,50.4,322739,36.7,67100,7.6,34317,3.9,10096,1.1,1164,0.1,916056,451249,49.3,338618,37.0,72309,7.9,40393,4.4,12091,1.3,1396,0.2,917507,436720,47.6,342521,37.3,74496,8.1,47384,5.2,14517,1.6,1869,0.2,799404,353857,44.3,286930,35.9,82474,10.3,55827,7.0,17988,2.3,2328,0.3,796429,346779,43.5,274742,34.5,87707,11.0,62805,7.9,21338,2.7,3058,0.4,776358,324799,41.8,260552,33.6,91921,11.8,69840,9.0,25361,3.3,3885,0.5,754526,304016,40.3,243298,32.2,93134,12.3,77359,10.3,31706,4.2,5013,0.7,694957,191224,27.5,239458,34.5,107169,15.4,102671,14.8,47412,6.8,7023,1.0,709306,195182,27.5,245475,34.6,103084,14.5,104966,14.8,52339,7.4,8260,1.2,772823,167886,21.7,280326,36.3,119163,15.4,122986,15.9,70026,9.1,12436,1.6,767399,168623,22.0,280475,36.5,118147,15.4,120088,15.6,68419,8.9,11647,1.5
"Korean Red Cross","Subtotal",Men+Women,2223636,698597,31.4,1133547,51.0,273032,12.3,92702,4.2,23922,1.1,1836,0.1,2250603,750951,33.4,1110223,49.3,257409,11.4,102352,4.5,27547,1.2,2121,0.1,2028684,718835,35.4,926597,45.7,254998,12.6,98254,4.8,27705,1.4,2295,0.1,2265592,827189,36.5,1003958,44.3,283857,12.5,113426,5.0,33981,1.5,3181,0.1,2461880,863443,35.1,1085793,44.1,322287,13.1,142577,5.8,43837,1.8,3943,0.2,2514699,974759,38.8,1028582,40.9,314950,12.5,144205,5.7,47093,1.9,5110,0.2,2448516,993913,40.6,955789,39.0,297186,12.1,145933,6.0,49841,2.0,5854,0.2,2542495,979285,38.5,1023235,40.2,318098,12.5,159228,6.3,55626,2.2,7023,0.3,2708173,981978,36.3,1147317,42.4,333204,12.3,174766,6.5,62150,2.3,8758,0.3,2844538,997296,35.1,1223228,43.0,344943,12.1,198315,7.0,70386,2.5,10370,0.4,2872156,976061,34.0,1238298,43.1,342736,11.9,221583,7.7,80624,2.8,12854,0.4,2645181,848826,32.1,1082396,40.9,354637,13.4,250646,9.5,93195,3.5,15481,0.6,2714819,848698,31.3,1082833,39.9,379551,14.0,278326,10.3,106769,3.9,18642,0.7,2681611,794647,29.6,1046323,39.0,392698,14.6,303575,11.3,122562,4.6,21806,0.8,2613901,756107,28.9,955947,36.6,396869,15.2,332103,12.7,146380,5.6,26495,1.0,2435210,479602,19.7,889006,36.5,413734,17.0,410344,16.9,206998,8.5,35526,1.5,2426779,513107,21.1,861454,35.5,388637,16.0,404927,16.7,218406,9.0,40248,1.7,2445003,433991,17.8,902386,36.9,399517,16.3,420321,17.2,241132,9.9,47656,1.9,2541446,471161,18.5,946440,37.2,404615,15.9,423570,16.7,246672,9.7,48988,1.9
"Korean Red Cross","Subtotal",Men,1789525,483940,27.0,958694,53.6,244660,13.7,79682,4.5,20935,1.2,1614,0.1,1748275,494791,28.3,915791,52.4,224238,12.8,87469,5.0,24064,1.4,1922,0.1,1545871,463261,30.0,750084,48.5,222455,14.4,83881,5.4,24101,1.6,2089,0.1,1677795,517117,30.8,789826,47.1,243034,14.5,95608,5.7,29334,1.7,2876,0.2,1799095,526604,29.3,837795,46.6,273250,15.2,119978,6.7,37988,2.1,3480,0.2,1797670,589096,32.8,778251,43.3,264826,14.7,120455,6.7,40499,2.3,4543,0.3,1717257,594240,34.6,709042,41.3,245284,14.3,120647,7.0,42821,2.5,5223,0.3,1790590,589139,32.9,757311,42.3,260399,14.5,130296,7.3,47290,2.6,6155,0.3,1909293,576059,30.2,856997,44.9,272427,14.3,143240,7.5,52904,2.8,7666,0.4,2007168,582998,29.0,915631,45.6,279340,13.9,160917,8.0,59221,3.0,9061,0.5,2029746,573228,28.2,926104,45.6,274666,13.5,177516,8.7,67116,3.3,11116,0.5,1926108,529536,27.5,826322,42.9,280741,14.6,199560,10.4,76605,4.0,13344,0.7,1988861,530729,26.7,834314,41.9,300437,15.1,220596,11.1,86972,4.4,15813,0.8,1972773,497040,25.2,809306,41.0,309667,15.7,239577,12.1,98995,5.0,18188,0.9,1909232,469694,24.6,729930,38.2,311135,16.3,260254,13.6,116474,6.1,21745,1.1,1793118,301200,16.8,668020,37.3,315820,17.6,316336,17.6,162878,9.1,28864,1.6,1771956,331095,18.7,635567,35.9,294067,16.6,308646,17.4,170057,9.6,32524,1.8,1735122,278304,16.0,645249,37.2,290761,16.8,308511,17.8,176374,10.2,35923,2.1,1845259,316031,17.1,692664,37.5,297898,16.1,316221,17.1,184272,10.0,38173,2.1
"Korean Red Cross","Subtotal",Women,434111,214657,49.4,174853,40.3,28372,6.5,13020,3.0,2987,0.7,222,0.1,502328,256160,51.0,194432,38.7,33171,6.6,14883,3.0,3483,0.7,199,-,482813,255574,52.9,176513,36.6,32543,6.7,14373,3.0,3604,0.7,206,-,587797,310072,52.8,214132,36.4,40823,6.9,17818,3.0,4647,0.8,305,0.1,662785,336839,50.8,247998,37.4,49037,7.4,22599,3.4,5849,0.9,463,0.1,717029,385663,53.8,250331,34.9,50124,7.0,23750,3.3,6594,0.9,567,0.1,731259,399673,54.7,246747,33.7,51902,7.1,25286,3.5,7020,1.0,631,0.1,751905,390146,51.9,265924,35.4,57699,7.7,28932,3.8,8336,1.1,868,0.1,798880,405919,50.8,290320,36.3,60777,7.6,31526,3.9,9246,1.2,1092,0.1,837370,414298,49.5,307597,36.7,65603,7.8,37398,4.5,11165,1.3,1309,0.2,842410,402833,47.8,312194,37.1,68070,8.1,44067,5.2,13508,1.6,1738,0.2,719073,319290,44.4,256074,35.6,73896,10.3,51086,7.1,16590,2.3,2137,0.3,725958,317969,43.8,248519,34.2,79114,10.9,57730,8.0,19797,2.7,2829,0.4,708838,297607,42.0,237017,33.4,83031,11.7,63998,9.0,23567,3.3,3618,0.5,704669,286413,40.6,226017,32.1,85734,12.2,71849,10.2,29906,4.2,4750,0.7,642092,178402,27.8,220986,34.4,97914,15.2,94008,14.6,44120,6.9,6662,1.0,654823,182012,27.8,225887,34.5,94570,14.4,96281,14.7,48349,7.4,7724,1.2,709881,155687,21.9,257137,36.2,108756,15.3,111810,15.8,64758,9.1,11733,1.7,696187,155130,22.3,253776,36.5,106717,15.3,107349,15.4,62400,9.0,10815,1.6
"Korean Red Cross","Central Seoul",Men+Women,210606,47506,22.6,129942,61.7,22747,10.8,7885,3.7,2317,1.1,209,0.1,222081,54983,24.8,129459,58.3,25851,11.6,8955,4.0,2626,1.2,207,0.1,187792,53398,28.4,97567,52.0,25113,13.4,8798,4.7,2684,1.4,232,0.1,207970,58902,28.3,107396,51.6,28203,13.6,10061,4.8,3057,1.5,351,0.2,208524,61153,29.3,99617,47.8,30445,14.6,12821,6.1,3968,1.9,520,0.2,251331,87197,34.7,107723,42.9,35631,14.2,15233,6.1,4815,1.9,732,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,266577,60318,22.6,112506,42.2,45458,17.1,32565,12.2,12952,4.9,2778,1.0,251035,53737,21.4,100468,40.0,44972,17.9,33505,13.3,14970,6.0,3383,1.3,222024,33124,14.9,83030,37.4,45088,20.3,37398,16.8,19411,8.7,3973,1.8,216484,32344,14.9,78759,36.4,42802,19.8,37632,17.4,20552,9.5,4395,2.0,223617,28728,12.8,85630,38.3,44021,19.7,38069,17.0,22215,9.9,4954,2.2,234465,33217,14.2,91037,38.8,44028,18.8,37909,16.2,23204,9.9,5070,2.2
