"Gender","Career","Donation Source","Category","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men+Women","Total","Total","Donation Count","Unit","2274336","2302542","2087762","2347184","2569954","2664492","2616575","2722608","2914483","3053425","3082918","2866330","2928670","2883270","2791092","2611401","2604437","2649007","2776291",
"Men+Women","Total","Korean Red Cross","Donation Count","Unit","2223636","2250603","2028684","2265592","2461880","2514699","2448516","2542495","2708173","2844538","2872156","2645181","2714819","2681611","2613901","2435210","2426779","2445003","2541446",
"Men+Women","Total","Central Seoul","Donation Count","Unit","210606","222081","187792","207970","208524","251331","","","","","","","","266577","251035","222024","216484","223617","234465",
"Men+Women","Total","Western Seoul","Donation Count","Unit","133579","138596","154934","170843","193223","89734","271598","283170","302603","334796","332287","291236","277348","","","","","","",
"Men+Women","Total","Southern Seoul","Donation Count","Unit","180865","189797","172800","187157","208521","220212","217957","228981","235251","229574","224175","227144","246596","230499","214734","190301","176386","181841","196256",
"Men+Women","Total","Eastern Seoul","Donation Count","Unit","195539","200418","181977","198135","213194","248947","265040","276024","295350","315316","298738","273327","279786","279045","259856","231788","230555","238256","255780",
"Men+Women","Total","Busan","Donation Count","Unit","213224","212569","189623","210269","216812","233394","217017","218875","230923","235796","238001","204844","215205","223597","213561","197302","194786","204171","205695",
"Men+Women","Total","Daegu/Gyeongbook","Donation Count","Unit","194152","188941","157399","188025","215479","213269","211723","226824","244750","263765","260227","236895","240774","246155","232481","196373","225330","225154","229715",
"Men+Women","Total","Incheon","Donation Count","Unit","129274","120981","110095","121802","130869","154248","174910","173438","177812","185747","180847","161744","163533","157317","158392","165074","166763","170709","176839",
"Men+Women","Total","Ulsan","Donation Count","Unit","78750","82109","65432","71284","73928","74278","73504","79081","81305","89410","93740","87323","86261","86711","91599","82518","83549","87119","99261",
"Men+Women","Total","Gyeonggi","Donation Count","Unit","138362","141702","129115","141557","164801","171279","176589","175742","191262","206206","218748","205267","210813","203912","211170","225902","225736","216807","225163",
"Men+Women","Total","Gangwon","Donation Count","Unit","83122","76585","64641","73273","79763","83632","92287","108298","120455","128006","149795","149851","154964","161359","153606","140670","134293","124866","132851",
"Men+Women","Total","Chungbook","Donation Count","Unit","77351","79003","72803","84951","99447","101209","91354","100097","98145","100191","99627","89342","95644","93808","94251","85748","84573","83820","85421",
"Men+Women","Total","Daejeon/Sejong/Chungnaam","Donation Count","Unit","161312","146852","146597","173234","182777","191985","189737","206246","224050","232017","249164","236491","241112","248323","248778","238825","233429","237156","234603",
"Men+Women","Total","Jeonbook","Donation Count","Unit","120913","118604","98174","107833","121245","124784","125506","127924","131428","125411","128878","116104","114218","108582","108903","102770","102915","96964","100114",
"Men+Women","Total","Gwangju/Jeonnaam","Donation Count","Unit","174350","199969","178004","194651","201828","198409","192751","185655","205764","217795","221529","202083","220266","206743","206605","183153","185298","189525","189087",
"Men+Women","Total","Gyeongnaam","Donation Count","Unit","100563","102627","91759","102066","114553","119534","114324","120286","134771","143116","135724","127724","130495","134719","132957","131089","124647","123250","129093",
"Men+Women","Total","Jeju","Donation Count","Unit","31674","29769","27539","32542","36916","38454","34219","31854","34304","37392","40676","35806","37804","34264","35973","41673","42035","41748","47103",
"Men+Women","Total","Korean Red Cross 외","Donation Count","Unit","50700","51939","59078","81592","108074","149793","168059","180113","206310","208887","210762","221149","213851","201659","177191","176191","177658","204004","234845",
"Men+Women","Highschool Student","Total","Donation Count","Unit","424784","491456","479409","540148","542873","674627","712252","694575","712363","730497","706885","639153","651352","615878","571901","323819","336546","272890","287905",
"Men+Women","Highschool Student","Total","Composition Rate[%]","%","18.7","21.3","23","23","21.1","25.3","27.2","25.5","24.4","23.9","22.9","22.3","22.2","21.4","20.5","12.4","12.9","10.3","10.4",
"Men+Women","Highschool Student","Korean Red Cross","Donation Count","Unit","422460","489137","472793","529715","525955","643697","670529","648039","662716","679530","658502","588491","605678","573814","541777","304160","317047","256058","270447",
"Men+Women","Highschool Student","Korean Red Cross","Composition Rate[%]","%","19","21.7","23.3","23.4","21.4","25.6","27.4","25.5","24.5","23.9","22.9","22.2","22.3","21.4","20.7","12.5","13.1","10.5","10.6",
"Men+Women","Highschool Student","Central Seoul","Donation Count","Unit","29731","30658","31584","32362","32443","53682","","","","","","","","41473","36338","20448","19513","16403","18497",
"Men+Women","Highschool Student","Central Seoul","Composition Rate[%]","%","14.1","13.8","16.8","15.6","15.6","21.4","","","","","","","","15.6","14.5","9.2","9","7.3","7.9",
"Men+Women","Highschool Student","Western Seoul","Donation Count","Unit","22183","29018","33706","36472","36382","15536","63946","61078","63433","73326","67481","52095","49463","","","","","","",
"Men+Women","Highschool Student","Western Seoul","Composition Rate[%]","%","16.6","20.9","21.8","21.3","18.8","17.3","23.5","21.6","21","21.9","20.3","17.9","17.8","","","","","","",
"Men+Women","Highschool Student","Southern Seoul","Donation Count","Unit","25354","25468","23600","24823","24970","33779","34182","31834","34255","34465","31846","33011","37928","32862","29488","12219","11241","12490","17054",
"Men+Women","Highschool Student","Southern Seoul","Composition Rate[%]","%","14","13.4","13.7","13.3","12","15.3","15.7","13.9","14.6","15","14.2","14.5","15.4","14.3","13.7","6.4","6.4","6.9","8.7",
"Men+Women","Highschool Student","Eastern Seoul","Donation Count","Unit","35740","47759","55577","62628","64085","80633","81128","80020","75500","78756","71290","55980","61651","58857","51541","23030","20994","18051","19435",
"Men+Women","Highschool Student","Eastern Seoul","Composition Rate[%]","%","18.3","23.8","30.5","31.6","30.1","32.4","30.6","29","25.6","25","23.9","20.5","22","21.1","19.8","9.9","9.1","7.6","7.6",
"Men+Women","Highschool Student","Busan","Donation Count","Unit","40386","47122","41432","48622","44221","58940","54924","49398","53309","50851","52049","44801","45139","46412","42985","25003","23420","18906","22667",
"Men+Women","Highschool Student","Busan","Composition Rate[%]","%","18.9","22.2","21.8","23.1","20.4","25.3","25.3","22.6","23.1","21.6","21.9","21.9","21","20.8","20.1","12.7","12","9.3","11",
"Men+Women","Highschool Student","Daegu/Gyeongbook","Donation Count","Unit","40769","43279","39721","47737","48645","54612","54908","55531","56819","61787","56051","53072","53108","55727","47339","24646","27107","23146","24410",
"Men+Women","Highschool Student","Daegu/Gyeongbook","Composition Rate[%]","%","21","22.9","25.2","25.4","22.6","25.6","25.9","24.5","23.2","23.4","21.5","22.4","22.1","22.6","20.4","12.6","12","10.3","10.6",
"Men+Women","Highschool Student","Incheon","Donation Count","Unit","43828","40374","34498","36604","34932","52429","66486","59767","56961","57212","50977","42752","41048","37155","33574","16821","16592","13088","14112",
"Men+Women","Highschool Student","Incheon","Composition Rate[%]","%","33.9","33.4","31.3","30.1","26.7","34","38","34.5","32","30.8","28.2","26.4","25.1","23.6","21.2","10.2","9.9","7.7","8",
"Men+Women","Highschool Student","Ulsan","Donation Count","Unit","20490","19515","17498","19123","21684","24502","23478","24575","24490","24157","27835","26782","26413","25955","25377","13306","15576","16325","17646",
"Men+Women","Highschool Student","Ulsan","Composition Rate[%]","%","26","23.8","26.7","26.8","29.3","33","31.9","31.1","30.1","27","29.7","30.7","30.6","29.9","27.7","16.1","18.6","18.7","17.8",
"Men+Women","Highschool Student","Gyeonggi","Donation Count","Unit","25017","36836","33880","36118","40170","51591","57492","46363","46726","47773","50194","43699","42227","34818","37323","22046","20994","17166","17863",
"Men+Women","Highschool Student","Gyeonggi","Composition Rate[%]","%","18.1","26","26.2","25.5","24.4","30.1","32.6","26.4","24.4","23.2","22.9","21.3","20","17.1","17.7","9.8","9.3","7.9","7.9",
"Men+Women","Highschool Student","Gangwon","Donation Count","Unit","6349","6185","7007","8147","9640","14256","18221","18351","22031","24323","27070","23185","22523","22273","20910","10010","9732","7025","8710",
"Men+Women","Highschool Student","Gangwon","Composition Rate[%]","%","7.6","8.1","10.8","11.1","12.1","17","19.7","16.9","18.3","19","18.1","15.5","14.5","13.8","13.6","7.1","7.2","5.6","6.6",
"Men+Women","Highschool Student","Chungbook","Donation Count","Unit","16826","18282","18322","22415","23552","24451","21891","24614","24789","24033","25813","23420","24415","21833","21995","11819","14113","11012","11024",
"Men+Women","Highschool Student","Chungbook","Composition Rate[%]","%","21.8","23.1","25.2","26.4","23.7","24.2","24","24.6","25.3","24","25.9","26.2","25.5","23.3","23.3","13.8","16.7","13.1","12.9",
"Men+Women","Highschool Student","Daejeon/Sejong/Chungnaam","Donation Count","Unit","25397","34608","37130","40328","31777","43992","48786","51877","51319","54557","53766","54963","56257","58377","56526","35724","41097","30887","28216",
"Men+Women","Highschool Student","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","15.7","23.6","25.3","23.3","17.4","22.9","25.7","25.2","22.9","23.5","21.6","23.2","23.3","23.5","22.7","15","17.6","13","12",
"Men+Women","Highschool Student","Jeonbook","Donation Count","Unit","28092","31788","24928","25999","27997","32067","34323","36119","35505","30602","32576","29207","29749","28995","31343","23410","25479","19190","17222",
"Men+Women","Highschool Student","Jeonbook","Composition Rate[%]","%","23.2","26.8","25.4","24.1","23.1","25.7","27.3","28.2","27","24.4","25.3","25.2","26","26.7","28.8","22.8","24.8","19.8","17.2",
"Men+Women","Highschool Student","Gwangju/Jeonnaam","Donation Count","Unit","41571","52872","48488","56177","51410","59659","63694","60483","63989","64559","63265","59957","66234","57493","56384","34255","40871","27416","26969",
"Men+Women","Highschool Student","Gwangju/Jeonnaam","Composition Rate[%]","%","23.8","26.4","27.2","28.9","25.5","30.1","33","32.6","31.1","29.6","28.6","29.7","30.1","27.8","27.3","18.7","22.1","14.5","14.3",
"Men+Women","Highschool Student","Gyeongnaam","Donation Count","Unit","14492","18628","17984","22650","23819","32102","34500","37296","42389","40889","35971","34638","38981","41028","39663","22627","21103","16705","18142",
"Men+Women","Highschool Student","Gyeongnaam","Composition Rate[%]","%","14.4","18.2","19.6","22.2","20.8","26.9","30.2","31","31.5","28.6","26.5","27.1","29.9","30.5","29.8","17.3","16.9","13.6","14.1",
"Men+Women","Highschool Student","Jeju","Donation Count","Unit","6235","6745","7438","9510","10228","11466","12570","10733","11201","12240","12318","10929","10542","10556","10991","8796","9215","8248","8480",
"Men+Women","Highschool Student","Jeju","Composition Rate[%]","%","19.7","22.7","27","29.2","27.7","29.8","36.7","33.7","32.7","32.7","30.3","30.5","27.9","30.8","30.6","21.1","21.9","19.8","18",
"Men+Women","Highschool Student","Korean Red Cross 외","Donation Count","Unit","2324","2319","6616","10433","16918","30930","41723","46536","49647","50967","48383","50662","45674","42064","30124","19659","19499","16832","17458",
"Men+Women","Highschool Student","Korean Red Cross 외","Composition Rate[%]","%","4.6","4.5","11.2","12.8","15.7","20.6","24.8","25.8","24.1","24.4","23","22.9","21.4","20.9","17","11.2","11","8.3","7.4",
"Men+Women","University Student","Total","Donation Count","Unit","544828","621326","562109","654957","766778","782730","788459","828780","897509","951299","955856","773000","739291","687841","639920","540371","592653","633766","682984",
"Men+Women","University Student","Total","Composition Rate[%]","%","24","27","26.9","27.9","29.8","29.4","30.1","30.4","30.8","31.2","31","27","25.2","23.9","22.9","20.7","22.8","23.9","24.6",
"Men+Women","University Student","Korean Red Cross","Donation Count","Unit","528572","603276","539544","623755","725218","730045","734561","772792","832482","887005","889468","703378","677171","634629","595394","503551","553240","587843","627361",
"Men+Women","University Student","Korean Red Cross","Composition Rate[%]","%","23.8","26.8","26.6","27.5","29.5","29","30","30.4","30.7","31.2","31","26.6","24.9","23.7","22.8","20.7","22.8","24","24.7",
"Men+Women","University Student","Central Seoul","Donation Count","Unit","43668","51930","50443","56638","56504","70671","","","","","","","","59263","52377","44542","44186","47076","52856",
"Men+Women","University Student","Central Seoul","Composition Rate[%]","%","20.7","23.4","26.9","27.2","27.1","28.1","","","","","","","","22.2","20.9","20.1","20.4","21.1","22.5",
"Men+Women","University Student","Western Seoul","Donation Count","Unit","27900","30369","40264","44261","52850","27402","83999","86276","84496","92461","91664","72767","65136","","","","","","",
"Men+Women","University Student","Western Seoul","Composition Rate[%]","%","20.9","21.9","26","25.9","27.4","30.5","30.9","30.5","27.9","27.6","27.6","25","23.5","","","","","","",
"Men+Women","University Student","Southern Seoul","Donation Count","Unit","32960","45330","42513","44070","54045","60306","62296","67090","67808","66135","63529","55489","54384","47588","41132","33830","33399","34494","38690",
