"Gender","Blood Type","Donation Source","Category","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men+Women","Total","Total","Donation Count[Unit]","Unit","2274336","2302542","2087762","2347184","2569954","2664492","2616575","2722608","2914483","3053425","3082918","2866330","2928670","2883270","2791092","2611401","2604437","2649007","2776291",
"Men+Women","Total","Korean Red Cross","Donation Count[Unit]","Unit","2223636","2250603","2028684","2265592","2461880","2514699","2448516","2542495","2708173","2844538","2872156","2645181","2714819","2681611","2613901","2435210","2426779","2445003","2541446",
"Men+Women","Total","Central Seoul","Donation Count[Unit]","Unit","210606","222081","187792","207970","208524","251331","","","","","","","","266577","251035","222024","216484","223617","234465",
"Men+Women","Total","Western Seoul","Donation Count[Unit]","Unit","133579","138596","154934","170843","193223","89734","271598","283170","302603","334796","332287","291236","277348","","","","","","",
"Men+Women","Total","Southern Seoul","Donation Count[Unit]","Unit","180865","189797","172800","187157","208521","220212","217957","228981","235251","229574","224175","227144","246596","230499","214734","190301","176386","181841","196256",
"Men+Women","Total","Eastern Seoul","Donation Count[Unit]","Unit","195539","200418","181977","198135","213194","248947","265040","276024","295350","315316","298738","273327","279786","279045","259856","231788","230555","238256","255780",
"Men+Women","Total","Busan","Donation Count[Unit]","Unit","213224","212569","189623","210269","216812","233394","217017","218875","230923","235796","238001","204844","215205","223597","213561","197302","194786","204171","205695",
"Men+Women","Total","Daegu/Gyeongbook","Donation Count[Unit]","Unit","194152","188941","157399","188025","215479","213269","211723","226824","244750","263765","260227","236895","240774","246155","232481","196373","225330","225154","229715",
"Men+Women","Total","Incheon","Donation Count[Unit]","Unit","129274","120981","110095","121802","130869","154248","174910","173438","177812","185747","180847","161744","163533","157317","158392","165074","166763","170709","176839",
"Men+Women","Total","Ulsan","Donation Count[Unit]","Unit","78750","82109","65432","71284","73928","74278","73504","79081","81305","89410","93740","87323","86261","86711","91599","82518","83549","87119","99261",
"Men+Women","Total","Gyeonggi","Donation Count[Unit]","Unit","138362","141702","129115","141557","164801","171279","176589","175742","191262","206206","218748","205267","210813","203912","211170","225902","225736","216807","225163",
"Men+Women","Total","Gangwon","Donation Count[Unit]","Unit","83122","76585","64641","73273","79763","83632","92287","108298","120455","128006","149795","149851","154964","161359","153606","140670","134293","124866","132851",
"Men+Women","Total","Chungbook","Donation Count[Unit]","Unit","77351","79003","72803","84951","99447","101209","91354","100097","98145","100191","99627","89342","95644","93808","94251","85748","84573","83820","85421",
"Men+Women","Total","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","161312","146852","146597","173234","182777","191985","189737","206246","224050","232017","249164","236491","241112","248323","248778","238825","233429","237156","234603",
"Men+Women","Total","Jeonbook","Donation Count[Unit]","Unit","120913","118604","98174","107833","121245","124784","125506","127924","131428","125411","128878","116104","114218","108582","108903","102770","102915","96964","100114",
"Men+Women","Total","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","174350","199969","178004","194651","201828","198409","192751","185655","205764","217795","221529","202083","220266","206743","206605","183153","185298","189525","189087",
"Men+Women","Total","Gyeongnaam","Donation Count[Unit]","Unit","100563","102627","91759","102066","114553","119534","114324","120286","134771","143116","135724","127724","130495","134719","132957","131089","124647","123250","129093",
"Men+Women","Total","Jeju","Donation Count[Unit]","Unit","31674","29769","27539","32542","36916","38454","34219","31854","34304","37392","40676","35806","37804","34264","35973","41673","42035","41748","47103",
"Men+Women","Total","Korean Red Cross 외","Donation Count[Unit]","Unit","50700","51939","59078","81592","108074","149793","168059","180113","206310","208887","210762","221149","213851","201659","177191","176191","177658","204004","234845",
"Men+Women","RH(+)","Total","Donation Count[Unit]","Unit","2265832","2293455","2079516","2338157","2560235","2653818","2605848","2711056","2901762","3039709","3069701","2854402","2916664","2871169","2779405","2600090","2592453","2637339","2764626",
"Men+Women","RH(+)","Total","Composition Rate[%]","%","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.5","99.6","99.6",
"Men+Women","RH(+)","Korean Red Cross","Donation Count[Unit]","Unit","2215240","2241671","2020534","2256787","2452560","2504640","2438428","2531658","2696243","2831652","2859698","2634035","2703601","2670315","2602918","2424597","2415521","2434125","2530638",
"Men+Women","RH(+)","Korean Red Cross","Composition Rate[%]","%","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.5","99.6","99.6","99.6","99.6","99.6","99.6","99.5","99.6","99.6",
