"Year",Total Donation Count,Total Population,Donation Rate of Total Population,Donate Possible Population,Donation Rate of Donate Possible Population,Total Donator Count,Donation Count Per Donator,Total Donator Population Rate
"2005",2274336,48138077,4.72,33895487,6.71,1544784,1.47,4.56
"2006",2302542,48371946,4.76,34127502,6.75,1508229,1.53,4.42
"2007",2087762,48597652,4.30,34356556,6.08,1421906,1.47,4.14
"2008",2347184,48948698,4.80,34708544,6.76,1526914,1.54,4.40
"2009",2569954,49182038,5.23,34995947,7.34,1596809,1.61,4.56
"2010",2664492,49410366,5.39,37138273,7.17,1657626,1.61,4.46
"2011",2616575,49779440,5.26,37520772,6.97,1614036,1.62,4.30
"2012",2722608,50004441,5.44,39645209,6.87,1653835,1.65,4.17
"2013",2914483,50219669,5.80,38011521,7.67,1695193,1.72,4.46
"2014",3053425,50423955,6.06,38249085,7.98,1696095,1.80,4.43
"2015",3082918,50617045,6.09,38728606,7.96,1668424,1.85,4.31
"2016",2866330,50801405,5.64,39247479,7.30,1596294,1.80,4.07
"2017",2928670,51446201,5.69,39399676,7.43,1545022,1.80,3.92
"2018",2883270,51635256,5.58,39460309,7.31,1479867,1.95,3.75
"2019",2791092,51849861,5.38,39427567,7.08,1423610,1.96,3.61
"2020",2611401,51829023,5.04,39383004,6.63,1281773,2.04,3.25
"2021",2604437,51638809,5.04,39241355,6.64,1272178,2.05,3.24
"2022",2649007,51439038,5.15,38970845,6.80,1327587,2.00,3.41
"2023",2776291,51325329,5.41,38873293,7.14,1300774,2.13,3.35
