"Donation Source(1)",2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"Donation Source(1)",Donation Count,Preparation Production Volume,Total Supply,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,Donation Count,Preparation Production Volume,Total Supply,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,Donation Count,Preparation Production Volume,Total Supply,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,Donation Count,Preparation Production Volume,Total Supply,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,Donation Count,Preparation Production Volume,Total Supply,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,Donation Count,Preparation Production Volume,Total Supply,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,Donation Count,Preparation Production Volume,Total Supply,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,Donation Count,Preparation Production Volume,Total Supply,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,Donation Count,Preparation Production Volume,Total Supply,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,Donation Count,Preparation Production Volume,Total Supply,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,Donation Count,Preparation Production Volume,Total Supply,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,Donation Count,Preparation Production Volume,Total Supply,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,Donation Count,Preparation Production Volume,Total Supply,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,Donation Count,Preparation Production Volume,Total Supply,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Transfusion,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation,For Fractionation
"Donation Source(1)",Subtotal,Subtotal,Subtotal,Subtotal,Subtotal,Whole Blood,Whole Blood,Apheresis Blood,Apheresis Blood,Platelet from Apheresis Blood,Platelet from Apheresis Blood,Subtotal,Subtotal,Plasma from Whole Blood,Plasma from Whole Blood,Plasma from Apheresis Blood,Plasma from Apheresis Blood,Subtotal,Subtotal,Subtotal,Subtotal,Subtotal,Whole Blood,Whole Blood,Apheresis Blood,Apheresis Blood,Platelet from Apheresis Blood,Platelet from Apheresis Blood,Subtotal,Subtotal,Plasma from Whole Blood,Plasma from Whole Blood,Plasma from Apheresis Blood,Plasma from Apheresis Blood,Subtotal,Subtotal,Subtotal,Subtotal,Subtotal,Whole Blood,Whole Blood,Apheresis Blood,Apheresis Blood,Platelet from Apheresis Blood,Platelet from Apheresis Blood,Subtotal,Subtotal,Plasma from Whole Blood,Plasma from Whole Blood,Plasma from Apheresis Blood,Plasma from Apheresis Blood,Subtotal,Subtotal,Subtotal,Subtotal,Subtotal,Whole Blood,Whole Blood,Apheresis Blood,Apheresis Blood,Platelet from Apheresis Blood,Platelet from Apheresis Blood,Subtotal,Subtotal,Plasma from Whole Blood,Plasma from Whole Blood,Plasma from Apheresis Blood,Plasma from Apheresis Blood,Subtotal,Subtotal,Subtotal,Subtotal,Subtotal,Whole Blood,Whole Blood,Apheresis Blood,Apheresis Blood,Platelet from Apheresis Blood,Platelet from Apheresis Blood,Subtotal,Subtotal,Plasma from Whole Blood,Plasma from Whole Blood,Plasma from Apheresis Blood,Plasma from Apheresis Blood,Subtotal,Subtotal,Subtotal,Subtotal,Subtotal,Whole Blood,Whole Blood,Apheresis Blood,Apheresis Blood,Platelet from Apheresis Blood,Platelet from Apheresis Blood,Subtotal,Subtotal,Plasma from Whole Blood,Plasma from Whole Blood,Plasma from Apheresis Blood,Plasma from Apheresis Blood,Subtotal,Subtotal,Subtotal,Subtotal,Subtotal,Whole Blood,Whole Blood,Apheresis Blood,Apheresis Blood,Platelet from Apheresis Blood,Platelet from Apheresis Blood,Subtotal,Subtotal,Plasma from Whole Blood,Plasma from Whole Blood,Plasma from Apheresis Blood,Plasma from Apheresis Blood,Subtotal,Subtotal,Subtotal,Subtotal,Subtotal,Whole Blood,Whole Blood,Apheresis Blood,Apheresis Blood,Platelet from Apheresis Blood,Platelet from Apheresis Blood,Subtotal,Subtotal,Plasma from Whole Blood,Plasma from Whole Blood,Plasma from Apheresis Blood,Plasma from Apheresis Blood,Subtotal,Subtotal,Subtotal,Subtotal,Subtotal,Whole Blood,Whole Blood,Apheresis Blood,Apheresis Blood,Platelet from Apheresis Blood,Platelet from Apheresis Blood,Subtotal,Subtotal,Plasma from Whole Blood,Plasma from Whole Blood,Plasma from Apheresis Blood,Plasma from Apheresis Blood,다종Plasma from Apheresis Blood,다종Plasma from Apheresis Blood,Subtotal,Subtotal,Subtotal,Subtotal,Subtotal,Whole Blood,Whole Blood,Apheresis Blood,Apheresis Blood,Platelet from Apheresis Blood,Platelet from Apheresis Blood,Subtotal,Subtotal,Plasma from Whole Blood,Plasma from Whole Blood,Plasma from Apheresis Blood,Plasma from Apheresis Blood,다종Plasma from Apheresis Blood,다종Plasma from Apheresis Blood,Subtotal,Subtotal,Subtotal,Subtotal,Subtotal,Whole Blood,Whole Blood,Apheresis Blood,Apheresis Blood,Platelet from Apheresis Blood,Platelet from Apheresis Blood,Subtotal,Subtotal,Plasma from Whole Blood,Plasma from Whole Blood,Plasma from Apheresis Blood,Plasma from Apheresis Blood,다종Plasma from Apheresis Blood,다종Plasma from Apheresis Blood,Subtotal,Subtotal,Subtotal,Subtotal,Subtotal,Whole Blood,Whole Blood,Apheresis Blood,Apheresis Blood,Platelet from Apheresis Blood,Platelet from Apheresis Blood,Subtotal,Subtotal,Plasma from Whole Blood,Plasma from Whole Blood,Plasma from Apheresis Blood,Plasma from Apheresis Blood,다종Plasma from Apheresis Blood,다종Plasma from Apheresis Blood,Subtotal,Subtotal,Subtotal,Subtotal,Subtotal,Whole Blood,Whole Blood,Apheresis Blood,Apheresis Blood,Platelet from Apheresis Blood,Platelet from Apheresis Blood,Subtotal,Subtotal,Plasma from Whole Blood,Plasma from Whole Blood,Plasma from Apheresis Blood,Plasma from Apheresis Blood,다종Plasma from Apheresis Blood,다종Plasma from Apheresis Blood,Subtotal,Subtotal,Subtotal,Subtotal,Subtotal,Whole Blood,Whole Blood,Apheresis Blood,Apheresis Blood,Platelet from Apheresis Blood,Platelet from Apheresis Blood,Subtotal,Subtotal,Plasma from Whole Blood,Plasma from Whole Blood,Plasma from Apheresis Blood,Plasma from Apheresis Blood,다종Plasma from Apheresis Blood,다종Plasma from Apheresis Blood
"Donation Source(1)",Donation Count,Blood Product (unit),Blood Product (unit),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),실적 (건),Blood Product (unit),Blood Product (unit),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),실적 (건),Blood Product (unit),Blood Product (unit),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),실적 (건),Blood Product (unit),Blood Product (unit),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),실적 (건),Blood Product (unit),Blood Product (unit),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),실적 (건),Blood Product (unit),Blood Product (unit),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),실적 (건),Blood Product (unit),Blood Product (unit),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),실적 (건),Blood Product (unit),Blood Product (unit),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),실적 (건),Blood Product (unit),Blood Product (unit),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),실적 (건),Blood Product (unit),Blood Product (unit),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),실적 (건),Blood Product (unit),Blood Product (unit),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),실적 (건),Blood Product (unit),Blood Product (unit),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),실적 (건),Blood Product (unit),Blood Product (unit),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),실적 (건),Blood Product (unit),Blood Product (unit),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%),Blood Product (unit),Proportion (%)
"Total",2223636,5168535,4931499,3472979,70.4,11564,0.2,3396058,68.9,65357,1.3,1458520,29.6,995920,20.2,462600,9.4,2250603,5213742,5120827,3560117,69.5,7220,0.1,3483911,68.0,68986,1.3,1560710,30.5,1021760,20.0,538950,10.5,2028684,5148343,4993794,3703464,74.2,5334,0.1,3626615,72.6,71515,1.4,1290330,25.8,1048560,21.0,241770,4.8,2265592,5608085,5453104,3934904,72.2,3847,0.1,3855795,70.7,75262,1.4,1518200,27.8,1149680,21.1,368520,6.8,2461880,6018492,5857967,4145197,70.8,2617,0.0,4062042,69.3,80538,1.4,1712770,29.2,1257280,21.5,455490,7.8,2514699,6167707,6018358,4255286,70.7,2294,0.0,4160207,69.1,92785,1.5,1763072,29.3,1307468,21.7,455604,7.6,2448516,6130730,5974089,4313139,72.2,1770,0.0,4207197,70.4,104172,1.7,1660950,27.8,1276320,21.4,384630,6.4,2542495,6291250,6124156,4399956,71.8,1662,0.0,4279641,69.9,118653,1.9,1724200,28.2,1338880,21.9,385320,6.3,2708173,6383180,6186006,4242146,68.6,1619,0.0,4110184,66.4,130343,2.1,1943860,31.4,1342000,21.7,556043,9.0,45817,0.7,2844538,6406200,6272253,4099483,65.4,1355,0.0,3932410,62.7,165718,2.6,2172770,34.6,1350320,21.5,689263,11.0,133187,2.1,2872156,6405145,6278079,4048199,64.5,1218,0.0,3849783,61.3,197198,3.1,2229880,35.5,1386880,22.1,662552,10.6,180448,2.9,2645181,6109054,5891875,3920575,66.5,1033,0.0,3702820,62.8,216722,3.7,1971300,33.5,1346160,22.8,424526,7.2,200614,3.4,2714819,6432265,6255460,4136518,66.1,901,-,3931487,62.8,204130,3.3,2118942,33.9,1416042,22.6,511394,8.2,191506,3.1,2681611,6524110,6395455,4277762,66.9,764,-,4072242,63.7,204756,3.2,2117693,33.1,1428740,22.3,494812,7.7,194141,3.0
"Central Seoul",210606,539340,573101,459331,80.1,195,0.0,443504,77.4,15632,2.7,113770,19.9,83920,14.6,29850,5.2,222081,556775,598154,482334,80.6,135,0.0,466687,78.0,15512,2.6,115820,19.4,77600,13.0,38220,6.4,187792,492991,564960,475720,84.2,117,0.0,460108,81.4,15495,2.7,89240,15.8,71840,12.7,17400,3.1,207970,525877,580750,463740,79.9,77,0.0,447705,77.1,15958,2.7,117010,20.1,85840,14.8,31170,5.4,208524,523846,587616,469866,80.0,61,0.0,451999,76.9,17806,3.0,117750,20.0,82320,14.0,35430,6.0,251331,621225,688292,538562,78.2,81,0.0,510790,74.2,27691,4.0,149730,21.8,110160,16.0,39570,5.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,266577,634759,826250,643230,77.8,12,-,590736,71.5,52482,6.4,183020,22.2,96020,11.6,51438,6.2,35562,4.3
"Western Seoul",133579,300644,285247,221697,77.7,1507,1.0,201512,70.6,18678,6.5,63550,22.3,40480,14.2,23070,8.1,138596,314082,310015,236535,76.3,916,0.3,214927,69.3,20692,6.7,73480,23.7,47680,15.4,25800,8.3,154934,356370,320503,240663,75.1,567,0.2,216474,67.5,23622,7.4,79840,24.9,59920,18.7,19920,6.2,170843,371698,349207,247157,70.8,295,0.1,221806,63.5,25056,7.2,102050,29.2,66800,19.1,35250,10.1,193223,423336,424525,313055,73.7,229,0.1,286801,67.6,26025,6.1,111470,26.3,72320,17.0,39150,9.2,89734,197997,206013,150960,73.3,95,0.0,137481,66.7,13384,6.5,55053,26.7,38829,18.8,16224,7.9,271598,665645,803345,651865,81.1,127,0.0,615820,76.7,35918,4.5,151480,18.9,106000,13.2,45480,5.7,283170,688228,799190,651180,81.5,101,0.0,613248,76.7,37831,4.7,148010,18.5,99920,12.5,48090,6.0,302603,727887,784510,604710,77.1,38,0.0,569118,72.5,35554,4.5,179800,22.9,108160,13.8,59250,7.6,12390,1.6,334796,772226,819332,598572,73.1,55,0.0,555855,67.8,42662,5.2,220760,26.9,119360,14.6,76380,9.3,25020,3.1,332287,737552,796520,564090,70.8,25,0.0,510573,64.1,53492,6.7,232430,29.2,127040,15.9,69740,8.8,35650,4.5,291236,672037,741841,553661,74.6,24,-,499234,67.3,54403,7.3,188180,25.4,104720,14.1,47643,6.4,35817,4.8,277348,654197,789583,603223,76.4,13,-,549923,69.6,53287,6.7,186360,23.6,98160,12.4,53640,6.8,34560,4.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Southenr Seoul",180865,481788,521527,432297,82.9,83,0.0,424095,81.3,8119,1.6,89230,17.1,71920,13.8,17310,3.3,189797,478846,544737,441857,81.1,86,0.0,432581,79.4,9190,1.7,102880,18.9,71680,13.2,31200,5.7,172800,458882,547351,465971,85.1,21,0.0,456441,83.4,9509,1.7,81380,14.9,64160,11.7,17220,3.1,187157,491228,651670,559020,85.8,35,0.0,548749,84.2,10236,1.6,92650,14.2,70720,10.9,21930,3.4,208521,546467,689261,558671,81.1,14,0.0,548045,79.5,10612,1.5,130590,18.9,102000,14.8,28590,4.1,220212,572890,672922,538942,80.1,7,0.0,525950,78.2,12985,1.9,133980,19.9,104880,15.6,29100,4.3,217957,567527,664665,541645,81.5,9,0.0,527797,79.4,13839,2.1,123020,18.5,95120,14.3,27900,4.2,228981,598277,655566,533226,81.3,10,0.0,519125,79.2,14091,2.1,122340,18.7,93840,14.3,28500,4.3,235251,583078,612439,487029,79.5,32,0.0,468178,76.4,18819,3.1,125410,20.5,80080,13.1,40802,6.7,4528,0.7,229574,552789,562954,419424,74.5,10,0.0,389196,69.1,30218,5.4,143530,25.5,80320,14.3,40332,7.2,22878,4.1,224175,519816,547272,396982,72.5,7,0.0,367369,67.1,29606,5.4,150290,27.5,85280,15.6,39424,7.2,25586,4.7,227144,531024,544925,397795,73.0,8,-,362554,66.5,35233,6.5,147130,27.0,86800,15.9,32946,6.0,27384,5.0,246596,600738,613593,443993,72.4,16,-,412845,67.3,31132,5.1,169600,27.6,107680,17.5,36659,6.0,25261,4.1,230499,572849,636934,466214,73.2,14,-,434560,68.2,31640,5.0,170720,26.8,107510,16.9,37195,5.8,26015,4.1
"Eastern Seoul",195539,474953,448972,328882,73.3,826,0.2,323954,72.2,4102,0.9,120090,26.7,89280,19.9,30810,6.9,200418,489834,474846,344996,72.7,758,0.2,339570,71.5,4668,1.0,129850,27.3,91840,19.3,38010,8.0,181977,488104,492055,385615,78.4,613,0.1,381183,77.5,3819,0.8,106440,21.6,93120,18.9,13320,2.7,198135,530832,518252,390802,75.4,338,0.1,387141,74.7,3323,0.6,127450,24.6,109600,21.1,17850,3.4,213194,543589,526804,383604,72.8,172,0.0,381874,72.5,1558,0.3,143200,27.2,110080,20.9,33120,6.3,248947,628510,624088,454518,72.8,175,0.0,443509,71.1,10834,1.7,169570,27.2,132880,21.3,36690,5.9,265040,666424,671957,510397,76.0,244,0.0,487480,72.5,22673,3.4,161560,24.0,127360,19.0,34200,5.1,276024,674125,687848,526108,76.5,197,0.0,496664,72.2,29247,4.3,161740,23.5,130480,19.0,31260,4.5,295350,674098,695466,495336,71.2,189,0.0,462846,66.6,32301,4.6,200130,28.8,134640,19.4,53545,7.7,11945,1.7,315316,673722,683149,451839,66.1,142,0.0,419354,61.4,32343,4.7,231310,33.9,136960,20.0,68240,10.0,26110,3.8,298738,656737,663377,444457,67.0,90,0.0,406947,61.3,37420,5.6,218920,33.0,131680,19.8,57608,8.7,29632,4.5,273327,630059,635035,440485,69.4,88,-,402677,63.4,37720,5.9,194550,30.6,125760,19.8,36614,5.8,32176,5.1,279786,667497,676351,470771,69.6,52,-,435682,64.4,35037,5.2,205580,30.4,128720,19.0,44421,6.6,32439,4.8,279045,681482,687705,483575,70.3,64,-,447702,65.1,35809,5.2,204130,29.7,128320,18.7,43009,6.3,32801,4.8
"Busan",213224,479881,457402,332242,72.6,3624,1.0,326017,71.3,2601,0.6,125160,27.4,72960,16.0,52200,11.4,212569,478707,462020,326410,70.6,1085,0.2,321541,69.6,3784,0.8,135610,29.4,85120,18.4,50490,10.9,189623,462052,449576,339316,75.5,410,0.1,334065,74.3,4841,1.1,110260,24.5,84400,18.8,25860,5.8,210269,514449,492470,361010,73.3,354,0.1,355628,72.2,5028,1.0,131460,26.7,96720,19.6,34740,7.1,216812,515714,495622,346432,69.9,224,0.0,341413,68.9,4795,1.0,149190,30.1,106800,21.5,42390,8.6,233394,571689,547285,389935,71.2,245,0.0,384756,70.3,4934,0.9,157350,28.8,115200,21.0,42150,7.7,217017,555514,558155,410925,73.6,290,0.1,405815,72.7,4820,0.9,147230,26.4,112400,20.1,34830,6.2,218875,549118,561970,418510,74.5,304,0.1,412461,73.4,5745,1.0,143460,25.5,108480,19.3,34980,6.2,230923,554738,569867,408757,71.7,412,0.1,400822,70.3,7523,1.3,161110,28.3,110080,19.3,49062,8.6,1968,0.3,235796,530427,567199,392769,69.2,156,0.0,383619,67.6,8994,1.6,174430,30.8,98560,17.4,67676,11.9,8194,1.4,238001,539638,563760,378030,67.1,122,0.0,367479,65.2,10429,1.8,185730,32.9,107520,19.1,67188,11.9,11022,2.0,204844,493248,520327,373957,71.9,64,-,362753,69.7,11140,2.1,146370,28.1,97920,18.8,33893,6.5,14557,2.8,215205,509317,525639,361769,68.8,62,-,352087,67.0,9620,1.8,163870,31.2,104320,19.8,44454,8.5,15096,2.9,223597,542811,548621,380331,69.3,47,-,368761,67.2,11523,2.1,168290,30.7,109550,20.0,42203,7.7,16537,3.0
"Daegu/Gyeongbook",194152,420592,402591,270341,67.2,2330,1.0,263853,65.5,4158,1.0,132250,32.8,93040,23.1,39210,9.7,188941,414219,408548,262878,64.3,1884,0.5,257448,63.0,3546,0.9,145670,35.7,98000,24.0,47670,11.7,157399,411647,393277,281467,71.6,1645,0.4,277532,70.6,2290,0.6,111810,28.4,98880,25.1,12930,3.3,188025,497353,447889,313439,70.0,1389,0.3,309700,69.1,2350,0.5,134450,30.0,119600,26.7,14850,3.3,215479,566371,498913,337223,67.6,930,0.2,333508,66.8,2785,0.6,161690,32.4,143120,28.7,18570,3.7,213269,563154,504448,352189,69.8,734,0.1,348201,69.0,3254,0.6,152259,30.2,133599,26.5,18660,3.7,211723,556454,502990,341760,67.9,352,0.1,338464,67.3,2944,0.6,161230,32.1,142720,28.4,18510,3.7,226824,580462,526716,345136,65.5,153,0.0,341659,64.9,3324,0.6,181580,34.5,157280,29.9,24300,4.6,244750,597460,551044,352384,63.9,121,0.0,349751,63.5,2512,0.5,198660,36.1,152400,27.7,44781,8.1,1479,0.3,263765,590103,560998,333668,59.5,86,0.0,330005,58.8,3577,0.6,227330,40.5,149120,26.6,71031,12.7,7179,1.3,260227,583578,546564,334104,61.1,91,0.0,326582,59.8,7431,1.4,212460,38.9,136320,24.9,66421,12.2,9719,1.8,236895,548799,514241,320861,62.4,67,-,308376,60.0,12418,2.4,193380,37.6,137040,26.6,43066,8.4,13274,2.6,240774,551122,531780,330818,62.2,29,-,318938,60.0,11851,2.2,200962,37.8,136042,25.6,53718,10.1,11202,2.1,246155,581860,553028,339438,61.4,45,-,329463,59.6,9930,1.8,213590,38.6,148790,26.9,54118,9.8,10682,1.9
