Gender,Monthly,Donation Source,Category,Unit,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,month
Men+Women,January,Total,Donation Count,Unit,169087.0,176015.0,187538.0,201135.0,190237.0,208765,212474.0,210881.0,238890.0,232959.0,257355.0,248426.0,219578.0,237893.0,238712.0,206758.0,213118.0,189598.0,200795.0,1
Men+Women,January,Total,Composition Rate[%],%,7.4,7.6,9.0,8.6,7.4,7.8,8.1,7.7,8.2,7.6,8.3,8.7,7.5,8.3,8.6,7.9,8.2,7.2,7.2,1
Men+Women,January,Korean Red Cross,Donation Count,Unit,165863.0,173132.0,182945.0,195331.0,182670.0,198985,200174.0,198064.0,223612.0,216611.0,241385.0,231909.0,203609.0,221066.0,223703.0,194040.0,200754.0,175710.0,185559.0,1
Men+Women,January,Korean Red Cross,Composition Rate[%],%,7.5,7.7,9.0,8.6,7.4,7.9,8.2,7.8,8.3,7.6,8.4,8.8,7.5,8.2,8.6,8.0,8.3,7.2,7.3,1
Men+Women,January,Central Seoul,Donation Count,Unit,15577.0,17563.0,17631.0,21047.0,16614.0,17867,,,,,,,,24809.0,23563.0,19831.0,17856.0,16737.0,17767.0,1
Men+Women,January,Central Seoul,Composition Rate[%],%,7.4,7.9,9.4,10.1,8.0,7.1,,,,,,,,9.3,9.4,8.9,8.2,7.5,7.6,1
Men+Women,January,Western Seoul,Donation Count,Unit,10614.0,9334.0,13930.0,15071.0,16273.0,16531,21032.0,22772.0,25741.0,25953.0,29504.0,29223.0,23689.0,,,,,,,1
Men+Women,January,Western Seoul,Composition Rate[%],%,7.9,6.7,9.0,8.8,7.8,18.4,7.7,8.0,8.5,7.8,8.9,10.0,8.5,,,,,,,1
Men+Women,January,Southern Seoul,Donation Count,Unit,13714.0,14679.0,16183.0,18676.0,16316.0,18370,19275.0,19717.0,21271.0,19651.0,19998.0,19698.0,19955.0,20334.0,20384.0,17098.0,15178.0,13167.0,14634.0,1
Men+Women,January,Southern Seoul,Composition Rate[%],%,7.6,7.7,9.4,10.0,7.7,8.3,8.8,8.6,9.0,8.6,8.9,8.7,8.1,8.8,9.5,9.0,8.6,7.2,7.5,1
Men+Women,January,Eastern Seoul,Donation Count,Unit,14671.0,16292.0,18154.0,20016.0,15019.0,17810,22393.0,21367.0,25400.0,23161.0,26734.0,27343.0,22601.0,25139.0,24404.0,20337.0,19890.0,18045.0,19796.0,1
