date,year,month,day,supply
1/1/2005,2005,1,1,33341
1/2/2005,2005,1,2,32910
1/3/2005,2005,1,3,31669
1/4/2005,2005,1,4,33033
1/5/2005,2005,1,5,32854
1/6/2005,2005,1,6,31889
1/7/2005,2005,1,7,32098
1/8/2005,2005,1,8,30253
1/9/2005,2005,1,9,30256
1/10/2005,2005,1,10,30281
1/11/2005,2005,1,11,30514
1/12/2005,2005,1,12,31194
1/13/2005,2005,1,13,30711
1/14/2005,2005,1,14,30491
1/15/2005,2005,1,15,28734
1/16/2005,2005,1,16,28381
1/17/2005,2005,1,17,28900
1/18/2005,2005,1,18,28732
1/19/2005,2005,1,19,27801
1/20/2005,2005,1,20,27681
1/21/2005,2005,1,21,27503
1/22/2005,2005,1,22,25849
1/23/2005,2005,1,23,25502
1/24/2005,2005,1,24,25637
1/25/2005,2005,1,25,25939
1/26/2005,2005,1,26,25855
1/27/2005,2005,1,27,25042
1/28/2005,2005,1,28,24581
1/29/2005,2005,1,29,22926
1/30/2005,2005,1,30,22999
1/31/2005,2005,1,31,22724
2/1/2005,2005,2,1,24168
2/2/2005,2005,2,2,26268
2/3/2005,2005,2,3,26640
2/4/2005,2005,2,4,26999
2/5/2005,2005,2,5,26291
2/6/2005,2005,2,6,26860
2/7/2005,2005,2,7,27341
2/8/2005,2005,2,8,26579
2/9/2005,2005,2,9,25766
2/10/2005,2005,2,10,25732
2/11/2005,2005,2,11,27721
2/12/2005,2005,2,12,26576
2/13/2005,2005,2,13,27080
2/14/2005,2005,2,14,28163
2/15/2005,2005,2,15,29562
2/16/2005,2005,2,16,28937
2/17/2005,2005,2,17,30294
2/18/2005,2005,2,18,30119
2/19/2005,2005,2,19,28159
2/20/2005,2005,2,20,27967
2/21/2005,2005,2,21,27917
2/22/2005,2005,2,22,28104
2/23/2005,2005,2,23,28576
2/24/2005,2005,2,24,29054
2/25/2005,2005,2,25,29441
2/26/2005,2005,2,26,28219
2/27/2005,2005,2,27,28996
2/28/2005,2005,2,28,29076
3/1/2005,2005,3,1,13364
3/2/2005,2005,3,2,12655
3/3/2005,2005,3,3,11570
3/4/2005,2005,3,4,12988
3/5/2005,2005,3,5,14691
3/6/2005,2005,3,6,16243
3/7/2005,2005,3,7,14946
3/8/2005,2005,3,8,13345
3/9/2005,2005,3,9,13466
3/10/2005,2005,3,10,12375
3/11/2005,2005,3,11,13314
3/12/2005,2005,3,12,15765
3/13/2005,2005,3,13,17903
3/14/2005,2005,3,14,15906
3/15/2005,2005,3,15,14536
3/16/2005,2005,3,16,13755
3/17/2005,2005,3,17,13302
3/18/2005,2005,3,18,14210
3/19/2005,2005,3,19,16300
3/20/2005,2005,3,20,16872
3/21/2005,2005,3,21,16466
3/22/2005,2005,3,22,15772
3/23/2005,2005,3,23,15845
3/24/2005,2005,3,24,15856
3/25/2005,2005,3,25,16195
3/26/2005,2005,3,26,17717
3/27/2005,2005,3,27,18848
3/28/2005,2005,3,28,18470
3/29/2005,2005,3,29,17127
3/30/2005,2005,3,30,17008
3/31/2005,2005,3,31,17070
4/1/2005,2005,4,1,17060
4/2/2005,2005,4,2,17989
4/3/2005,2005,4,3,17870
4/4/2005,2005,4,4,16583
4/5/2005,2005,4,5,15372
4/6/2005,2005,4,6,14163
4/7/2005,2005,4,7,13677
4/8/2005,2005,4,8,13761
4/9/2005,2005,4,9,14529
4/10/2005,2005,4,10,15663
4/11/2005,2005,4,11,14501
4/12/2005,2005,4,12,13724
4/13/2005,2005,4,13,12354
4/14/2005,2005,4,14,12411
4/15/2005,2005,4,15,12896
4/16/2005,2005,4,16,12915
4/17/2005,2005,4,17,12902
4/18/2005,2005,4,18,12394
4/19/2005,2005,4,19,10661
4/20/2005,2005,4,20,10075
4/21/2005,2005,4,21,13612
4/22/2005,2005,4,22,16604
4/23/2005,2005,4,23,18942
4/24/2005,2005,4,24,20301
4/25/2005,2005,4,25,18326
4/26/2005,2005,4,26,18472
4/27/2005,2005,4,27,18476
4/28/2005,2005,4,28,18786
4/29/2005,2005,4,29,21428
4/30/2005,2005,4,30,24247
5/1/2005,2005,5,1,24630
5/2/2005,2005,5,2,24500
5/3/2005,2005,5,3,25679
5/4/2005,2005,5,4,25821
5/5/2005,2005,5,5,24105
5/6/2005,2005,5,6,24000
5/7/2005,2005,5,7,24556
5/8/2005,2005,5,8,25465
5/9/2005,2005,5,9,25405
5/10/2005,2005,5,10,24533
5/11/2005,2005,5,11,25050
5/12/2005,2005,5,12,25836
5/13/2005,2005,5,13,26652
5/14/2005,2005,5,14,27603
5/15/2005,2005,5,15,28348
5/16/2005,2005,5,16,28374
