source,year,month,month_name,unit,patients
Busan,2006,1,January,14643.53448,5854
Busan,2006,2,February,13740.79552,5456
Busan,2006,3,March,13744.99985,5384
Busan,2006,4,April,12593.38843,4944
Busan,2006,5,May,13412.91019,5271
Busan,2006,6,June,13197.69038,5199
Busan,2006,7,July,13861.91103,5537
Busan,2006,8,August,14874.88383,5901
Busan,2006,9,September,13120.8798,5077
Busan,2006,10,October,12733.5539,4912
Busan,2006,11,November,13054.4068,5104
Busan,2006,12,December,13137.05437,5186
Busan,2007,1,January,17905.78166,7260
Busan,2007,2,February,14367.51339,5662
Busan,2007,3,March,15779.43808,6187
Busan,2007,4,April,14677.41807,5784
Busan,2007,5,May,15234.33305,5989
Busan,2007,6,June,14499.26945,5671
Busan,2007,7,July,15924.3073,6287
Busan,2007,8,August,16438.70859,6419
Busan,2007,9,September,13653.2308,5167
Busan,2007,10,October,15402.64013,5970
Busan,2007,11,November,14223.87015,5543
Busan,2007,12,December,13947.93305,5522
Busan,2008,1,January,18225.5086,7378
Busan,2008,2,February,14274.04232,5623
Busan,2008,3,March,15478.26936,6127
Busan,2008,4,April,14462.22093,5723
Busan,2008,5,May,14457.42969,5716
Busan,2008,6,June,14934.30337,5965
Busan,2008,7,July,16182.25937,6520
Busan,2008,8,August,15109.30807,6044
Busan,2008,9,September,14286.40813,5575
Busan,2008,10,October,12653.47953,4861
Busan,2008,11,November,13420.21319,5340
Busan,2008,12,December,14055.78841,5642
Busan,2009,1,January,17646.78808,7083
Busan,2009,2,February,16533.27146,6732
Busan,2009,3,March,16910.85842,6760
Busan,2009,4,April,15820.53787,6325
Busan,2009,5,May,15377.78545,6185
Busan,2009,6,June,15729.21805,6366
Busan,2009,7,July,17266.77437,7010
Busan,2009,8,August,17066.53455,6920
Busan,2009,9,September,16041.14338,6324
Busan,2009,10,October,15790.0963,6238
Busan,2009,11,November,15033.27644,5955
Busan,2009,12,December,16351.28147,6661
Busan,2010,1,January,19367.20849,7891
Busan,2010,2,February,15973.17684,6424
Busan,2010,3,March,18391.07348,7389
Busan,2010,4,April,16682.86716,6676
Busan,2010,5,May,16568.20909,6634
Busan,2010,6,June,17131.01257,6892
Busan,2010,7,July,16975.16698,6879
Busan,2010,8,August,17525.98619,7163
Busan,2010,9,September,15026.7835,5860
Busan,2010,10,October,15770.43971,6238
Busan,2010,11,November,15573.56057,6238
Busan,2010,12,December,15759.70729,6503
Busan,2011,1,January,18989.17446,7635
Busan,2011,2,February,15348.28301,6164
Busan,2011,3,March,17962.59698,7208
Busan,2011,4,April,15993.21073,6440
Busan,2011,5,May,16557.21985,6687
Busan,2011,6,June,16376.06928,6609
Busan,2011,7,July,16499.85445,6702
Busan,2011,8,August,15351.725,6203
Busan,2011,9,September,12540.77273,4922
Busan,2011,10,October,15015.09541,6033
Busan,2011,11,November,15323.31973,6221
Busan,2011,12,December,15616.68518,6478
Busan,2012,1,January,20231.29568,8294
Busan,2012,2,February,18703.32684,7688
Busan,2012,3,March,18133.68479,7302
Busan,2012,4,April,17075.16266,6914
Busan,2012,5,May,17788.83314,7245
Busan,2012,6,June,16973.42425,6840
Busan,2012,7,July,19133.83818,7794
Busan,2012,8,August,18679.76629,7548
Busan,2012,9,September,16275.66942,6451
Busan,2012,10,October,17811.16064,7174
Busan,2012,11,November,16895.15922,6856
Busan,2012,12,December,16345.90049,6768
Busan,2013,1,January,21360.05867,8880
Busan,2013,2,February,16855.02158,6873
Busan,2013,3,March,17603.07456,7160
Busan,2013,4,April,16976.2781,6934
Busan,2013,5,May,17118.83211,7042
Busan,2013,6,June,16140.02614,6631
Busan,2013,7,July,18336.43318,7610
