year,source,sex,total,whole_blood_donation,whole_blood_donation_320ml,whole_blood_donation_400ml,apheresis_donation,apheresis_donation_plasma,apheresis_donation_platelets,apheresis_donation_multiapheresis,apheresis_donation_other
2005,Central Seoul,Men,169824,133554,21000,112554,36270,24350,11920,,
2005,Central Seoul,Women,40782,33088,30891,2197,7694,6606,1088,,
2005,Western Seoul,Men,113857,78447,12392,66055,35410,18300,17110,,
2005,Western Seoul,Women,19722,13426,13068,358,6296,5203,1093,,
2005,Southern Seoul,Men,149974,127355,13279,114076,22619,14285,8334,,
2005,Southern Seoul,Women,30891,26617,18507,8110,4274,3868,406,,
2005,Eastern Seoul,Men,158684,129395,21612,107783,29289,24999,4290,,
2005,Eastern Seoul,Women,36855,29974,28919,1055,6881,6650,231,,
2005,Busan,Men,163134,129204,20742,108462,33930,31208,2722,,
2005,Busan,Women,50090,27774,27664,110,22316,22250,66,,
2005,DaeguGyeongbuk,Men,146703,117390,27078,90312,29313,25598,3715,,
2005,DaeguGyeongbuk,Women,47449,31463,31459,4,15986,15334,652,,
2005,Incheon,Men,90515,72592,17121,55471,17923,15132,2791,,
2005,Incheon,Women,38759,34206,32924,1282,4553,4259,294,,
2005,Ulsan,Men,61828,41017,9049,31968,20811,19799,1012,,
2005,Ulsan,Women,16922,6899,6629,270,10023,10006,17,,
2005,Gyeonggi,Men,117416,103217,15932,87285,14199,10857,3342,,
2005,Gyeonggi,Women,20946,17900,17896,4,3046,2929,117,,
2005,Gangwon,Men,75508,62110,4532,57578,13398,13062,336,,
2005,Gangwon,Women,7614,4088,4073,15,3526,3516,10,,
2005,Chungbuk,Men,60752,39487,5956,33531,21265,20466,799,,
2005,Chungbuk,Women,16599,8082,5359,2723,8517,8471,46,,
2005,DaejeonChungnam,Men,140630,109507,13943,95564,31123,30413,710,,
2005,DaejeonChungnam,Women,20682,9637,9635,2,11045,10979,66,,
2005,Jeonbuk,Men,95457,60995,12541,48454,34462,32771,1691,,
2005,Jeonbuk,Women,25456,11220,10809,411,14236,14106,130,,
2005,Jeonnam,Men,132050,91513,28678,62835,40537,38689,1848,,
2005,Jeonnam,Women,42300,23117,23055,62,19183,19066,117,,
2005,Gyeongnam,Men,88225,75134,13670,61464,13091,11931,1160,,
2005,Gyeongnam,Women,12338,8229,8178,51,4109,4057,52,,
2005,Jeju,Men,24968,18950,3401,15549,6018,5277,741,,
2005,Jeju,Women,6706,3783,3783,,2923,2778,145,,
2005,Outside of Korean Red Cross,Men,42088,31256,3957,27299,10832,7,9370,,1455
2005,Outside of Korean Red Cross,Women,8612,7601,5322,2279,1011,,895,,116
2006,Central Seoul,Men,174506,135568,23670,111898,38938,26092,12846,,
2006,Central Seoul,Women,47575,34706,32939,1767,12869,11691,1178,,
2006,Western Seoul,Men,114093,79230,14822,64408,34863,19243,15620,,
2006,Western Seoul,Women,24503,16742,16259,483,7761,6681,1080,,
2006,Southern Seoul,Men,151475,119046,13618,105428,32429,23321,9108,,
2006,Southern Seoul,Women,38322,29641,23041,6600,8681,8213,468,,
2006,Eastern Seoul,Men,150842,117799,21857,95942,33043,28190,4853,,
2006,Eastern Seoul,Women,49576,40082,39365,717,9494,9302,192,,
2006,Busan,Men,160286,125373,20699,104674,34913,30421,4492,,
2006,Busan,Women,52283,31385,31024,361,20898,20732,166,,
2006,DaeguGyeongbuk,Men,139819,105793,25504,80289,34026,30312,3714,,
2006,DaeguGyeongbuk,Women,49122,32186,32185,1,16936,16611,325,,
2006,Incheon,Men,86833,67897,15054,52843,18936,15593,3343,,
2006,Incheon,Women,34148,28990,27898,1092,5158,4882,276,,
2006,Ulsan,Men,64903,39564,8382,31182,25339,24017,1322,,
2006,Ulsan,Women,17206,7099,6745,354,10107,10047,60,,
2006,Gyeonggi,Men,114908,101073,19219,81854,13835,10512,3323,,
2006,Gyeonggi,Women,26794,23646,23124,522,3148,2976,172,,
2006,Gangwon,Men,67686,54711,3038,51673,12975,12591,384,,
2006,Gangwon,Women,8899,4705,4104,601,4194,4183,11,,
2006,Chungbuk,Men,61782,38039,5831,32208,23743,23289,454,,
2006,Chungbuk,Women,17221,7716,5065,2651,9505,9482,23,,
2006,DaejeonChungnam,Men,116662,89841,15864,73977,26821,25573,1248,,
2006,DaejeonChungnam,Women,30190,17914,17881,33,12276,12192,84,,
2006,Jeonbuk,Men,88799,52556,11976,40580,36243,34880,1363,,
2006,Jeonbuk,Women,29805,12557,12308,249,17248,17163,85,,
2006,Jeonnam,Men,144359,96047,25412,70635,48312,46209,2103,,
2006,Jeonnam,Women,55610,30168,29407,761,25442,25341,101,,
2006,Gyeongnam,Men,87567,74174,14425,59749,13393,11945,1448,,
2006,Gyeongnam,Women,15060,10751,10663,88,4309,4248,61,,
2006,Jeju,Men,23755,17833,3489,14344,5922,5437,485,,
2006,Jeju,Women,6014,4049,4049,,1965,1942,23,,
2006,Outside of Korean Red Cross,Men,43763,37744,5511,32233,6019,5,4824,,1190
