city,year,month,composition_rate,total_unit,women_unit,men_unit
Busan,2006,1,7.8,16581.0,4100.0,12481.0
Busan,2006,10,7.4,15650.0,4115.0,11535.0
Busan,2006,11,8.4,17801.0,4658.0,13143.0
Busan,2006,12,8.0,16996.0,4552.0,12444.0
Busan,2006,2,8.3,17608.0,5509.0,12099.0
Busan,2006,3,9.1,19322.0,4518.0,14804.0
Busan,2006,4,8.6,18257.0,3943.0,14314.0
Busan,2006,5,9.8,20927.0,5031.0,15896.0
Busan,2006,6,7.9,16708.0,3753.0,12955.0
Busan,2006,7,8.5,18173.0,4166.0,14007.0
Busan,2006,8,8.0,17007.0,3829.0,13178.0
Busan,2006,9,8.3,17539.0,4109.0,13430.0
Busan,2007,1,8.5,16159.0,4044.0,12115.0
Busan,2007,10,8.4,15854.0,2990.0,12864.0
Busan,2007,11,8.5,16180.0,4256.0,11924.0
Busan,2007,12,8.2,15465.0,4413.0,11052.0
Busan,2007,2,7.4,14027.0,4153.0,9874.0
Busan,2007,3,7.6,14383.0,3277.0,11106.0
Busan,2007,4,7.9,14981.0,2476.0,12505.0
Busan,2007,5,10.4,19636.0,2963.0,16673.0
Busan,2007,6,9.0,17092.0,3633.0,13459.0
Busan,2007,7,8.9,16845.0,3603.0,13242.0
Busan,2007,8,7.7,14674.0,3067.0,11607.0
Busan,2007,9,7.6,14327.0,3023.0,11304.0
Busan,2008,1,8.1,16996.0,3820.0,13176.0
Busan,2008,10,8.4,17710.0,4562.0,13148.0
Busan,2008,11,9.8,20643.0,5269.0,15374.0
Busan,2008,12,9.1,19175.0,5898.0,13277.0
Busan,2008,2,6.6,13844.0,3834.0,10010.0
Busan,2008,3,7.5,15875.0,4014.0,11861.0
Busan,2008,4,8.5,17866.0,4099.0,13767.0
Busan,2008,5,9.3,19583.0,4097.0,15486.0
Busan,2008,6,7.8,16490.0,3975.0,12515.0
Busan,2008,7,8.2,17222.0,4395.0,12827.0
Busan,2008,8,8.1,16992.0,4418.0,12574.0
Busan,2008,9,8.5,17873.0,4477.0,13396.0
Busan,2009,1,7.2,15569.0,4089.0,11480.0
Busan,2009,10,7.7,16659.0,4145.0,12514.0
Busan,2009,11,8.4,18310.0,4758.0,13552.0
Busan,2009,12,8.0,17252.0,5117.0,12135.0
Busan,2009,2,7.5,16250.0,4459.0,11791.0
Busan,2009,3,8.2,17775.0,5249.0,12526.0
Busan,2009,4,9.8,21150.0,4699.0,16451.0
Busan,2009,5,10.1,21817.0,4859.0,16958.0
Busan,2009,6,8.1,17554.0,4361.0,13193.0
Busan,2009,7,8.2,17827.0,4780.0,13047.0
Busan,2009,8,8.1,17519.0,5030.0,12489.0
Busan,2009,9,8.8,19130.0,5068.0,14062.0
Busan,2010,1,7.7,17924.0,4775.0,13149.0
Busan,2010,10,8.4,19612.0,5603.0,14009.0
Busan,2010,11,8.7,20301.0,5927.0,14374.0
Busan,2010,12,8.2,19232.0,5842.0,13390.0
Busan,2010,2,6.5,15164.0,4704.0,10460.0
Busan,2010,3,8.2,19181.0,5091.0,14090.0
Busan,2010,4,9.1,21260.0,4643.0,16617.0
Busan,2010,5,9.5,22223.0,5694.0,16529.0
Busan,2010,6,8.3,19263.0,6211.0,13052.0
Busan,2010,7,8.8,20610.0,5927.0,14683.0
Busan,2010,8,8.5,19804.0,5974.0,13830.0
Busan,2010,9,8.1,18820.0,5584.0,13236.0
Busan,2011,1,8.5,18355.0,5427.0,12928.0
Busan,2011,10,7.3,15743.0,4268.0,11475.0
Busan,2011,11,8.6,18735.0,5976.0,12759.0
Busan,2011,12,7.6,16530.0,5237.0,11293.0
Busan,2011,2,7.0,15130.0,4967.0,10163.0
Busan,2011,3,9.4,20424.0,6587.0,13837.0
Busan,2011,4,9.3,20120.0,5283.0,14837.0
Busan,2011,5,10.3,22290.0,6413.0,15877.0
Busan,2011,6,7.4,16122.0,5052.0,11070.0
Busan,2011,7,8.5,18379.0,5548.0,12831.0
Busan,2011,8,7.8,16956.0,5761.0,11195.0
Busan,2011,9,8.4,18233.0,5638.0,12595.0
Busan,2012,1,7.1,15640.0,4698.0,10942.0
Busan,2012,10,8.3,18153.0,5639.0,12514.0
Busan,2012,11,9.5,20755.0,7186.0,13569.0
Busan,2012,12,8.2,17932.0,5508.0,12424.0
Busan,2012,2,7.9,17367.0,5624.0,11743.0
Busan,2012,3,9.6,21009.0,6569.0,14440.0
Busan,2012,4,7.5,16331.0,4332.0,11999.0
Busan,2012,5,10.5,23085.0,6298.0,16787.0
Busan,2012,6,7.4,16225.0,5044.0,11181.0
Busan,2012,7,8.1,17677.0,4810.0,12867.0
Busan,2012,8,8.0,17563.0,5452.0,12111.0
Busan,2012,9,7.8,17138.0,5317.0,11821.0
Busan,2013,1,7.6,17484.0,5663.0,11821.0
Busan,2013,10,9.1,20926.0,7556.0,13370.0
Busan,2013,11,8.8,20424.0,7188.0,13236.0
Busan,2013,12,8.1,18748.0,5714.0,13034.0
Busan,2013,2,6.6,15169.0,4575.0,10594.0
Busan,2013,3,9.2,21258.0,6949.0,14309.0
Busan,2013,4,8.3,19251.0,5518.0,13733.0
Busan,2013,5,9.0,20802.0,6602.0,14200.0
Busan,2013,6,8.1,18592.0,6093.0,12499.0
Busan,2013,7,8.5,19701.0,5785.0,13916.0
Busan,2013,8,9.7,22344.0,7543.0,14801.0
Busan,2013,9,7.0,16224.0,5336.0,10888.0
Busan,2014,1,7.9,18705.0,6332.0,12373.0
Busan,2014,10,8.7,20533.0,7421.0,13112.0
Busan,2014,11,8.7,20453.0,7275.0,13178.0
Busan,2014,12,8.6,20307.0,6516.0,13791.0
Busan,2014,2,7.0,16542.0,5314.0,11228.0
Busan,2014,3,8.6,20364.0,6291.0,14073.0
Busan,2014,4,7.9,18511.0,5773.0,12738.0
Busan,2014,5,9.6,22725.0,8049.0,14676.0
Busan,2014,6,7.4,17526.0,5736.0,11790.0
Busan,2014,7,9.1,21390.0,7359.0,14031.0
Busan,2014,8,8.4,19749.0,6244.0,13505.0
Busan,2014,9,8.1,18991.0,6492.0,12499.0
Busan,2015,1,8.3,19675.0,6609.0,13066.0
Busan,2015,10,9.0,21460.0,7620.0,13840.0
Busan,2015,11,8.9,21301.0,7159.0,14142.0
Busan,2015,12,7.6,18162.0,5252.0,12910.0
Busan,2015,2,6.7,15905.0,5253.0,10652.0
Busan,2015,3,9.3,22116.0,7676.0,14440.0
Busan,2015,4,8.0,19022.0,5773.0,13249.0
Busan,2015,5,8.9,21271.0,7188.0,14083.0
Busan,2015,6,7.6,18197.0,5985.0,12212.0
Busan,2015,7,9.0,21524.0,7542.0,13982.0
Busan,2015,8,8.5,20248.0,6818.0,13430.0
Busan,2015,9,8.0,19120.0,6593.0,12527.0
Busan,2016,1,8.8,18101.0,5422.0,12679.0
Busan,2016,10,8.7,17817.0,5588.0,12229.0
Busan,2016,11,8.1,16536.0,5256.0,11280.0
Busan,2016,12,9.2,18761.0,5520.0,13241.0
Busan,2016,2,6.8,14026.0,4508.0,9518.0
Busan,2016,3,9.2,18838.0,5444.0,13394.0
Busan,2016,4,8.6,17662.0,5178.0,12484.0
Busan,2016,5,9.1,18591.0,6039.0,12552.0
Busan,2016,6,7.3,14900.0,4108.0,10792.0
Busan,2016,7,8.8,17931.0,5367.0,12564.0
Busan,2016,8,8.0,16326.0,4803.0,11523.0
Busan,2016,9,7.5,15355.0,4545.0,10810.0
Busan,2017,1,6.5,14048.0,4042.0,10006.0
Busan,2017,10,7.5,16119.0,4972.0,11147.0
Busan,2017,11,8.9,19208.0,5367.0,13841.0
Busan,2017,12,8.6,18608.0,5364.0,13244.0
Busan,2017,2,6.6,14158.0,4479.0,9679.0
Busan,2017,3,9.2,19782.0,6001.0,13781.0
Busan,2017,4,8.7,18622.0,5075.0,13547.0
Busan,2017,5,9.5,20429.0,6363.0,14066.0
Busan,2017,6,7.9,17015.0,4974.0,12041.0
Busan,2017,7,9.6,20642.0,5664.0,14978.0
Busan,2017,8,8.2,17583.0,5189.0,12394.0
Busan,2017,9,8.8,18991.0,5958.0,13033.0
Busan,2018,1,7.1,15949.0,4506.0,11443.0
Busan,2018,10,8.0,17962.0,5377.0,12585.0
Busan,2018,11,9.4,21033.0,6789.0,14244.0
Busan,2018,12,8.1,18188.0,5235.0,12953.0
Busan,2018,2,7.0,15671.0,4665.0,11006.0
Busan,2018,3,9.7,21675.0,6169.0,15506.0
Busan,2018,4,8.0,17887.0,5366.0,12521.0
Busan,2018,5,9.3,20888.0,6516.0,14372.0
Busan,2018,6,8.4,18776.0,5909.0,12867.0
Busan,2018,7,8.7,19451.0,5727.0,13724.0
Busan,2018,8,8.2,18240.0,5307.0,12933.0
Busan,2018,9,8.0,17877.0,5438.0,12439.0
Busan,2019,1,8.0,17057.0,5016.0,12041.0
Busan,2019,10,8.4,17889.0,5539.0,12350.0
Busan,2019,11,8.6,18471.0,5779.0,12692.0
Busan,2019,12,8.6,18356.0,5297.0,13059.0
Busan,2019,2,6.7,14340.0,3821.0,10519.0
Busan,2019,3,8.7,18615.0,5190.0,13425.0
Busan,2019,4,8.8,18869.0,5786.0,13083.0
Busan,2019,5,9.5,20369.0,6154.0,14215.0
Busan,2019,6,8.2,17475.0,5261.0,12214.0
Busan,2019,7,8.4,18037.0,5364.0,12673.0
Busan,2019,8,8.3,17784.0,5487.0,12297.0
Busan,2019,9,7.6,16299.0,5084.0,11215.0
Busan,2020,1,7.0,13734.0,3924.0,9810.0
