month,year,total_count,total_count_men_projected,total_count_women_projected,eligibile_count,eligibile_count_men_projected,eligibile_count_women_projected,ineligibile_count,ineligibile_count_men_projected,ineligibile_count_women_projected,ineligibile_for_history_or_inspection_count,ineligibile_for_history_or_inspection_count_men_projected,ineligibile_for_history_or_inspection_count_men_projected,ineligibile_for_diagnosis_count,ineligibile_for_diagnosis_count_men_projected,ineligibile_for_diagnosis_count_women_projected,ineligibile_for_health_check_count,ineligibile_for_health_check_count_men_projected,ineligibile_for_health_check_count_women_projected
January,2008,236213,160142,76071,195331,132426,62905,40882,27716,13166,5984,4057,1927,18570,12590,5980,16328,11070,5258
February,2008,187286,126972,60314,149279,101205,48074,38007,25767,12240,6318,4283,2035,15562,10550,5012,16127,10933,5194
March,2008,229072,155301,73771,181270,122893,58377,47802,32408,15394,7044,4776,2268,18102,12272,5830,22656,15360,7296
April,2008,236197,160131,76066,186872,126691,60181,49325,33440,15885,6828,4629,2199,18633,12632,6001,23864,16179,7685
May,2008,250105,169560,80545,197322,133776,63546,52783,35785,16998,7691,5214,2477,17686,11990,5696,27406,18580,8826
June,2008,231937,157243,74694,185340,125653,59687,46597,31591,15006,6486,4397,2089,16314,11060,5254,23797,16133,7664
July,2008,246012,166786,79226,196853,133458,63395,49159,33328,15831,7628,5171,2457,16154,10952,5202,25377,17205,8172
August,2008,232394,157553,74841,188585,127852,60733,43809,29701,14108,7471,5065,2406,15255,10342,4913,21083,14293,6790
September,2008,242732,164562,78170,193013,130854,62159,49719,33707,16012,7190,4875,2315,16810,11396,5414,25719,17436,8283
October,2008,243720,165232,78488,195488,132532,62956,48232,32699,15533,6769,4589,2180,17440,11824,5616,24023,16287,7736
November,2008,243316,164958,78358,197423,133844,63579,45893,31113,14780,6495,4403,2092,16449,11152,5297,22949,15558,7391
December,2008,243237,164904,78333,198816,134789,64027,44421,30116,14305,6054,4104,1950,16015,10857,5158,22352,15154,7198
January,2009,218703,145526,73177,182670,121549,61121,36033,23977,12056,7201,4792,2409,13643,9078,4565,15189,10107,5082
February,2009,224818,149595,75223,184630,122854,61776,40188,26741,13447,7445,4954,2491,13907,9254,4653,18836,12534,6302
March,2009,247207,164493,82714,202757,134915,67842,44450,29577,14873,7304,4860,2444,14832,9869,4963,22314,14848,7466
April,2009,260595,173401,87194,211216,140544,70672,49379,32857,16522,7954,5293,2661,16275,10829,5446,25150,16735,8415
May,2009,291321,193846,97475,232614,154782,77832,58707,39064,19643,8613,5731,2882,16675,11096,5579,33419,22237,11182
June,2009,273602,182056,91546,216066,143771,72295,57536,38285,19251,8098,5388,2710,17633,11733,5900,31805,21163,10642
July,2009,276351,183885,92466,220712,146863,73849,55639,37022,18617,8947,5953,2994,16938,11271,5667,29754,19798,9956
August,2009,265855,176901,88954,209839,139628,70211,56016,37273,18743,9031,6009,3022,17718,11790,5928,29267,19474,9793
September,2009,255923,170292,85631,200633,133502,67131,55290,36790,18500,8090,5383,2707,16700,11112,5588,30500,20295,10205
October,2009,228048,151744,76304,182811,121643,61168,45237,30101,15136,7406,4928,2478,13512,8991,4521,24319,16182,8137
November,2009,271042,180353,90689,219731,146210,73521,51311,34143,17168,8114,5399,2715,17694,11774,5920,25503,16970,8533
December,2009,242253,161196,81057,198201,131884,66317,44052,29312,14740,6888,4583,2305,14727,9799,4928,22437,14930,7507
January,2010,240247,155985,84262,198985,129195,69790,41262,26790,14472,8248,5355,2893,14063,9131,4932,18951,12304,6647
February,2010,215623,139997,75626,176152,114370,61782,39471,25627,13844,7415,4814,2601,13347,8666,4681,18709,12147,6562
March,2010,249220,161811,87409,203786,132312,71474,45434,29499,15935,8344,5418,2926,15186,9860,5326,21904,14222,7682
April,2010,253699,164719,88980,207287,134585,72702,46412,30134,16278,7500,4870,2630,14772,9591,5181,24140,15673,8467
May,2010,285708,185502,100206,227968,148013,79955,57740,37489,20251,8098,5258,2840,16362,10623,5739,33280,21608,11672
June,2010,279524,181486,98038,220303,143036,77267,59221,38450,20771,8139,5284,2855,17219,11180,6039,33863,21986,11877
July,2010,287148,186436,100712,226132,146821,79311,61016,39616,21400,9281,6026,3255,17357,11269,6088,34378,22321,12057
August,2010,272532,176947,95585,217873,141458,76415,54659,35488,19171,8729,5667,3062,16349,10615,5734,29581,19206,10375
September,2010,247799,160888,86911,198668,128989,69679,49131,31899,17232,7025,4561,2464,16296,10580,5716,25810,16758,9052
October,2010,252934,164222,88712,203762,132296,71466,49172,31926,17246,6765,4392,2373,15592,10123,5469,26815,17410,9405
November,2010,268975,174637,94338,219592,142574,77018,49383,32063,17320,6434,4177,2257,16112,10461,5651,26837,17424,9413
December,2010,257685,167307,90378,214191,139068,75123,43494,28239,15255,5951,3864,2087,15455,10034,5421,22088,14341,7747
January,2011,235347,151636,83711,200174,128974,71200,35173,22662,12511,6639,4278,2361,13283,8558,4725,15251,9826,5425
February,2011,209957,135277,74680,174417,112378,62039,35540,22899,12641,6269,4039,2230,12721,8196,4525,16550,10663,5887
March,2011,254856,164206,90650,210051,135337,74714,44805,28868,15937,7447,4798,2649,16240,10464,5776,21118,13606,7512
April,2011,253828,163543,90285,207835,133910,73925,45993,29634,16359,7363,4744,2619,16026,10326,5700,22604,14564,8040
