city,year,month,month_name,unit,patients
Busan,2006,1,January,14643.534482711686,5854
Busan,2006,2,February,13740.795515350354,5456
Busan,2006,3,March,13744.999850952147,5384
Busan,2006,4,April,12593.388428595097,4944
Busan,2006,5,May,13412.91019432462,5271
Busan,2006,6,June,13197.69037980481,5199
Busan,2006,7,July,13861.911026909003,5537
Busan,2006,8,August,14874.88383397976,5901
Busan,2006,9,September,13120.879802455536,5077
Busan,2006,10,October,12733.553901895053,4912
Busan,2006,11,November,13054.406799631583,5104
Busan,2006,12,December,13137.054373472016,5186
Busan,2007,1,January,17905.781661685425,7260
Busan,2007,2,February,14367.513388347976,5662
Busan,2007,3,March,15779.438080803002,6187
Busan,2007,4,April,14677.418068218063,5784
Busan,2007,5,May,15234.333052795882,5989
Busan,2007,6,June,14499.269451841197,5671
Busan,2007,7,July,15924.307300395296,6287
Busan,2007,8,August,16438.70858551682,6419
Busan,2007,9,September,13653.23079504063,5167
Busan,2007,10,October,15402.640128205836,5970
Busan,2007,11,November,14223.870145396688,5543
Busan,2007,12,December,13947.933046709168,5522
Busan,2008,1,January,18225.508596357624,7378
Busan,2008,2,February,14274.042317541072,5623
Busan,2008,3,March,15478.26936256901,6127
Busan,2008,4,April,14462.220930521866,5723
Busan,2008,5,May,14457.429689315652,5716
Busan,2008,6,June,14934.303368220093,5965
Busan,2008,7,July,16182.259366884358,6520
Busan,2008,8,August,15109.308074811757,6044
Busan,2008,9,September,14286.408127078555,5575
Busan,2008,10,October,12653.479527711104,4861
Busan,2008,11,November,13420.21319436651,5340
Busan,2008,12,December,14055.788414437806,5642
Busan,2009,1,January,17646.7880777884,7083
Busan,2009,2,February,16533.271460444394,6732
Busan,2009,3,March,16910.85841546114,6760
Busan,2009,4,April,15820.537872532359,6325
Busan,2009,5,May,15377.785445106583,6185
Busan,2009,6,June,15729.218054984027,6366
Busan,2009,7,July,17266.774368230104,7010
Busan,2009,8,August,17066.534554931663,6920
Busan,2009,9,September,16041.143375752046,6324
Busan,2009,10,October,15790.096298409026,6238
Busan,2009,11,November,15033.276443479019,5955
Busan,2009,12,December,16351.281468096284,6661
Busan,2010,1,January,19367.20849224563,7891
Busan,2010,2,February,15973.176835716846,6424
Busan,2010,3,March,18391.073484309225,7389
Busan,2010,4,April,16682.86715877939,6676
Busan,2010,5,May,16568.20908959453,6634
Busan,2010,6,June,17131.012568425343,6892
Busan,2010,7,July,16975.16698170373,6879
Busan,2010,8,August,17525.98618593204,7163
Busan,2010,9,September,15026.783502981074,5860
Busan,2010,10,October,15770.43970896814,6238
Busan,2010,11,November,15573.560571930171,6238
