"Area","Gender",2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"Area","Gender",Men+Women,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown,Men+Women,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown
"Area","Gender",Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Death at entering hospital,DNR Death,Death after CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room °Ê Hospital Room,Operating Room°ÊIntensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Transition to Tertiary Hospital,Transition to Secondary Hospital,Transition to Long-term Facility,Change of Hospital Due to Personal Preferences,Other,Subtotal,Subtotal,Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Death at entering hospital,DNR Death,Death after CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room °Ê Hospital Room,Operating Room°ÊIntensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Transition to Tertiary Hospital,Transition to Secondary Hospital,Transition to Long-term Facility,Change of Hospital Due to Personal Preferences,Other,Subtotal,Subtotal
"Total","Men+Women",4970892,3785892,3404734,2396,345,107273,33782,237362,30387,17660,3857,8620,250,995328,805327,139041,35988,13008,1964,70840,7263,2798,6527,11003,4724,33684,1116,3725,41515,46930,5009101,3805025,3416345,1916,376,104385,33045,248958,29627,16371,3626,9414,216,1015749,821204,142336,36754,13933,1522,64808,5294,2246,5437,11409,4118,1293,31196,3815,40244,53648
"Total","Men",2619800,1971477,1762635,1246,183,59908,17686,129819,17966,9927,2343,5528,168,541333,427442,83569,21303,8100,919,41707,4057,1657,3905,6867,2670,19792,563,2196,23393,23924,2633132,1974792,1763473,976,207,57967,17124,135045,17479,9143,2238,5948,150,552867,435878,85616,21850,8745,778,38501,2991,1327,3399,6886,2337,711,18544,2306,22345,27148
"Total","Women",2351092,1814415,1642099,1150,162,47365,16096,107543,12421,7733,1514,3092,82,453995,377885,55472,14685,4908,1045,29133,3206,1141,2622,4136,2054,13892,553,1529,18122,23006,2375969,1830233,1652872,940,169,46418,15921,113913,12148,7228,1388,3466,66,462882,385326,56720,14904,5188,744,26307,2303,919,2038,4523,1781,582,12652,1509,17899,26500
"Seoul","Men+Women",1318497,1033692,931075,913,106,32763,3843,64992,7613,5063,652,1872,26,241724,200691,30974,6965,2702,392,16741,4620,1397,1930,381,1579,5836,223,775,7300,11427,1312494,1023357,919344,737,89,29579,4471,69137,7558,4652,605,2272,29,246664,203760,31676,7780,2740,708,14043,3410,1094,1325,280,1609,229,5293,803,6642,14230
"Seoul","Men",676973,523513,468791,465,56,18107,1999,34095,4203,2620,386,1183,14,129615,105010,18889,3846,1644,226,9507,2629,865,1088,220,817,3348,117,423,4541,5594,672764,517011,462451,384,49,16305,2299,35523,4173,2356,369,1429,19,132744,107014,19379,4330,1646,375,8202,1979,680,796,163,906,116,3094,468,3785,6849
"Seoul","Women",641524,510179,462284,448,50,14656,1844,30897,3410,2443,266,689,12,112109,95681,12085,3119,1058,166,7234,1991,532,842,161,762,2488,106,352,2759,5833,639730,506346,456893,353,40,13274,2172,33614,3385,2296,236,843,10,113920,96746,12297,3450,1094,333,5841,1431,414,529,117,703,113,2199,335,2857,7381
"Busan","Men+Women",224678,159290,142983,134,12,6095,2286,7780,1278,214,409,647,8,58692,48863,7438,1582,693,116,4075,133,30,426,351,230,2664,94,147,102,1241,223112,158753,141894,102,8,5808,2163,8778,1190,243,353,589,5,58326,48027,8013,1455,728,103,3367,65,11,379,287,216,90,2211,108,42,1434
