"Area",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"Area",Total,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown,Total,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown,Total,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown,Total,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown,Total,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown,Total,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown,Total,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Discharge,Death,Death,Death,Death,Death,Death,Death,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Hospitalize,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Transition,Other,Unknown
"Area",Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Uncurable DOA,Death - Heart attack when entering hospital and no CPR,Death - Heart attack when entering hospital and CPR executed,Death - Alive when entering hospital and CPR executed,Death - Alive when entering hospital and no CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room ¡æ Hospital Room,Operating Room ¡æ Intensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Need Expert Emergency Unit,Transition due to less severe symptoms,Transition to Nursing Hospital,Change of Hospital Due to Personal Preferences,Other,Subtotal,Subtotal,Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Uncurable DOA,Death - Heart attack when entering hospital and no CPR,Death - Heart attack when entering hospital and CPR executed,Death - Alive when entering hospital and CPR executed,Death - Alive when entering hospital and no CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room ¡æ Hospital Room,Operating Room ¡æ Intensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Need Expert Emergency Unit,Transition due to less severe symptoms,Transition to Nursing Hospital,Change of Hospital Due to Personal Preferences,Other,Subtotal,Subtotal,Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Uncurable DOA,Death - Heart attack when entering hospital and no CPR,Death - Heart attack when entering hospital and CPR executed,Death - Alive when entering hospital and CPR executed,Death - Alive when entering hospital and no CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room ¡æ Hospital Room,Operating Room ¡æ Intensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Need Expert Emergency Unit,Transition due to less severe symptoms,Transition to Nursing Hospital,Change of Hospital Due to Personal Preferences,Other,Subtotal,Subtotal,Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Uncurable DOA,Death - Heart attack when entering hospital and no CPR,Death - Heart attack when entering hospital and CPR executed,Death - Alive when entering hospital and CPR executed,Death - Alive when entering hospital and no CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room ¡æ Hospital Room,Operating Room ¡æ Intensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Need Expert Emergency Unit,Transition due to less severe symptoms,Transition to Nursing Hospital,Change of Hospital Due to Personal Preferences,Sent back to original hospital,Other,Subtotal,Subtotal,Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Uncurable DOA,Death - Heart attack when entering hospital and no CPR,Death - Heart attack when entering hospital and CPR executed,Death - Alive when entering hospital and CPR executed,Death - Alive when entering hospital and no CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room ¡æ Hospital Room,Operating Room ¡æ Intensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Need Expert Emergency Unit,Transition due to less severe symptoms,Transition to Nursing Hospital,Change of Hospital Due to Personal Preferences,Sent back to original hospital,Other,Subtotal,Subtotal,Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Uncurable DOA,Death - Heart attack when entering hospital and no CPR,Death - Heart attack when entering hospital and CPR executed,Death - Alive when entering hospital and CPR executed,Death - Alive when entering hospital and no CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room ¡æ Hospital Room,Operating Room ¡æ Intensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Need Expert Emergency Unit,Transition due to less severe symptoms,Transition to Nursing Hospital,Change of Hospital Due to Personal Preferences,Sent back to original hospital,Other,Subtotal,Subtotal,Subtotal,Subtotal,Condition Recovered,Sent to home due to Terminal Disease,Discharged due to no remedy,Self-discharge,Went Home After Visiting Another Hospital,Other,Subtotal,Uncurable DOA,Death - Heart attack when entering hospital and no CPR,Death - Heart attack when entering hospital and CPR executed,Death - Alive when entering hospital and CPR executed,Death - Alive when entering hospital and no CPR,Other,Subtotal,Normal Care Unit,Intensive Care Unit,Operating Room ¡æ Hospital Room,Operating Room ¡æ Intensive Care Unit,Other,Subtotal,Lack of Hospital Room,Lack of Intensive Care Unit,Emergency Surgery Not Operatable,Need Expert Emergency Unit,Transition due to less severe symptoms,Transition to Nursing Hospital,Change of Hospital Due to Personal Preferences,Sent back to original hospital,Other,Subtotal,Subtotal
"Total",5586586,4301880,4053827,1941,639,115354,46657,83462,31347,11000,1698,11377,3560,3283,429,1140579,923899,147366,40703,27906,705,81613,8272,3069,8374,14119,4230,1986,37465,4098,10620,20547,5591404,4275584,4054989,2095,626,113603,46863,57408,31121,10385,1344,12156,3443,3384,409,1180367,949288,153938,43098,33232,811,88211,10816,3521,9431,15671,4592,2514,38170,3496,8798,7323,5794793,4440062,4237506,2173,600,118790,48039,32954,32237,9929,1222,13595,3779,3509,203,1215171,979855,154621,43678,35919,1098,95016,16793,5087,11373,15518,5124,2778,35387,2956,9577,2730,5937569,4533068,4337739,1853,553,116610,50955,25358,31785,9038,1125,14248,3538,3695,141,1250725,1006527,159731,43123,37306,4038,103804,20113,4961,12972,19649,5145,1645,30858,5850,2611,11868,6319,4644231,3440198,3261561,1254,555,87224,36341,53263,33238,8300,1258,15600,3647,4360,73,1067693,838178,152648,37527,35821,3519,78580,13796,3044,9805,16079,3893,1255,23808,4477,2423,22070,2452,4812100,3568502,3228114,1282,506,89323,32875,216402,34670,7838,1191,16735,3865,4967,74,1106356,874331,150729,41403,35991,3902,81168,16243,2984,8859,16297,3461,1332,23624,4184,4184,18257,3147,5061764,3772284,3453859,1195,478,87879,30686,198187,36541,8173,1069,17380,3891,5990,38,1155999,917937,153103,41530,33918,9511,85023,16720,2796,11004,18605,3940,1539,20834,3940,5645,9549,2368
"Seoul",1365315,1073925,1028420,526,116,30835,6567,7461,6806,2824,188,2620,581,573,20,259195,216099,28252,9120,5417,307,17895,5697,1254,1800,426,1591,387,5887,853,2578,4916,1368390,1069787,1022198,628,102,31117,6563,9179,7085,2912,155,2721,658,604,35,264201,217358,30915,8787,6980,161,22778,8676,1297,2110,475,2321,701,6273,925,2210,2329,1439029,1128033,1080602,465,131,33092,6308,7435,7109,2662,164,2946,642,657,38,271037,224243,29988,9331,7398,77,29840,13986,2254,3015,474,2520,913,5721,957,2187,823,1383982,1083659,1042298,450,97,31382,5602,3830,6373,2117,117,2760,603,716,60,258737,215076,28187,8431,6736,307,32982,16578,2274,3366,515,2372,434,4868,1845,730,1945,286,1093564,831455,795021,305,58,24430,3834,7807,6447,1719,160,3006,649,888,25,227241,186313,27166,6887,6565,310,24274,11601,1417,2815,432,1864,413,3635,1382,715,3890,257,1109324,841235,737204,391,61,24484,3402,75693,6717,1498,155,3301,720,1029,14,231596,190432,26318,7807,6476,563,24930,13173,1480,2165,510,1458,379,3562,1220,983,4636,210,1186025,895637,795996,388,61,25750,2958,70484,7108,1682,114,3374,631,1296,11,255627,211382,28021,8625,6688,911,25470,12615,1148,3047,795,1558,411,3350,1134,1412,2036,147
"Busan",221394,155620,146013,72,7,5110,2520,1898,1294,54,31,475,305,276,153,58860,46866,8216,1970,1770,38,3599,91,16,633,300,388,225,1859,87,1084,937,208775,143477,134836,71,8,4882,2475,1205,1193,34,15,518,232,251,143,60531,48366,8649,1634,1837,45,2800,78,27,457,242,226,170,1541,59,329,445,210506,145149,136371,110,9,4462,2804,1393,1298,39,17,614,256,369,3,61447,48656,7924,2506,2344,17,2293,80,87,459,178,211,198,1016,64,302,17,235707,166125,156614,148,11,3982,3494,1876,1379,49,29,766,209,323,3,65066,51738,8448,2558,2278,44,2779,110,89,595,472,213,246,867,109,78,269,89,206589,142421,134466,118,5,3293,2838,1701,1436,59,40,838,192,302,5,59745,46665,8671,2054,2296,59,2543,63,34,473,532,128,179,814,253,67,222,222,204755,139051,131922,106,8,3379,2598,1038,1660,62,36,984,252,321,5,61331,48964,8469,1954,1910,34,2474,97,27,424,523,107,165,820,214,97,149,90,206438,139256,132827,91,6,3264,2253,815,1834,63,32,1079,236,418,6,62534,50308,8358,1952,1874,42,2673,56,32,593,574,116,144,850,198,110,95,46
"Daegue",217772,149380,136515,53,52,9480,257,3023,2309,241,208,872,472,453,63,58656,46534,8672,2356,1085,9,6697,263,34,335,162,395,166,4780,562,542,188,225670,155920,145398,72,29,7644,83,2694,2089,153,134,918,403,449,32,59593,46179,9493,2519,1394,8,7473,159,53,373,186,477,179,5819,227,552,43,238731,166413,157016,131,13,6815,57,2381,2281,141,121,1079,421,515,4,61795,49404,8340,2462,1589,-,7352,360,66,487,139,631,192,5231,246,653,237,246780,171609,162840,163,19,6696,38,1853,2098,93,58,1033,365,546,3,64217,51702,8519,2511,1484,1,7670,1043,107,887,138,943,282,3365,177,728,1071,115,184440,121862,115600,127,20,4412,17,1686,2332,93,51,1108,409,670,1,54600,42831,8245,2232,1291,1,4912,659,58,400,102,716,91,2514,72,300,679,55,209957,136402,129549,77,15,4504,17,2240,2144,82,46,1028,340,647,1,65322,52592,8877,2641,1210,2,5301,909,64,439,142,950,111,2252,58,376,751,37,217511,140769,135154,123,23,3735,14,1720,2275,40,40,1025,404,762,4,68191,55968,8406,2574,1204,39,5654,901,110,538,205,1075,185,2015,78,547,610,12
"Incheon",355014,281824,271154,66,6,5565,2493,2540,1648,620,40,711,153,113,11,67494,53781,9756,1625,2332,-,3157,85,88,215,538,70,101,2003,57,274,617,371256,288426,276680,44,1,7042,2570,2089,1656,496,27,821,171,115,26,76143,61719,9952,1887,2583,2,4571,107,63,221,804,73,197,3013,93,395,65,380219,292525,282101,16,6,6583,2368,1451,1738,518,23,909,184,102,2,80476,65721,10207,2053,2494,1,4893,153,71,252,874,149,264,2939,191,528,59,390872,301696,291182,27,5,6620,2623,1239,1649,548,25,798,162,115,1,80788,64857,11522,1779,2585,45,6142,187,93,523,1084,172,51,3095,873,64,528,69,309621,228821,215490,27,6,6013,1764,5521,1835,569,36,890,181,158,1,70398,54476,11545,1591,2615,171,4898,70,110,303,886,136,35,2610,679,69,3579,90,330256,250168,218337,37,-,5790,1607,24397,1941,512,26,977,220,206,-,71456,56335,10417,1854,2642,208,4904,88,86,331,880,94,34,2700,586,105,1708,79,352900,273169,242650,59,8,4578,992,24882,2005,508,29,1017,218,233,-,71624,54190,10253,2134,2386,2661,5757,497,153,458,942,174,30,2013,602,888,298,47
"Gwangju",164953,117427,112365,28,166,1488,1401,1979,875,151,25,257,206,222,14,42203,32447,6855,1919,930,52,3747,267,70,197,862,358,61,1171,761,217,484,164529,118022,113669,27,179,1644,1049,1454,938,141,24,290,181,289,13,42222,32174,6867,2210,953,18,3036,166,48,273,755,222,75,1067,430,236,75,170088,120594,117049,34,213,1718,1055,525,934,173,20,256,186,295,4,45071,34309,7430,2365,964,3,2719,133,31,287,861,228,57,1111,11,235,535,182436,130784,127162,21,221,1637,1339,404,922,173,13,281,185,266,4,46577,35614,7714,2127,1096,26,2419,130,22,263,721,74,31,891,201,86,309,1425,140056,97076,93364,21,236,1321,1022,1112,873,179,6,279,174,233,2,39471,29086,7389,1848,1134,14,2303,75,19,199,742,76,33,843,189,127,300,33,143820,99148,92933,52,191,1081,743,4148,841,208,14,283,154,178,4,40299,30178,7201,1785,1126,9,2844,150,44,289,1288,163,77,586,188,59,668,20,146677,102068,94514,18,118,765,805,5848,856,219,12,225,176,221,3,40933,31489,7300,1222,911,11,2729,167,34,242,1434,93,17,517,176,49,68,23
"Daejeon",209772,152564,143429,95,14,5810,859,2357,807,229,16,405,107,50,-,55093,45776,6983,1184,1148,2,1063,52,80,241,76,12,30,493,79,216,29,204628,148876,140814,101,18,5403,729,1811,764,206,15,371,100,71,1,53780,44313,6656,1379,1428,4,1032,73,116,277,50,8,36,395,77,171,5,211549,156459,146986,105,18,6563,711,2076,819,162,9,451,124,73,-,52666,42370,7234,1390,1366,306,1398,106,211,438,94,3,20,451,75,187,20,203632,150223,141708,107,5,5986,512,1905,808,115,10,469,110,103,1,51281,40739,6506,1422,1357,1257,1105,72,177,233,121,4,39,364,36,59,198,17,154941,110521,102439,43,19,4082,391,3547,889,129,8,462,128,161,1,41839,32402,6039,1165,1031,1202,733,23,117,189,82,-,16,234,37,35,947,12,153436,109262,99054,32,25,4265,422,5464,919,98,9,547,113,152,-,41261,32119,5848,1145,979,1170,660,25,92,188,82,3,8,189,28,45,1326,8,157759,113669,103575,18,22,4165,257,5632,978,104,8,545,131,190,-,42200,32639,6482,1112,884,1083,733,59,50,230,92,7,27,173,19,76,176,3
