"Area",2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"Area",Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December,Total,January,February,March,April,May,June,July,August,September,October,November,December
"Total",5447639,451506,454638,438854,419331,495247,459847,457557,470271,480928,432645,428752,458063,5359831,452267,484129,463795,443017,509207,340079,409593,482546,483090,438256,406349,447503,5823780,425715,516865,455391,458725,510282,486583,511238,516955,517268,462366,430239,532153,5813188,503520,378768,434137,474126,513519,482374,515671,507438,479105,537313,438142,549075,5998742,523297,455672,448940,467360,521597,502931,524125,519663,540549,472427,459956,562225,6146688,485278,462300,484205,506550,540710,524618,528850,544414,551708,501891,470069,546095,4809661,592921,373058,316371,336222,416250,415289,430009,428366,362713,425599,374947,337916,4984894,342212,359149,383946,377689,418867,442034,439231,465041,507012,471926,402578,375209,5250171,399436,366320,393294,382367,438854,443345,484820,499694,481421,460503,438085,462032
"Seoul",1408776,117915,116865,111244,108266,127323,120390,119693,119968,121123,113915,112579,119495,1329290,115898,119002,116359,113017,127428,79733,96812,117669,118950,109602,101964,112856,1435869,103124,125184,113716,113859,126040,121984,126153,126511,126662,115331,106093,131212,1431867,121926,95103,108317,115183,126038,120299,125606,124159,119406,130533,110587,134710,1502947,129476,112357,113128,116681,131540,128351,130932,129691,130633,120932,118492,140734,1445638,116718,108323,115756,119493,126269,123078,124565,124345,125182,119898,112666,129345,1143196,140058,90627,78170,82099,101629,98019,101496,96529,82768,99697,91554,80550,1158520,78964,81432,88796,89142,98408,104552,103448,108983,116511,108645,94101,85538,1227819,90998,84965,87361,89706,104930,106118,113880,113703,111437,110357,105113,109251
"Busan",240340,20308,20499,20215,18407,21411,19492,19760,20504,21930,18919,18349,20546,234054,20226,22836,20394,18911,21543,15905,18375,20342,20505,18727,17199,19091,229052,17837,22138,18583,17971,19890,18565,20335,20562,20088,17929,16232,18922,215611,19690,14822,16183,17419,19225,17557,18601,18643,17353,19877,15980,20261,216515,19872,17556,16916,16841,18664,17925,17974,18931,19834,17293,15745,18964,242420,19356,18466,18644,19301,20916,19939,20375,21712,22561,20324,19019,21807,213116,26858,16608,13943,15236,18487,18051,19062,18657,16370,18634,16439,14771,211529,15364,15880,17110,15627,17902,18765,18558,19212,21330,19245,16900,15636,213050,16583,14404,15202,15910,18049,17909,19099,19598,19590,18998,18621,19087
"Daegu",192536,15614,14430,15160,15468,18218,16237,16271,16339,17327,15423,15693,16356,193568,16107,16849,16938,15938,17935,13144,15077,16673,17393,16262,15059,16193,219479,15216,20323,17547,17087,19079,17792,19123,18741,19005,17469,17675,20422,226847,18830,15006,17564,18625,20326,19059,19770,19524,18107,20910,17321,21805,239681,20990,18333,18219,19395,21230,20023,20624,19088,20914,18890,19137,22838,247584,17696,18091,18946,19660,21913,20897,22296,22262,22665,20526,19976,22656,184741,24426,13603,8866,11605,15126,15811,16969,16450,14267,17245,15529,14844,210266,14358,14982,16087,16095,17818,18931,18893,19686,20583,20190,16967,15676,217767,16581,14733,16632,16557,18332,18024,19723,20961,19981,18842,18223,19178
"Incheon",314083,27283,28396,24835,23387,28155,26128,25897,27415,27845,24535,23828,26379,338922,28314,30527,28501,26918,31893,22596,26726,30490,30882,27174,25436,29465,366858,28049,31771,27242,28143,32287,30788,31807,32516,32853,29034,27173,35195,386611,33796,24899,28343,30981,33536,32663,33960,33526,31908,35987,29159,37853,396124,35733,31148,29368,30769,34258,33084,33969,34293,35901,30581,30152,36868,407302,32230,30788,32165,33401,35501,35039,35013,35520,36521,32589,30599,37936,321231,40225,25617,21752,22688,26860,26665,28335,28362,24028,28270,24777,23652,347481,23446,24146,25972,25312,28596,29757,29786,31211,35136,32592,29056,32471,385374,32127,35572,39940,26917,29228,29314,32989,34574,32531,30761,29388,32033
"Gwangju",161078,12686,13206,13225,12877,15017,13483,13094,13520,14852,12990,12625,13503,164544,13028,15911,14209,13736,15289,11480,13104,14738,14478,13217,11999,13355,169636,12409,16218,13123,13477,14827,15052,14209,14336,15010,13361,12523,15091,169143,14743,10619,12775,14973,15317,13663,14368,14421,13806,15922,12529,16007,175173,15127,13911,13202,13612,15118,14600,15505,14694,15865,13743,13234,16562,190104,15415,14291,15386,16855,16249,15833,15876,16357,16733,15244,14803,17062,146896,17426,11186,10003,10947,13248,13129,11844,13232,11559,13482,10450,10390,151216,10684,11275,11843,11339,12925,12765,13296,13879,15685,14750,11614,11161,157717,12334,10975,13435,11677,12539,12689,13934,15485,14351,13530,13060,13708
"Daejeon",207874,16427,17510,17421,16114,18787,17550,17151,17969,18229,16618,16857,17241,199620,16623,17330,18143,16858,19621,10184,14806,17706,18359,16952,15912,17126,220486,15918,18779,17637,17573,19452,18401,19824,19171,19347,17901,16698,19785,216233,18378,14453,16662,18068,19351,18105,18951,18940,18071,19483,16359,19412,224623,19233,16534,17172,17748,19758,19221,19549,19146,20239,18057,17415,20551,216902,17111,15856,17405,18050,19429,18923,18752,19337,19000,17764,16792,18483,165562,19550,13404,11721,12561,14768,14558,14152,14072,12392,14143,12668,11573,161766,11614,12026,12932,12286,13637,14242,13635,14475,16162,15424,13293,12040,168541,12486,11046,11292,12265,14354,14724,15493,15714,16026,15511,14885,14745
"Ulsan",79701,6765,6310,6253,5939,7206,6732,6715,6827,7141,6239,6455,7119,83769,6685,7320,6862,6452,7750,6098,6849,7808,7543,6932,6333,7137,85959,6290,7745,6897,6824,7547,6944,7603,7500,7562,6850,6301,7896,85061,7808,5529,6324,6952,7421,7049,7637,7399,6372,7620,6506,8444,87078,7700,6757,6546,7101,7472,6999,7453,7463,7892,6963,6559,8173,84910,6869,6369,6757,7062,7484,6849,7145,7384,7634,7162,6659,7536,70357,8277,5325,4057,4656,5784,6040,6396,6512,5538,6330,5872,5570,73217,5495,5823,6426,6467,5397,5970,6041,6388,7288,6930,5689,5303,71849,5961,5287,5861,5413,6177,5975,6715,6753,6143,5981,5584,5999
