Year,Month,Month_Number,Surgery,Patients
2006,January,1, Bilateral thyroidectomy ,12528.0
2006,February,2, Bilateral thyroidectomy ,10539.0
2006,March,3, Bilateral thyroidectomy ,7973.0
2006,April,4, Bilateral thyroidectomy ,6685.0
2006,May,5, Bilateral thyroidectomy ,7038.0
2006,June,6, Bilateral thyroidectomy ,6527.0
2006,July,7, Bilateral thyroidectomy ,9260.0
2006,August,8, Bilateral thyroidectomy ,10878.0
2006,September,9, Bilateral thyroidectomy ,6419.0
2006,October,10, Bilateral thyroidectomy ,5998.0
2006,November,11, Bilateral thyroidectomy ,6683.0
2006,December,12, Bilateral thyroidectomy ,7488.0
2007,January,1, Bilateral thyroidectomy ,14758.0
2007,February,2, Bilateral thyroidectomy ,10371.0
2007,March,3, Bilateral thyroidectomy ,8561.0
2007,April,4, Bilateral thyroidectomy ,7467.0
2007,May,5, Bilateral thyroidectomy ,7776.0
2007,June,6, Bilateral thyroidectomy ,6754.0
2007,July,7, Bilateral thyroidectomy ,9425.0
2007,August,8, Bilateral thyroidectomy ,10220.0
2007,September,9, Bilateral thyroidectomy ,5984.0
2007,October,10, Bilateral thyroidectomy ,7144.0
2007,November,11, Bilateral thyroidectomy ,6959.0
2007,December,12, Bilateral thyroidectomy ,7812.0
2008,January,1, Bilateral thyroidectomy ,14810.0
2008,February,2, Bilateral thyroidectomy ,9690.0
2008,March,3, Bilateral thyroidectomy ,8529.0
2008,April,4, Bilateral thyroidectomy ,7516.0
2008,May,5, Bilateral thyroidectomy ,7840.0
2008,June,6, Bilateral thyroidectomy ,7677.0
2008,July,7, Bilateral thyroidectomy ,10570.0
2008,August,8, Bilateral thyroidectomy ,10518.0
2008,September,9, Bilateral thyroidectomy ,7169.0
2008,October,10, Bilateral thyroidectomy ,5958.0
2008,November,11, Bilateral thyroidectomy ,7148.0
2008,December,12, Bilateral thyroidectomy ,8581.0
2009,January,1, Bilateral thyroidectomy ,16659.0
2009,February,2, Bilateral thyroidectomy ,14472.0
2009,March,3, Bilateral thyroidectomy ,11328.0
2009,April,4, Bilateral thyroidectomy ,10435.0
2009,May,5, Bilateral thyroidectomy ,10084.0
2009,June,6, Bilateral thyroidectomy ,9797.0
2009,July,7, Bilateral thyroidectomy ,13328.0
2009,August,8, Bilateral thyroidectomy ,13653.0
2009,September,9, Bilateral thyroidectomy ,9747.0
2009,October,10, Bilateral thyroidectomy ,8959.0
2009,November,11, Bilateral thyroidectomy ,8759.0
2009,December,12, Bilateral thyroidectomy ,11476.0
2010,January,1, Bilateral thyroidectomy ,17207.0
2010,February,2, Bilateral thyroidectomy ,13123.0
2010,March,3, Bilateral thyroidectomy ,11831.0
2010,April,4, Bilateral thyroidectomy ,10600.0
2010,May,5, Bilateral thyroidectomy ,10305.0
