"Hospital Location","Insurance","Surgery","Category","Unit","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Total","Total","Total","Surgery Received Person[Person]","Person","1237911","1318425","1335697","1458229","1481435","1441337","1512774","1496415","1497043","1491392","1532754","1551822","1580430","1665624","1598587","1681540","1672192",
"Total","Total","Total","Surgery Count[Unit]","Surgery","1371788","1474908","1500385","1655868","1688516","1656792","1709706","1699285","1710270","1721390","1793535","1840989","1870385","1996261","1953665","2097494","2067715",
"Total","Total","Cataract surgery - 백내장 수술","Surgery Received Person[Person]","Person","207370","228170","250289","268548","289867","308111","302182","312554","328576","346184","360721","377058","402371","459062","454068","496574","475440",
"Total","Total","Cataract surgery - 백내장 수술","Surgery Count[Unit]","Surgery","272920","305807","338332","365874","398338","428158","420905","436330","462074","491926","518663","549471","592191","689919","702621","781220","735693",
"Total","Total","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Received Person[Person]","Person","43303","42530","41132","42692","40041","41429","43174","42878","39643","36275","40132","41136","39436","40213","30478","20755","17789",
"Total","Total","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Count[Unit]","Surgery","43487","42778","41310","42987","40318","41702","43527","43255","39935","36797","41401","43285","40451","40616","30996","21268","18066",
"Total","Total","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Received Person[Person]","Person","3816","4256","4819","5516","5850","5762","6323","6853","7136","6877","7067","6780","7753","8435","7994","9105","9941",
"Total","Total","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Count[Unit]","Surgery","3892","4373","4925","5660","5977","5898","6482","7065","7324","7048","7264","6935","7967","8710","8338","9658","10533",
"Total","Total","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Received Person[Person]","Person","31938","35452","37177","42615","46479","46072","50196","50992","54036","53527","59002","62294","64633","66740","64401","69062","67751",
"Total","Total","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Count[Unit]","Surgery","32917","36783","38287","43834","47715","47112","51539","52248","55329","54935","60630","64102","66421","68845","67076","73798","72221",
"Total","Total","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Received Person[Person]","Person","3222","3313","3243","3483","3382","3132","3296","3066","3295","3786","3947","3940","4037","4276","4211","4496","4894",
"Total","Total","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Count[Unit]","Surgery","3226","3336","3247","3489","3386","3141","3308","3074","3302","3805","3957","3956","4060","4305","4307","4625","5234",
"Total","Total","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Received Person[Person]","Person","2077","2083","2109","2123","2281","1998","2012","2215","2210","2122","2326","2415","2188","2452","2717","3343","3524",
"Total","Total","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Count[Unit]","Surgery","2120","2155","2162","2178","2353","2078","2134","2317","2330","2212","2451","2556","2312","2642","2903","3611","3817",
"Total","Total","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Received Person[Person]","Person","17297","22685","3316","19914","24808","23017","24793","25231","24743","21155","20976","19349","18489","19842","17757","18608","18620",
"Total","Total","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Count[Unit]","Surgery","17793","23549","4767","20620","25564","23733","25691","26145","25695","22013","21753","20004","19015","20627","18310","19233","19393",
"Total","Total","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Received Person[Person]","Person","100616","102704","97308","105614","100980","95957","99979","97443","93395","89620","88643","83216","80304","81127","75990","75824","72325",
"Total","Total","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Count[Unit]","Surgery","100688","103154","97423","105780","101127","96126","100154","97600","93495","90498","92849","90536","82545","81565","78579","81205","76701",
"Total","Total","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Received Person[Person]","Person","5654","5862","4629","5239","4246","4337","8221","8851","9470","10063","11267","12048","12062","12954","13237","16761","18773",
"Total","Total","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Count[Unit]","Surgery","5815","6102","4750","5396","4338","4435","8548","9208","9921","10532","11838","12628","12629","13580","14045","17911","20734",
"Total","Total","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Received Person[Person]","Person","31835","33810","35260","45798","49489","51976","59046","60594","61235","63009","69479","72974","78134","83940","84048","88675","90193",
"Total","Total","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Count[Unit]","Surgery","31856","34037","35288","45868","49561","52058","59221","60785","61454","63249","69749","73287","78489","84500","86274","92409","93921",
"Total","Total","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Received Person[Person]","Person","15820","17436","18978","22331","25025","25417","27995","29615","31073","32497","35047","37056","40414","42171","43351","54784","56531",
