Hospital Location,Insurance,Surgery,Category,Unit,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 22,Reference Surgery
Busan,Total,Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이),Surgery Received Person[Person],Person,3330.0,3368.0,3178.0,3185.0,2713.0,2709.0,2656.0,2670.0,2300.0,2074.0,2104,2249,2192,2349,1880,1218,1124,, Bilateral thyroidectomy 
Busan,Total,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술,Surgery Received Person[Person],Person,628.0,546.0,576.0,631.0,573.0,600.0,724.0,736.0,703.0,685.0,739,653,707,717,762,842,854,, Aortic valve replacement 
Busan,Total,Stent Insertion - Aortic valve replacement - 스텐트삽입술,Surgery Received Person[Person],Person,3301.0,4204.0,3935.0,4243.0,4621.0,4732.0,5045.0,5155.0,5225.0,5438.0,5396,5646,6036,6223,5830,5979,5932,, Aortic valve replacement 
Busan,Total,Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술,Surgery Received Person[Person],Person,137.0,121.0,132.0,134.0,142.0,164.0,181.0,140.0,145.0,173.0,245,233,238,258,232,250,265,, Graft replacement of Aorta 
Busan,Total,Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술,Surgery Received Person[Person],Person,193.0,180.0,180.0,94.0,60.0,49.0,62.0,63.0,97.0,73.0,66,86,57,80,92,111,128,, Aortic valve replacement 
Busan,Total,Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술,Surgery Received Person[Person],Person,1204.0,1656.0,258.0,1353.0,1669.0,1652.0,2174.0,2278.0,2271.0,2139.0,2312,2372,2608,3050,2829,3115,3300,, PDA ligation 
Busan,Total,Appendectomy - Exploratory Laparotomy - 충수절제술,Surgery Received Person[Person],Person,7712.0,7897.0,7579.0,7870.0,7571.0,7029.0,7375.0,7174.0,6712.0,6115.0,5977,5584,5439,5457,5271,5102,4968,, Exploratory Laparotomy 
Busan,Total,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정",Surgery Received Person[Person],Person,355.0,381.0,259.0,306.0,305.0,285.0,575.0,524.0,562.0,564.0,640,691,709,713,820,979,1149,, Aortic valve replacement 
Busan,Total,Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함),Surgery Received Person[Person],Person,2851.0,3166.0,3060.0,3892.0,3941.0,4338.0,4827.0,4922.0,4776.0,5052.0,5558,5892,6412,6971,6821,7119,7274,, Laparoscopic cholecystectomy 
Busan,Total,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술,Surgery Received Person[Person],Person,1183.0,1571.0,1438.0,1651.0,1927.0,2100.0,2265.0,2425.0,2614.0,2473.0,2519,2633,2980,3322,3598,4506,4865,, Pylorus preserving pancreaticoduodenectomy 
Busan,Total,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술,Surgery Received Person[Person],Person,2738.0,2845.0,2751.0,2711.0,2917.0,2723.0,2858.0,2833.0,2836.0,2878.0,2956,2956,2887,2965,2523,2646,2724,, Exploratory laparotomy 
Busan,Total,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술,Surgery Received Person[Person],Person,275.0,313.0,406.0,509.0,889.0,607.0,1096.0,1056.0,1099.0,918.0,964,748,903,885,742,790,838,, Transurethral resection of prostate 
Busan,Total,Prostatectomy - Prostatectomy - 전립선 절제술,Surgery Received Person[Person],Person,271.0,416.0,405.0,345.0,137.0,168.0,254.0,254.0,169.0,150.0,154,121,148,91,56,51,34,, Prostatectomy 
Busan,Total,Hysterectomy - Total abdominal hysterectomy - 자궁절제술,Surgery Received Person[Person],Person,8647.0,9081.0,9272.0,9619.0,7296.0,4782.0,4688.0,4296.0,3923.0,3705.0,3534,3273,3460,3594,3349,3400,3192,, Total abdominal hysterectomy 
Busan,Total,Cesarean Section - Low cervical cesarean section - 제왕절개수술,Surgery Received Person[Person],Person,9477.0,10781.0,11716.0,11418.0,12125.0,11801.0,12995.0,11862.0,12628.0,13415.0,13244,12258,11745,11195,10681,10708,10897,, Low cervical cesarean section 
Busan,Total,Hip Replacement Surgery - Total hip replacement - 고관절 치환술,Surgery Received Person[Person],Person,649.0,697.0,686.0,664.0,747.0,669.0,762.0,795.0,1694.0,1780.0,1797,1850,1878,1946,1998,2102,2227,, Total hip replacement 
Busan,Total,Knee Replacement Surgery - Total knee replacement - 슬관절 치환술,Surgery Received Person[Person],Person,2350.0,3183.0,3533.0,4060.0,4352.0,3874.0,4613.0,4555.0,4575.0,5011.0,5917,6251,6692,7131,6953,7603,7693,, Total knee replacement 
Busan,Total,Partial Mastectomy - Mastectomy - 유방 부분 절제술,Surgery Received Person[Person],Person,912.0,993.0,979.0,451.0,1998.0,2279.0,2186.0,2242.0,2166.0,2087.0,2134,2153,2561,2912,3085,3246,3279,, Mastectomy 
Busan,Total,Total Mastectomy - Mastectomy - 유방 전 절제술,Surgery Received Person[Person],Person,1941.0,2164.0,2320.0,2516.0,1303.0,1313.0,1607.0,1807.0,1692.0,1643.0,1019,1459,958,1258,1711,2005,2147,, Mastectomy 
Busan,Total,Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술,Surgery Received Person[Person],Person,13.0,7.0,8.0,6.0,6.0,10.0,4.0,21.0,6.0,13.0,5,5,10,12,8,7,7,, Craniotomy and removal of brain tumor 
Busan,Total,Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술,Surgery Received Person[Person],Person,383.0,401.0,356.0,431.0,435.0,391.0,453.0,426.0,400.0,402.0,398,342,248,254,247,339,301,, Craniotomy and removal of brain tumor 
Busan,Total,Gastrectomy - Total gastrectomy - 위 절제술,Surgery Received Person[Person],Person,1722.0,1791.0,1551.0,1790.0,1820.0,1739.0,1886.0,1747.0,1664.0,1481.0,1456,1443,1309,1361,1262,1275,1165,, Total gastrectomy 
Busan,Total,Liver Resection - Wedge resection of liver - 간 부분 절제술,Surgery Received Person[Person],Person,162.0,196.0,205.0,256.0,290.0,329.0,368.0,407.0,365.0,395.0,430,429,407,492,500,560,573,, Wedge resection of liver 
