"의료기관시도별","환자거주지역별","수술종류별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"계","계","계","수술인원수[명]","명","1512774","1496415","1497043","1491392","1532754","1551822","1580430","1665624","1598587","1681540","1672192",
"계","계","계","수술건수[건]","건","1709706","1699285","1710270","1721390","1793535","1840989","1870385","1996261","1953665","2097494","2067715",
"계","계","계","입원일수[일]","일","10706226","10366042","10356246","10291113","10627633","10631935","10775102","11144882","10592823","11198446","11062635",
"계","계","계","진료비[천원]","천원","3856102932","3923623231","4152088046","4476130518","4925115962","5278660120","5894767453","6702969596","7020379263","7798487856","8082345427",
"계","계","백내장 수술","수술인원수[명]","명","302182","312554","328576","346184","360721","377058","402371","459062","454068","496574","475440",
"계","계","백내장 수술","수술건수[건]","건","420905","436330","462074","491926","518663","549471","592191","689919","702621","781220","735693",
"계","계","백내장 수술","입원일수[일]","일","550527","553804","567157","591335","615637","645675","686969","786119","792205","875931","818917",
"계","계","백내장 수술","진료비[천원]","천원","386694825","377338936","416013987","460458731","494448131","531789113","606122771","716732073","813175595","922402763","895865886",
"계","계","편도절제술(아데노이드 적출술 유무에 상관없이)","수술인원수[명]","명","43174","42878","39643","36275","40132","41136","39436","40213","30478","20755","17789",
"계","계","편도절제술(아데노이드 적출술 유무에 상관없이)","수술건수[건]","건","43527","43255","39935","36797","41401","43285","40451","40616","30996","21268","18066",
"계","계","편도절제술(아데노이드 적출술 유무에 상관없이)","입원일수[일]","일","172326","158048","133694","122444","132473","136063","126843","124327","95883","66181","55003",
"계","계","편도절제술(아데노이드 적출술 유무에 상관없이)","진료비[천원]","천원","36518518","37592090","36904957","37821574","43347767","45831486","47971683","52949505","46547383","33029989","28565744",
"계","계","경피적 관상동맥확장술 및 절제술","수술인원수[명]","명","6323","6853","7136","6877","7067","6780","7753","8435","7994","9105","9941",
"계","계","경피적 관상동맥확장술 및 절제술","수술건수[건]","건","6482","7065","7324","7048","7264","6935","7967","8710","8338","9658","10533",
"계","계","경피적 관상동맥확장술 및 절제술","입원일수[일]","일","41121","44249","45640","43633","44523","40887","48121","52434","49443","56527","58537",
"계","계","경피적 관상동맥확장술 및 절제술","진료비[천원]","천원","37659752","41812455","43640247","45164045","50419083","51963002","67117513","78122284","79661836","93570273","105840264",
"계","계","스텐트삽입술","수술인원수[명]","명","50196","50992","54036","53527","59002","62294","64633","66740","64401","69062","67751",
"계","계","스텐트삽입술","수술건수[건]","건","51539","52248","55329","54935","60630","64102","66421","68845","67076","73798","72221",
"계","계","스텐트삽입술","입원일수[일]","일","303612","305361","315924","311019","335951","347817","366155","379058","358986","382441","362071",
"계","계","스텐트삽입술","진료비[천원]","천원","386339989","393576487","408068977","426701093","501029685","579969533","640764853","697586322","707804950","782378006","780982632",
"계","계","관상동맥 우회수술","수술인원수[명]","명","3296","3066","3295","3786","3947","3940","4037","4276","4211","4496","4894",
"계","계","관상동맥 우회수술","수술건수[건]","건","3308","3074","3302","3805","3957","3956","4060","4305","4307","4625","5234",
"계","계","관상동맥 우회수술","입원일수[일]","일","55341","49105","52132","55988","57807","57400","61174","68365","66400","71192","75708",
"계","계","관상동맥 우회수술","진료비[천원]","천원","69905166","66335005","75292513","94767699","105127553","108305314","121722810","139438727","143416510","159123655","176829591",
"계","계","심장 카테터 삽입술","수술인원수[명]","명","2012","2215","2210","2122","2326","2415","2188","2452","2717","3343","3524",
"계","계","심장 카테터 삽입술","수술건수[건]","건","2134","2317","2330","2212","2451","2556","2312","2642","2903","3611","3817",
"계","계","심장 카테터 삽입술","입원일수[일]","일","19174","20160","20392","17742","21052","22608","23167","27697","27954","34747","35496",
"계","계","심장 카테터 삽입술","진료비[천원]","천원","12545735","13967610","14799791","14315797","16821022","19721056","24268387","36713345","39945979","50459420","59529483",
"계","계","정맥류 결찰 및 제거수술","수술인원수[명]","명","24793","25231","24743","21155","20976","19349","18489","19842","17757","18608","18620",
"계","계","정맥류 결찰 및 제거수술","수술건수[건]","건","25691","26145","25695","22013","21753","20004","19015","20627","18310","19233","19393",
"계","계","정맥류 결찰 및 제거수술","입원일수[일]","일","63352","62303","61213","50527","48736","46480","42775","44909","38108","40393","39574",
"계","계","정맥류 결찰 및 제거수술","진료비[천원]","천원","23943927","24944198","25311364","22142540","23007542","23265380","23244554","26743434","25040214","26828108","27276108",
"계","계","충수절제술","수술인원수[명]","명","99979","97443","93395","89620","88643","83216","80304","81127","75990","75824","72325",
"계","계","충수절제술","수술건수[건]","건","100154","97600","93495","90498","92849","90536","82545","81565","78579","81205","76701",
"계","계","충수절제술","입원일수[일]","일","619827","559678","504353","484382","488333","469347","430235","421157","397031","398674","374902",
"계","계","충수절제술","진료비[천원]","천원","211520801","223999185","230581524","232434365","239372385","233624095","246760732","266567031","260996823","268963465","265145232",
"계","계","심박조율장치의 삽입,교체,제거 및 교정","수술인원수[명]","명","8221","8851","9470","10063","11267","12048","12062","12954","13237","16761","18773",
"계","계","심박조율장치의 삽입,교체,제거 및 교정","수술건수[건]","건","8548","9208","9921","10532","11838","12628","12629","13580","14045","17911","20734",
"계","계","심박조율장치의 삽입,교체,제거 및 교정","입원일수[일]","일","92056","100267","104538","113274","123120","127219","132195","142906","146039","177315","197795",
"계","계","심박조율장치의 삽입,교체,제거 및 교정","진료비[천원]","천원","90133072","101607522","113354820","135887985","161025885","177944924","194431911","221388536","241648319","322643052","403268215",
"계","계","담낭절제술(복강경적 담낭절제술 포함)","수술인원수[명]","명","59046","60594","61235","63009","69479","72974","78134","83940","84048","88675","90193",
"계","계","담낭절제술(복강경적 담낭절제술 포함)","수술건수[건]","건","59221","60785","61454","63249","69749","73287","78489","84500","86274","92409","93921",
"계","계","담낭절제술(복강경적 담낭절제술 포함)","입원일수[일]","일","512081","503868","495467","506735","538349","538624","564416","596537","589094","607620","597018",
"계","계","담낭절제술(복강경적 담낭절제술 포함)","진료비[천원]","천원","206544204","208242107","223323373","256160174","289521205","310790334","362765742","413971831","438819811","469121116","484863291",
"계","계","내시경 및 경피적 담도수술","수술인원수[명]","명","27995","29615","31073","32497","35047","37056","40414","42171","43351","54784","56531",
"계","계","내시경 및 경피적 담도수술","수술건수[건]","건","32669","35129","37200","39287","42835","45949","51146","54498","58091","76967","79916",
"계","계","내시경 및 경피적 담도수술","입원일수[일]","일","358489","370841","385226","396469","429479","441075","498184","507877","523383","764891","756425",
"계","계","내시경 및 경피적 담도수술","진료비[천원]","천원","137852142","145966906","158224999","175662222","202016587","233044383","288497084","331688260","371685230","547765072","564359241",
"계","계","서혜 및 대퇴 허니아 수술","수술인원수[명]","명","34562","35076","34443","34253","34918","34583","34900","34470","31038","32833","33373",
