"의료기관시도별","보험급여별","수술종류별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"계","계","계","수술인원수[명]","명","1237911","1318425","1335697","1458229","1481435","1441337","1512774","1496415","1497043","1491392","1532754","1551822","1580430","1665624","1598587","1681540","1672192",
"계","계","계","수술건수[건]","건","1371788","1474908","1500385","1655868","1688516","1656792","1709706","1699285","1710270","1721390","1793535","1840989","1870385","1996261","1953665","2097494","2067715",
"계","계","백내장 수술","수술인원수[명]","명","207370","228170","250289","268548","289867","308111","302182","312554","328576","346184","360721","377058","402371","459062","454068","496574","475440",
"계","계","백내장 수술","수술건수[건]","건","272920","305807","338332","365874","398338","428158","420905","436330","462074","491926","518663","549471","592191","689919","702621","781220","735693",
"계","계","편도절제술(아데노이드 적출술 유무에 상관없이)","수술인원수[명]","명","43303","42530","41132","42692","40041","41429","43174","42878","39643","36275","40132","41136","39436","40213","30478","20755","17789",
"계","계","편도절제술(아데노이드 적출술 유무에 상관없이)","수술건수[건]","건","43487","42778","41310","42987","40318","41702","43527","43255","39935","36797","41401","43285","40451","40616","30996","21268","18066",
"계","계","경피적 관상동맥확장술 및 절제술","수술인원수[명]","명","3816","4256","4819","5516","5850","5762","6323","6853","7136","6877","7067","6780","7753","8435","7994","9105","9941",
"계","계","경피적 관상동맥확장술 및 절제술","수술건수[건]","건","3892","4373","4925","5660","5977","5898","6482","7065","7324","7048","7264","6935","7967","8710","8338","9658","10533",
"계","계","스텐트삽입술","수술인원수[명]","명","31938","35452","37177","42615","46479","46072","50196","50992","54036","53527","59002","62294","64633","66740","64401","69062","67751",
"계","계","스텐트삽입술","수술건수[건]","건","32917","36783","38287","43834","47715","47112","51539","52248","55329","54935","60630","64102","66421","68845","67076","73798","72221",
"계","계","관상동맥 우회수술","수술인원수[명]","명","3222","3313","3243","3483","3382","3132","3296","3066","3295","3786","3947","3940","4037","4276","4211","4496","4894",
"계","계","관상동맥 우회수술","수술건수[건]","건","3226","3336","3247","3489","3386","3141","3308","3074","3302","3805","3957","3956","4060","4305","4307","4625","5234",
"계","계","심장 카테터 삽입술","수술인원수[명]","명","2077","2083","2109","2123","2281","1998","2012","2215","2210","2122","2326","2415","2188","2452","2717","3343","3524",
"계","계","심장 카테터 삽입술","수술건수[건]","건","2120","2155","2162","2178","2353","2078","2134","2317","2330","2212","2451","2556","2312","2642","2903","3611","3817",
"계","계","정맥류 결찰 및 제거수술","수술인원수[명]","명","17297","22685","3316","19914","24808","23017","24793","25231","24743","21155","20976","19349","18489","19842","17757","18608","18620",
"계","계","정맥류 결찰 및 제거수술","수술건수[건]","건","17793","23549","4767","20620","25564","23733","25691","26145","25695","22013","21753","20004","19015","20627","18310","19233","19393",
"계","계","충수절제술","수술인원수[명]","명","100616","102704","97308","105614","100980","95957","99979","97443","93395","89620","88643","83216","80304","81127","75990","75824","72325",
"계","계","충수절제술","수술건수[건]","건","100688","103154","97423","105780","101127","96126","100154","97600","93495","90498","92849","90536","82545","81565","78579","81205","76701",
"계","계","심박조율장치의 삽입,교체,제거 및 교정","수술인원수[명]","명","5654","5862","4629","5239","4246","4337","8221","8851","9470","10063","11267","12048","12062","12954","13237","16761","18773",
"계","계","심박조율장치의 삽입,교체,제거 및 교정","수술건수[건]","건","5815","6102","4750","5396","4338","4435","8548","9208","9921","10532","11838","12628","12629","13580","14045","17911","20734",
"계","계","담낭절제술(복강경적 담낭절제술 포함)","수술인원수[명]","명","31835","33810","35260","45798","49489","51976","59046","60594","61235","63009","69479","72974","78134","83940","84048","88675","90193",
"계","계","담낭절제술(복강경적 담낭절제술 포함)","수술건수[건]","건","31856","34037","35288","45868","49561","52058","59221","60785","61454","63249","69749","73287","78489","84500","86274","92409","93921",
"계","계","내시경 및 경피적 담도수술","수술인원수[명]","명","15820","17436","18978","22331","25025","25417","27995","29615","31073","32497","35047","37056","40414","42171","43351","54784","56531",
"계","계","내시경 및 경피적 담도수술","수술건수[건]","건","17453","19421","21321","25686","28789","29384","32669","35129","37200","39287","42835","45949","51146","54498","58091","76967","79916",
"계","계","서혜 및 대퇴 허니아 수술","수술인원수[명]","명","33849","33770","33213","34433","35595","33974","34562","35076","34443","34253","34918","34583","34900","34470","31038","32833","33373",
"계","계","서혜 및 대퇴 허니아 수술","수술건수[건]","건","34298","34374","33707","34996","36114","34415","35039","35570","34954","34976","37883","39106","36575","35017","31743","33715","34239",
"계","계","경요도 전립선 절제술","수술인원수[명]","명","5087","5151","5648","6527","7159","6738","9741","9896","10164","9722","11013","11150","11519","11980","11326","11897","12692",
"계","계","경요도 전립선 절제술","수술건수[건]","건","5136","5252","5714","6610","7253","6799","9875","10075","10354","9933","11160","11320","11663","12196","11563","12244","13197",
"계","계","전립선 절제술","수술인원수[명]","명","2292","2679","2714","3001","3225","2989","2611","2606","2366","2041","1996","2098","2079","2211","1826","1507","1308",
"계","계","전립선 절제술","수술건수[건]","건","2293","2692","2717","3015","3249","2989","2616","2607","2370","2044","1996","2102","2084","2227","1853","1545","1380",
"계","계","자궁절제술","수술인원수[명]","명","96371","96588","98685","104048","80992","50060","49382","46725","43976","42445","43447","41156","41707","41702","39236","40075","39228",
"계","계","자궁절제술","수술건수[건]","건","96731","97194","99063","104506","81250","50116","49450","46806","44087","42685","45015","43725","42526","41895","39686","41237","39891",
"계","계","제왕절개수술","수술인원수[명]","명","139772","158883","158727","154684","165013","163018","174258","160380","165497","172578","168893","158762","154117","152792","145878","146833","150820",
"계","계","제왕절개수술","수술건수[건]","건","139909","159091","158853","154775","165169","163113","174449","160530","165608","172753","170215","161667","155227","153055","146427","148050","152144",
"계","계","고관절 치환술","수술인원수[명]","명","6589","7113","7528","7957","8543","8294","9229","9749","25227","26194","26853","27510","28188","28995","28840","30107","31406",
"계","계","고관절 치환술","수술건수[건]","건","6821","7504","7775","8239","8845","8593","9618","10159","26036","27235","27867","28690","29317","30436","31301","33282","35235",
"계","계","슬관절 치환술","수술인원수[명]","명","29385","36146","39431","45360","50832","48961","54618","54598","54780","58393","66484","66435","68445","75827","68233","72626","75626",
"계","계","슬관절 치환술","수술건수[건]","건","30777","38220","41257","47683","53334","51050","57230","57488","57738","61734","69755","69770","71769","79342","72382","77614","82544",
"계","계","유방 부분 절제술","수술인원수[명]","명","9971","11079","11671","5992","18714","18963","19597","20215","19535","18531","19519","25382","33321","35951","35263","40027","41200",
"계","계","유방 부분 절제술","수술건수[건]","건","10003","11152","11729","6087","19246","19368","20082","20753","20030","19033","20218","26158","34493","37254","36737","41881","43044",
"계","계","유방 전 절제술","수술인원수[명]","명","16591","16870","17421","24275","13854","14167","17408","18830","20863","21657","15369","19544","12649","16375","18730","20591","22309",
