"월별","수술종류별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","계","수술인원수[명]","명","1237911","1318425","1335697","1458229","1481435","1441337","1512774","","","1491392","1532754","1551822","1580430","1665624","1598587","1681540","1672192",
"합계","계","수술건수[건]","건","1371788","1474908","1500385","1655868","1688516","1656792","1709706","","","1721390","1793535","1840989","1870385","1996261","1953665","2097494","2067715",
"합계","계","입원일수[일]","일","8989394","9508863","9659336","10610877","10860795","10334518","10706226","","","10291113","10627633","10631935","10775102","11144882","10592823","11198446","11062635",
"합계","계","요양급여일수[일]","일","16354596","17552968","18102222","20162610","20922977","20139716","20920892","","","19786868","20740345","21053598","21622275","22813528","21975726","23702530","24029790",
"합계","계","진료비[천원]","천원","2471651920","2813637876","2891795923","3491323025","3765303151","3727781182","3856102932","","","4476130518","4925115962","5278660120","5894767453","6702969596","7020379263","7798487856","8082345427",
"합계","계","급여비[천원]","천원","2080347972","2365147097","2404486365","2914733016","3197821918","3174685876","3274318254","","","3818751284","4229407016","4566163995","5094118288","5772956841","6036216762","6716784198","6976186065",
"합계","백내장 수술","수술인원수[명]","명","207370","228170","250289","268548","289867","308111","302182","","","346184","360721","377058","402371","459062","454068","496574","475440",
"합계","백내장 수술","수술건수[건]","건","272920","305807","338332","365874","398338","428158","420905","","","491926","518663","549471","592191","689919","702621","781220","735693",
"합계","백내장 수술","입원일수[일]","일","414465","436820","473187","512203","544165","557138","550527","","","591335","615637","645675","686969","786119","792205","875931","818917",
"합계","백내장 수술","요양급여일수[일]","일","776274","815390","868959","949565","1045308","1067937","1037330","","","1041123","1092803","1111339","1140647","1325513","1278223","1405020","1384403",
"합계","백내장 수술","진료비[천원]","천원","265456012","302684143","337065715","371950592","404339593","419235726","386694825","","","460458731","494448131","531789113","606122771","716732073","813175595","922402763","895865886",
"합계","백내장 수술","급여비[천원]","천원","217193126","247753339","275082491","303591056","329319336","340509752","313203204","","","372271634","399866228","429900987","490173357","579433480","656334214","744640186","723413270",
"합계","편도절제술(아데노이드 적출술 유무에 상관없이)","수술인원수[명]","명","43303","42530","41132","42692","40041","41429","43174","","","36275","40132","41136","39436","40213","30478","20755","17789",
"합계","편도절제술(아데노이드 적출술 유무에 상관없이)","수술건수[건]","건","43487","42778","41310","42987","40318","41702","43527","","","36797","41401","43285","40451","40616","30996","21268","18066",
"합계","편도절제술(아데노이드 적출술 유무에 상관없이)","입원일수[일]","일","174182","170661","165356","175362","168663","168950","172326","","","122444","132473","136063","126843","124327","95883","66181","55003",
"합계","편도절제술(아데노이드 적출술 유무에 상관없이)","요양급여일수[일]","일","403373","398821","391501","409293","390142","403660","428010","","","295327","330614","345217","326323","332063","259098","180420","153180",
"합계","편도절제술(아데노이드 적출술 유무에 상관없이)","진료비[천원]","천원","29777343","30499736","29778600","33696695","33095916","34340067","36518518","","","37821574","43347767","45831486","47971683","52949505","46547383","33029989","28565744",
"합계","편도절제술(아데노이드 적출술 유무에 상관없이)","급여비[천원]","천원","25070294","25537608","24168912","27353683","26938079","28060529","29859408","","","31381948","36025374","38392918","42021607","46065489","39663685","27569932","23810976",
"합계","경피적 관상동맥확장술 및 절제술","수술인원수[명]","명","3816","4256","4819","5516","5850","5762","6323","","","6877","7067","6780","7753","8435","7994","9105","9941",
"합계","경피적 관상동맥확장술 및 절제술","수술건수[건]","건","3892","4373","4925","5660","5977","5898","6482","","","7048","7264","6935","7967","8710","8338","9658","10533",
"합계","경피적 관상동맥확장술 및 절제술","입원일수[일]","일","27539","30407","32870","38503","38810","38737","41121","","","43633","44523","40887","48121","52434","49443","56527","58537",
"합계","경피적 관상동맥확장술 및 절제술","요양급여일수[일]","일","78963","87816","101840","114168","114157","113708","121407","","","129408","130742","125861","149547","162927","155184","181780","198721",
"합계","경피적 관상동맥확장술 및 절제술","진료비[천원]","천원","19013352","22312726","23459605","30121282","32103136","33785364","37659752","","","45164045","50419083","51963002","67117513","78122284","79661836","93570273","105840264",
"합계","경피적 관상동맥확장술 및 절제술","급여비[천원]","천원","17206925","20222601","21178326","27213282","30424244","32045820","35730293","","","42943631","47943608","49469354","63761586","74146404","75629501","88876488","100607910",
"합계","스텐트삽입술","수술인원수[명]","명","31938","35452","37177","42615","46479","46072","50196","","","53527","59002","62294","64633","66740","64401","69062","67751",
"합계","스텐트삽입술","수술건수[건]","건","32917","36783","38287","43834","47715","47112","51539","","","54935","60630","64102","66421","68845","67076","73798","72221",
"합계","스텐트삽입술","입원일수[일]","일","221512","245437","245980","274603","291384","278629","303612","","","311019","335951","347817","366155","379058","358986","382441","362071",
"합계","스텐트삽입술","요양급여일수[일]","일","680528","756031","800184","884192","930226","919372","969200","","","1000206","1100132","1152408","1223510","1287233","1253403","1367395","1339452",
"합계","스텐트삽입술","진료비[천원]","천원","240808457","277619038","269247052","322015503","354074836","351349168","386339989","","","426701093","501029685","579969533","640764853","697586322","707804950","782378006","780982632",
"합계","스텐트삽입술","급여비[천원]","천원","217830982","251349706","242985446","290756306","336109400","333606574","366909231","","","405769540","476582785","551750768","608777060","661932288","672030906","742992070","741973159",
"합계","관상동맥 우회수술","수술인원수[명]","명","3222","3313","3243","3483","3382","3132","3296","","","3786","3947","3940","4037","4276","4211","4496","4894",
"합계","관상동맥 우회수술","수술건수[건]","건","3226","3336","3247","3489","3386","3141","3308","","","3805","3957","3956","4060","4305","4307","4625","5234",
"합계","관상동맥 우회수술","입원일수[일]","일","59738","59627","60068","62583","59432","54176","55341","","","55988","57807","57400","61174","68365","66400","71192","75708",
"합계","관상동맥 우회수술","요양급여일수[일]","일","90721","91506","88642","92737","90138","81441","84954","","","86812","90716","92255","99010","109682","109450","115969","126059",
"합계","관상동맥 우회수술","진료비[천원]","천원","43520355","45806262","47698321","61315513","68413356","65845274","69905166","","","94767699","105127553","108305314","121722810","139438727","143416510","159123655","176829591",
"합계","관상동맥 우회수술","급여비[천원]","천원","39374509","41409211","42946393","55278082","64915403","62507192","66333822","","","90162888","99996195","103082162","115525456","132052358","135974251","151047357","167852765",
"합계","심장 카테터 삽입술","수술인원수[명]","명","2077","2083","2109","2123","2281","1998","2012","","","2122","2326","2415","2188","2452","2717","3343","3524",
"합계","심장 카테터 삽입술","수술건수[건]","건","2120","2155","2162","2178","2353","2078","2134","","","2212","2451","2556","2312","2642","2903","3611","3817",
"합계","심장 카테터 삽입술","입원일수[일]","일","20645","19721","20250","20344","22087","20016","19174","","","17742","21052","22608","23167","27697","27954","34747","35496",
"합계","심장 카테터 삽입술","요양급여일수[일]","일","39625","40719","43327","42574","45728","41515","40001","","","44001","52136","54286","57436","67530","75573","91366","96887",
"합계","심장 카테터 삽입술","진료비[천원]","천원","9806800","9299156","10161650","12697305","15950533","13824195","12545735","","","14315797","16821022","19721056","24268387","36713345","39945979","50459420","59529483",
"합계","심장 카테터 삽입술","급여비[천원]","천원","9026925","8550883","9026238","11383198","14896170","12899483","11718212","","","13322322","15603246","18302855","22462262","33935110","36945256","46826010","55280799",
"합계","정맥류 결찰 및 제거수술","수술인원수[명]","명","17297","22685","3316","19914","24808","23017","24793","","","21155","20976","19349","18489","19842","17757","18608","18620",
"합계","정맥류 결찰 및 제거수술","수술건수[건]","건","17793","23549","4767","20620","25564","23733","25691","","","22013","21753","20004","19015","20627","18310","19233","19393",
"합계","정맥류 결찰 및 제거수술","입원일수[일]","일","54865","67644","15299","53239","64702","58310","63352","","","50527","48736","46480","42775","44909","38108","40393","39574",
"합계","정맥류 결찰 및 제거수술","요양급여일수[일]","일","138366","167179","34275","130045","160339","148282","167609","","","155606","157820","153530","147105","161800","141736","164154","179189",
"합계","정맥류 결찰 및 제거수술","진료비[천원]","천원","14209290","18539878","2855260","17416975","23280951","22114963","23943927","","","22142540","23007542","23265380","23244554","26743434","25040214","26828108","27276108",
"합계","정맥류 결찰 및 제거수술","급여비[천원]","천원","11410552","14881179","2262630","13932080","18612298","17693282","19168960","","","17739729","18447760","18670996","18650289","21426044","20054371","21471262","21838877",
