city,year,month,month_name,unit,patients,bilateral thyroidectomy patients,bilateral thyroidectomy unit,aortic valve replacement patients,aortic valve replacement unit,graft replacement of aorta patients,graft replacement of aorta unit,pda ligation patients,pda ligation unit,exploratory laparotomy patients,exploratory laparotomy unit,laparoscopic cholecystectomy patients,laparoscopic cholecystectomy unit,pylorus preserving pancreaticoduodenectomy patients,pylorus preserving pancreaticoduodenectomy unit,transurethral resection of prostate patients,transurethral resection of prostate unit,prostatectomy patients,prostatectomy unit,total abdominal hysterectomy patients,total abdominal hysterectomy unit,low cervical cesarean section patients,low cervical cesarean section unit,total hip replacement patients,total hip replacement unit,total knee replacement patients,total knee replacement unit,mastectomy patients,mastectomy unit,craniotomy and removal of brain tumor patients,craniotomy and removal of brain tumor unit,total gastrectomy patients,total gastrectomy unit,wedge resection of liver patients,wedge resection of liver unit,lobectomy of liver patients,lobectomy of liver unit,laminectomy patients,laminectomy unit,liver transplantation patients,liver transplantation unit
Busan,2006,1,January,14643.534482711686,5854,1008.0837414299706,1680.139569049951,381.1963861363942,1098.2086362500881,11.905648665425202,83.33954065797641,152.9370204201434,809.9997748177966,270.4187662394535,585.9073268521491,257.1146140802612,404.03725069755336,97.38151631255079,160.89120086421434,24.44921037239228,48.89842074478456,23.292757417102965,49.27314069002551,856.9614919041953,2437.907692486073,817.7086018813263,3532.50116012733,52.33563454759106,77.65932868352222,185.67939030745177,319.5166716401734,257.5315636850323,257.5315636850323,33.15043514297555,76.84100863910231,153.31001589825118,224.0684847743671,12.38799076212471,23.698764936238575,120.93916928677808,321.35264981915316,537.2469841012164,1151.2435373597493,0.0,0.0
Busan,2006,2,February,13740.795515350354,5456,848.0359635161606,1413.3932725269344,355.2011612787517,1023.3176313030705,11.31036623215394,79.17256362507759,139.35884104155312,738.0857136645221,252.3535456748314,546.7660156288014,229.63056584814422,360.84803204708373,89.89591315453384,148.52368260314287,24.181126925326573,48.36225385065315,22.819808027923212,48.272670828299105,776.4452226992913,2208.852788713501,796.2184985156836,3439.663913587753,57.76938895417156,85.72231909328683,218.59041167274623,376.1498821946972,234.1967432522864,234.1967432522864,30.6067136344799,70.94479262966624,129.1597774244833,188.77198238962944,14.300230946882218,27.35696355055729,120.79053450273042,320.957705964398,546.4230273637646,1170.906487208067,0.0,0.0
Busan,2006,3,March,13744.999850952147,5384,641.559041380999,1069.2650689683317,395.3482266959602,1138.9794150050282,11.948168839230293,83.63718187461205,133.6647658182733,707.9282041486327,222.77774209558288,482.6851078737629,230.52581171889722,362.25484698683846,96.55741321258562,159.52963922079363,24.87814388769741,49.75628777539482,24.593368237347292,52.02443280977312,717.9367337437277,2042.4062253054321,839.8766264887872,3628.267026431561,58.43669212690952,86.71251089799478,215.9881448671183,371.6719074066651,235.04528217711353,235.04528217711353,37.82760049730626,87.68243807580733,146.36804451510335,213.9225265989972,14.133949191685913,27.038859323225225,130.35270560979646,346.3657606203163,557.5308692079017,1194.7090054455036,0.0,0.0
Busan,2006,4,April,12593.388428595097,4944,537.918248041136,896.5304134018935,359.51697081110166,1035.751273051031,11.39540657976412,79.76784605834885,115.04951989601241,609.3363461159176,188.00618923889877,407.3467433509473,217.99236952835523,342.5594378302725,92.50557297109022,152.83529447397515,20.910508871124975,41.82101774224995,18.79973821989529,39.76867700362465,639.4781025296156,1819.2049468514927,778.0502092349512,3361.1769038949897,53.956227967097526,80.0640802092415,198.38457529963523,341.3797250170361,229.21157706892706,229.21157706892706,30.93493576460837,71.70559469539992,145.879173290938,213.20802250214015,13.219399538106236,25.289286072898886,119.40327651828562,317.27156332001607,534.6252574547742,1145.6255516888018,0.0,0.0
Busan,2006,5,May,13412.91019432462,5271,566.3229064642508,943.8715107737513,392.3371967896696,1130.3047812273815,11.31036623215394,79.17256362507759,120.086586439683,636.0141429953582,215.3438238986366,466.5782851137126,237.9563524461471,373.9314109868026,95.04655752931615,157.03344287452234,22.787093000584907,45.574186001169814,21.046247818499126,44.52090884682507,692.7083027261912,1970.6356887900265,809.5057548553239,3497.064860974999,52.24030552291422,77.5178727114211,205.42600312662844,353.4965979728877,231.65112647780504,231.65112647780504,35.94032324906755,83.30782619783865,146.1724960254372,213.63672496025436,13.593533487297922,26.005020584396025,123.06960119146119,327.01351173731115,581.4023802518237,1245.862243396765,0.0,0.0
Busan,2006,6,June,13197.69037980481,5199,525.2045482370225,875.340913728371,375.8768999686141,1082.8834499095788,11.352886405959032,79.47020484171323,126.0726655205669,667.7181914607803,216.62277756692845,469.3493513950116,235.2706148338881,369.7109661675384,104.3177174039243,172.35101136300537,23.108793137063753,46.217586274127505,21.519197207678886,45.52137870855149,670.163747348818,1906.5003157337062,773.3047605422225,3340.6765655424015,58.15070505287897,86.28814298169138,190.96046117769671,328.6043263570621,226.4538255632389,226.4538255632389,33.314546208039786,77.22140967196916,148.42130365659776,216.92344380579672,14.217090069284064,27.197911436891253,129.70862154558995,344.6543372497104,595.2699343553738,1275.5784307615154,0.0,0.0
Busan,2006,7,July,13861.911026909003,5537,745.1193682664056,1241.8656137773426,370.1559431466619,1066.4016457320497,10.97020484171322,76.79143389199254,141.32986708038072,748.5248515738683,249.31603071263834,540.1847332107163,251.5640896815927,395.3149980710742,104.38639266225474,172.46447483329044,23.32325989471632,46.64651978943264,24.35689354275742,51.52419787890992,778.7712482540996,2215.469930378042,752.7637469151257,3251.939386673343,53.479582843713274,79.35680034873583,169.07080510682647,290.93665608126264,250.53111755520857,250.53111755520857,32.98632407791131,76.46060760623546,152.52782193958663,222.92527821939584,14.133949191685913,27.038859323225225,127.97454906503393,340.046658944233,593.5451141932408,1271.8823875569446,0.0,0.0
Busan,2006,8,August,14874.88383397976,5901,875.3140915768854,1458.8568192948092,386.6162399677173,1113.8229770498522,12.075729360645562,84.53010552451893,196.37259423875213,1040.0474435607985,299.5149621930926,648.9490847517005,258.63653206054136,406.42883609513643,106.72135144548938,176.32223282298244,19.462858256970172,38.925716513940344,20.573298429319372,43.52043898509867,824.8444467435726,2346.5402364256806,794.1847347902285,3430.8780542937875,52.04964747356051,77.23496076721882,162.4886008337676,279.6100139703579,272.59312960071384,272.59312960071384,35.36593452134272,81.97642258280467,150.76788553259144,220.35306347071054,13.344110854503464,25.527864243397932,134.1181201390038,356.3710049407815,593.821085419182,1272.473754469676,0.0,0.0
Busan,2006,9,September,13120.879802455536,5077,516.5141711557297,860.8569519262163,350.08241043805765,1008.5707538810708,9.73711980136561,68.15983860955927,167.24520944274394,885.7801833449032,219.10075029924386,474.71829231502835,238.94112290397536,375.4789074205327,110.15511436201092,181.99540633723544,20.910508871124975,41.82101774224995,20.100349040139616,42.51996912337226,696.5551911437587,1981.5794230813824,792.0831789405917,3421.799333023356,47.75984136310223,70.86944202266783,135.3944111516415,232.9863941184942,239.50011153245595,239.50011153245595,33.560712805636136,77.7920112212694,133.5596184419714,195.2025192613428,13.094688221709006,25.05070790239984,124.1100446797948,329.7781187205976,530.0027394202575,1135.7201559005518,0.0,0.0
Busan,2006,10,October,12733.553901895053,4912,482.63779382957887,804.3963230492982,345.7666009057077,996.1371121331103,9.524518932340161,66.67163252638113,160.6021216822508,850.5964222430322,209.3487285785187,453.5889119201238,220.4095333793883,346.35783816761017,98.41164518750726,162.59315291849026,22.787093000584907,45.574186001169814,26.485165794066315,56.02631225667874,662.6488955563602,1885.121858048266,783.2702027969527,3383.727276082836,46.61589306698003,69.17197035745424,177.18375455966648,304.89740100865686,217.65023421815746,217.65023421815746,29.62204724409449,68.66238643246518,131.89745627980923,192.77320533202888,12.30484988452656,23.53971282257255,116.67830547741188,310.0309259828373,527.3810127738152,1130.1021702296039,0.0,0.0
