year,source,sex,age,count
2005,Central Seoul,Men,16-19,31241
2005,Central Seoul,Women,16-19,16265
2005,Western Seoul,Men,16-19,28189
2005,Western Seoul,Women,16-19,8755
2005,Southern Seoul,Men,16-19,29271
2005,Southern Seoul,Women,16-19,12243
2005,Eastern Seoul,Men,16-19,45885
2005,Eastern Seoul,Women,16-19,18640
2005,Busan,Men,16-19,39611
2005,Busan,Women,16-19,23726
2005,Daegu/Gyeungbook,Men,16-19,45536
2005,Daegu/Gyeungbook,Women,16-19,22931
2005,Incheon,Men,16-19,32934
2005,Incheon,Women,16-19,22478
2005,Ulsan,Men,16-19,17197
2005,Ulsan,Women,16-19,9340
2005,Gyeonggi,Men,16-19,28680
2005,Gyeonggi,Women,16-19,9173
2005,Gangwon,Men,16-19,14495
2005,Gangwon,Women,16-19,3245
2005,Chungbook,Men,16-19,18615
2005,Chungbook,Women,16-19,9294
2005,Daejeon/Sejong/Chungnaam,Men,16-19,51247
2005,Daejeon/Sejong/Chungnaam,Women,16-19,10359
2005,Jeonbook,Men,16-19,32553
2005,Jeonbook,Women,16-19,15191
2005,Gwangju/Jeonnam,Men,16-19,37702
2005,Gwangju/Jeonnam,Women,16-19,23483
2005,Gyeongnaam,Men,16-19,25602
2005,Gyeongnaam,Women,16-19,6215
2005,Jeju,Men,16-19,5182
2005,Jeju,Women,16-19,3319
2005,Outside of Korean Red Cross,Men,16-19,6704
2005,Outside of Korean Red Cross,Women,16-19,1961
2006,Central Seoul,Men,16-19,36196
2006,Central Seoul,Women,16-19,18787
2006,Western Seoul,Men,16-19,31765
2006,Western Seoul,Women,16-19,11474
2006,Southern Seoul,Men,16-19,31366
2006,Southern Seoul,Women,16-19,13739
2006,Eastern Seoul,Men,16-19,44189
2006,Eastern Seoul,Women,16-19,26547
2006,Busan,Men,16-19,44939
2006,Busan,Women,16-19,25786
2006,Daegu/Gyeungbook,Men,16-19,45027
2006,Daegu/Gyeungbook,Women,16-19,24941
2006,Incheon,Men,16-19,30020
2006,Incheon,Women,16-19,20346
2006,Ulsan,Men,16-19,16839
2006,Ulsan,Women,16-19,9215
