year,sex,career,source,count
2005,Men,Highschool Student,Korean Red Cross,278216
2005,Men,Highschool Student,Central Seoul,18858
2005,Men,Highschool Student,Western Seoul,15416
2005,Men,Highschool Student,Southern Seoul,16702
2005,Men,Highschool Student,Eastern Seoul,21904
2005,Men,Highschool Student,Busan,25956
2005,Men,Highschool Student,Daegu/Gyeongbook,26936
2005,Men,Highschool Student,Incheon,26110
2005,Men,Highschool Student,Ulsan,13769
2005,Men,Highschool Student,Gyeonggi,19546
2005,Men,Highschool Student,Gangwon,4552
2005,Men,Highschool Student,Chungbook,11135
2005,Men,Highschool Student,Daejeon/Sejong/Chungnaam,19062
2005,Men,Highschool Student,Jeonbook,18356
2005,Men,Highschool Student,Gwangju/Jeonnaam,25265
2005,Men,Highschool Student,Gyeongnaam,10639
2005,Men,Highschool Student,Jeju,4010
2005,Men,Highschool Student,Korean Red Cross 외,1836
2005,Men,University Student,Korean Red Cross,372246
2005,Men,University Student,Central Seoul,29348
2005,Men,University Student,Western Seoul,22921
2005,Men,University Student,Southern Seoul,24652
2005,Men,University Student,Eastern Seoul,24521
2005,Men,University Student,Busan,49601
2005,Men,University Student,Daegu/Gyeongbook,34220
2005,Men,University Student,Incheon,15402
2005,Men,University Student,Ulsan,13659
2005,Men,University Student,Gyeonggi,25782
2005,Men,University Student,Gangwon,6892
2005,Men,University Student,Chungbook,18955
2005,Men,University Student,Daejeon/Sejong/Chungnaam,23572
2005,Men,University Student,Jeonbook,27044
2005,Men,University Student,Gwangju/Jeonnaam,33118
2005,Men,University Student,Gyeongnaam,17327
2005,Men,University Student,Jeju,5232
2005,Men,University Student,Korean Red Cross 외,13150
2005,Men,Military Person,Korean Red Cross,587575
2005,Men,Military Person,Central Seoul,76148
2005,Men,Military Person,Western Seoul,32055
2005,Men,Military Person,Southern Seoul,56429
2005,Men,Military Person,Eastern Seoul,74159
2005,Men,Military Person,Busan,15910
2005,Men,Military Person,Daegu/Gyeongbook,41109
2005,Men,Military Person,Incheon,21956
