month,surgery,year,units
January,Cataract surgery,2006,0.0
January,Mastoidectomy,2006,0.0
January,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement,2006,651.6
January,Stent Insertion - Aortic valve replacement,2006,4804.2
January,Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,1428.0
January,Cardiac Catheterization - Aortic valve replacement,2006,478.8
January,Varicose Vein Ligation and Stripping - PDA ligation,2006,4048.8
January,Appendectomy - Exploratory Laparotomy,2006,2351.1
January,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement",2006,914.4
January,Cholecystectomy - Laparoscopic cholecystectomy,2006,0.0
January,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy,2006,431.1
January,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy,2006,1015.5
January,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate,2006,45.6
January,Prostatectomy - Prostatectomy,2006,19.7
January,Hysterectomy - Total abdominal hysterectomy,2006,1916.4
January,Cesarean Section (C-Section) - Low cervical cesarean section,2006,3633.9
January,Hip Replacement Surgery - Total hip replacement,2006,603.9
January,Knee Replacement Surgery - Total knee replacement,2006,4132.7
January,Partial Mastectomy - Mastectomy,2006,0.0
January,Total Mastectomy - Mastectomy,2006,0.0
January,Skull Base Surgery - Craniotomy and removal of brain tumor,2006,38.5
January,Brain Tumor Surgery - Craniotomy and removal of brain tumor ,2006,405.9
January,Gastrectomy - Total gastrectomy,2006,156.8
January,Liver Resection - Wedge resection of liver,2006,59.6
January,Hepatic Embolization - Lobectomy of liver,2006,1224.5
January,Thyroid Surgery - Bilateral thyroidectomy,2006,0.0
January,Congenital Heart Defect Surgery - PDA ligatio,2006,1850.8
January,Coronary Artery Bypass Graft -  (Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,0.0
January,Cleft Lip and Palate Surgery - Mastoidectomy,2006,0.0
January,Hemorrhoidectomy,2006,0.0
January,Endoscopic Spine Surgery - Laminectomy,2006,214.4
January,General Spine Surgery - Laminectomy,2006,2909.2
January,Endoscopic Sinus Surgery - Mastoidectomy,2006,0.0
January,General Sinus Surgery - Mastoidectomy,2006,0.0
January,Stem Cell Transplantation - Liver transplantation,2006,0.0
February,Cataract surgery,2006,0.0
February,Mastoidectomy,2006,0.0
