year,gender,type,source,count
2005,Men,RH(+),Korean Red Cross,1783096
2005,Men,RH(+),Central Seoul,169215
2005,Men,RH(+),Western Seoul,113398
2005,Men,RH(+),Southern Seoul,149389
2005,Men,RH(+),Eastern Seoul,158188
2005,Men,RH(+),Busan,162591
2005,Men,RH(+),Daegu/Gyeongbook,146131
2005,Men,RH(+),Incheon,90221
2005,Men,RH(+),Ulsan,61564
2005,Men,RH(+),Gyeonggi,116951
2005,Men,RH(+),Gangwon,75245
2005,Men,RH(+),Chungbook,60538
2005,Men,RH(+),Daejeon/Sejong/Chungnaam,140168
2005,Men,RH(+),Jeonbook,95148
2005,Men,RH(+),Gwangju/Jeonnaam,131570
2005,Men,RH(+),Gyeongnaam,87912
2005,Men,RH(+),Jeju,24867
2005,Men,RH(+),Korean Red Cross ¿Ü,42009
2005,Men,Type O,Korean Red Cross,486553
2005,Men,Type O,Central Seoul,45967
2005,Men,Type O,Western Seoul,31097
2005,Men,Type O,Southern Seoul,41058
2005,Men,Type O,Eastern Seoul,43138
2005,Men,Type O,Busan,44622
2005,Men,Type O,Daegu/Gyeongbook,40685
2005,Men,Type O,Incheon,24781
2005,Men,Type O,Ulsan,17494
2005,Men,Type O,Gyeonggi,32159
2005,Men,Type O,Gangwon,21108
2005,Men,Type O,Chungbook,16586
2005,Men,Type O,Daejeon/Sejong/Chungnaam,38249
2005,Men,Type O,Jeonbook,24743
2005,Men,Type O,Gwangju/Jeonnaam,33978
2005,Men,Type O,Gyeongnaam,24081
2005,Men,Type O,Jeju,6807
2005,Men,Type O,Korean Red Cross ¿Ü,11673
2005,Men,Type A,Korean Red Cross,612942
2005,Men,Type A,Central Seoul,57467
2005,Men,Type A,Western Seoul,38925
2005,Men,Type A,Southern Seoul,50556
2005,Men,Type A,Eastern Seoul,53955
2005,Men,Type A,Busan,56306
2005,Men,Type A,Daegu/Gyeongbook,49204
2005,Men,Type A,Incheon,30786
2005,Men,Type A,Ulsan,20934
2005,Men,Type A,Gyeonggi,39931
2005,Men,Type A,Gangwon,25202
2005,Men,Type A,Chungbook,19987
2005,Men,Type A,Daejeon/Sejong/Chungnaam,48046
2005,Men,Type A,Jeonbook,34780
2005,Men,Type A,Gwangju/Jeonnaam,48808
2005,Men,Type A,Gyeongnaam,30371
2005,Men,Type A,Jeju,7684
2005,Men,Type A,Korean Red Cross ¿Ü,13769
2005,Men,Type B,Korean Red Cross,479867
2005,Men,Type B,Central Seoul,46008
2005,Men,Type B,Western Seoul,30379
2005,Men,Type B,Southern Seoul,40951
2005,Men,Type B,Eastern Seoul,43094
2005,Men,Type B,Busan,43526
2005,Men,Type B,Daegu/Gyeongbook,39877
2005,Men,Type B,Incheon,24286
2005,Men,Type B,Ulsan,15933
2005,Men,Type B,Gyeonggi,31533
2005,Men,Type B,Gangwon,20350
2005,Men,Type B,Chungbook,17013
2005,Men,Type B,Daejeon/Sejong/Chungnaam,37761
2005,Men,Type B,Jeonbook,24514
2005,Men,Type B,Gwangju/Jeonnaam,33399
2005,Men,Type B,Gyeongnaam,23675
2005,Men,Type B,Jeju,7568
2005,Men,Type B,Korean Red Cross ¿Ü,11346
2005,Men,Type AB,Korean Red Cross,203734
2005,Men,Type AB,Central Seoul,19773
2005,Men,Type AB,Western Seoul,12997
2005,Men,Type AB,Southern Seoul,16824
2005,Men,Type AB,Eastern Seoul,18001
2005,Men,Type AB,Busan,18137
2005,Men,Type AB,Daegu/Gyeongbook,16365
2005,Men,Type AB,Incheon,10368
2005,Men,Type AB,Ulsan,7203
2005,Men,Type AB,Gyeonggi,13328
2005,Men,Type AB,Gangwon,8585
2005,Men,Type AB,Chungbook,6952
2005,Men,Type AB,Daejeon/Sejong/Chungnaam,16112
2005,Men,Type AB,Jeonbook,11111
2005,Men,Type AB,Gwangju/Jeonnaam,15385
2005,Men,Type AB,Gyeongnaam,9785
2005,Men,Type AB,Jeju,2808
2005,Men,Type AB,Korean Red Cross ¿Ü,5221
2005,Men,RH(-),Korean Red Cross,6429
2005,Men,RH(-),Central Seoul,609
2005,Men,RH(-),Western Seoul,459
2005,Men,RH(-),Southern Seoul,585
2005,Men,RH(-),Eastern Seoul,496
2005,Men,RH(-),Busan,543
2005,Men,RH(-),Daegu/Gyeongbook,572
2005,Men,RH(-),Incheon,294
2005,Men,RH(-),Ulsan,264
2005,Men,RH(-),Gyeonggi,465
2005,Men,RH(-),Gangwon,263
2005,Men,RH(-),Chungbook,214
